ROWID	_NameID|INTEGER	_NameIDParam|TEXT	_Level|INTEGER	_HP|INTEGER	_HPUI|INTEGER	_StrPMin|INTEGER	_StrPMax|INTEGER	_AttackUI|INTEGER	_StrMMin|INTEGER	_StrMMax|INTEGER	_DefP|INTEGER	_DefM|INTEGER	_Stiff|INTEGER	_Critical|INTEGER	_Stun|INTEGER	_StiffResistance|INTEGER	_CriticalResistance|INTEGER	_StunResistance|INTEGER	_Element_Str_Type|INTEGER	_Element_Str|FLOAT	_Fire_Def|FLOAT	_Ice_Def|FLOAT	_Light_Def|FLOAT	_Dark_Def|FLOAT	_DeadExperience|INTEGER	_CompleteExperience|INTEGER	_DeadDurability|INTEGER	_MoveSpeed|INTEGER	_DownDelay|FLOAT	_ActorTableID|INTEGER	_SizeMin|FLOAT	_SizeMax|FLOAT	_CustomAI|TEXT	_Weapon1Index|INTEGER	_Weapon2Index|INTEGER	_ThreatRange|INTEGER	_ThreatAggro|INTEGER	_CognizanceGentleRange|INTEGER	_CognizanceThreatRange|INTEGER	_RefreshTargetType|INTEGER	_RefreshTargetValue1|DOUBLE	_RefreshTargetValue2|DOUBLE	_SkillTable|INTEGER	_MonsterPartsIndex1|INTEGER	_MonsterPartsIndex2|INTEGER	_MonsterPartsIndex3|INTEGER	_MonsterPartsIndex4|INTEGER	_MonsterPartsIndex5|INTEGER	_SuperAmmor|INTEGER	_ImmunedStateBlow|TEXT	_ImmunePercent|TEXT	_DecreaseAggro|FLOAT	_RangeAttackAdditionalAggro|FLOAT	_StunStateAdditionalAggro|FLOAT	_DownStateAdditionalAggro|FLOAT	_CantMoveStateAdditionalAggro|FLOAT	_SleepStateAdditionalAggro|FLOAT	_UnderHPStateAdditionalAggro|FLOAT	_AllowSEDiffuseVariation|INTEGER	_Grade|INTEGER	_AllowEffectIndex|INTEGER	_UseGaugeBalloon|BOOLEAN	_ItemDropGroupID|INTEGER	_MonsterRaceID|INTEGER	_MonsterGrade|INTEGER	_SlowEffectByDeath|BOOLEAN	_EffectScale|BOOLEAN	_BossKillCheck|BOOLEAN	_ImmuneReduceTime|TEXT	_EffectByStart|TEXT	_EffectByEnd|TEXT	_StateResist|BOOLEAN	_AllowEffectIndex_New|TEXT	_NoSpin|BOOLEAN	_ShowGauge|BOOLEAN	_OffSetID|INTEGER	_HPBarOrder|INTEGER	_ItemDropType|INTEGER	_ItemDropIntervalTime|TEXT	_LimboConstantFlag|INTEGER	_NewBalanceFlagException|INTEGER
102	1000004083	{1000006347},{1000002024}	2	53	0	12	14	0	12	14	188	188	1546	14656	2147	14636	18320	9400	-1	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	10301	0.95	1.0	AiGoblin_Green_Normal.lua	3	0	1200	5	1400	3000	0	0.0	0.0	1	0	0	0	0	0	100			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	0	19	1	false	true	false				false	0	false	true	0	0	0	0	1	0
104	1000003651	{1000000002}	2	4167	0	38	42	0	38	42	188	188	6183	22900	8588	22869	28625	14688	-1	0.0	0.0	0.0	0.0	0.0	0	10	0	0	1.0	1002579	0.95	1.0	AiOrc_Green_Boss_Normal.lua	8	0	3000	5	3200	3200	0	0.0	0.0	5	0	0	0	0	0	1000			0.1	1.5	1.2	1.2	1.0	1.0	1.0	1	5	0	false	92280439	96	5	true	true	true				false	0	false	true	0	0	0	0	1	0
105	1000004083	{1000006347},{1000006322}	2	27	0	14	16	0	14	16	188	188	1546	14656	2147	14636	18320	9400	-1	0.0	0.0	0.0	0.0	0.0	0	0	0	350	0.0	10001	0.95	1.0	AiHound_General_Normal.lua	10	0	1200	5	1400	3000	0	0.0	0.0	0	0	0	0	0	0	100			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	0	1	1	false	true	false				false	0	false	true	0	0	0	0	1	0
126	1000004083	{1000006529},{1000002024}	4	53	0	12	14	0	12	14	188	188	1546	14656	2147	14636	18320	9400	-1	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	10301	0.95	1.0	AiGoblin_Green_Normal.lua	3	0	1200	5	1400	3000	0	0.0	0.0	1	0	0	0	0	0	100			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	0	19	1	false	true	false				false	0	false	true	0	0	0	0	1	0
127	1000004083	{1000006529},{1000006597}	4	5	0	1	1	0	1	1	1	1	1	1	1	1	1	1	-1	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	10601	1.0	1.1	AiBat_Black_Normal.lua	11	0	1200	5	1400	10000	0	0.0	0.0	0	0	0	0	0	0	0			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	0	9	1	false	true	false				false	0	false	true	0	0	0	0	1	0
128	1000004083	{1000006529},{1000006531}	4	53	0	12	14	0	12	14	188	188	1546	14656	2147	14636	18320	9400	-1	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	10801	0.95	1.0	AiOrc_Green_Normal.lua	8	0	1200	5	1400	3000	0	0.0	0.0	5	0	0	0	0	0	100			0.1	1.5	1.2	1.2	1.0	1.0	1.0	1	1	0	true	0	96	1	false	true	false				false	0	false	true	0	0	0	0	1	0
129	1000003651	{1000000009}	4	4167	0	38	42	0	38	42	188	188	6183	22900	8588	22869	28625	14688	-1	0.0	0.0	0.0	0.0	0.0	0	10	0	0	1.0	1002586	0.9	0.95	AiTroll_Blue_Boss_Normal.lua	12	0	3000	5	3200	4000	0	0.0	0.0	26	0	0	0	0	0	1000			0.5	1.5	1.2	0.5	1.0	1.0	1.0	1	5	0	false	92280439	114	5	true	true	true				false	0	false	true	0	0	0	0	1	0
143	1000004083	{1000000843},{1000002024}	6	53	0	12	14	0	12	14	188	188	1546	14656	2147	14636	18320	9400	-1	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	10301	0.95	1.0	AiGoblin_Green_Normal.lua	3	0	1200	5	1400	3000	0	0.0	0.0	1	0	0	0	0	0	100			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	0	19	1	false	true	false				false	0	false	true	0	0	0	0	1	0
147	1000004083	{1000000843},{1000006597}	6	5	0	1	1	0	1	1	1	1	1	1	1	1	1	1	-1	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	10601	1.0	1.1	AiBat_Black_Normal.lua	11	0	1200	5	1400	10000	0	0.0	0.0	0	0	0	0	0	0	0			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	0	9	1	false	true	false				false	0	false	true	0	0	0	0	1	0
148	1000003651	{1000000015}	6	4167	0	38	42	0	38	42	188	188	6183	22900	8588	22869	28625	14688	-1	0.0	0.0	0.0	0.0	0.0	0	10	0	0	1.0	11901	0.85	0.9	AiMinotauros_Black_Boss_Normal.lua	49	0	3000	5	3200	4000	0	0.0	0.0	45	0	0	0	0	0	5000	41;45;70;71	100;100;100;100	0.1	1.5	1.5	0.8	1.0	1.0	1.0	1	5	0	false	92280439	166	5	true	true	true	100;100;100;100			false	0	false	true	0	0	0	0	1	0
