ROWID	_Type|INTEGER	_MapID|INTEGER	_PlayRewardPointMin|INTEGER	_PlayRewardPointMax|INTEGER	_SelectBoxNum|INTEGER	_ItemDropID1|INTEGER	_ItemDropID2|INTEGER	_ItemDropID3|INTEGER
1	1	12702	75001	999999999	3	134217833	134217849	134217858
2	2	12702	72001	75000	3	134217833	134217850	134217858
3	3	12702	69001	72000	3	134217834	134217850	134217858
4	4	12702	66001	69000	3	134217834	134217851	134217858
5	5	12702	63001	66000	3	134217835	134217851	134217859
6	6	12702	60001	63000	3	134217835	134217852	134217859
7	7	12702	57001	60000	3	134217836	134217852	134217859
8	8	12702	54001	57000	3	134217836	134217853	134217859
9	9	12702	51001	54000	3	134217837	134217853	134217859
10	10	12702	48001	51000	3	134217837	134217854	134217860
11	11	12702	45001	48000	3	134217838	134217854	134217860
12	12	12702	42001	45000	2	134217838	134217867	0
13	13	12702	39001	42000	2	134217839	134217867	0
14	14	12702	36001	39000	2	134217839	134217868	0
15	15	12702	33001	36000	2	134217840	134217868	0
16	16	12702	30001	33000	2	134217841	134217868	0
17	17	12702	27001	30000	2	134217842	134217869	0
18	18	12702	24001	27000	3	134217843	134217869	0
19	19	12702	21001	24000	2	134217862	134217869	0
20	20	12702	18001	21000	2	134217863	134217870	0
21	21	12702	14001	18000	2	134217864	134217870	0
22	22	12702	7001	14000	2	134217865	134217870	0
23	23	12702	0	7000	2	134217866	134217871	0
