ROWID	_ReputeGrade|INTEGER	_GuildInsignia|INTEGER	_GuildAgitMapID|INTEGER	_GuildAgitMax|INTEGER	_ShowMailID|INTEGER	_PeriodGroup|INTEGER	_StartTime|TEXT	_EndTime|TEXT
1	7	500027	11006	50	5873	0	202007140900	202007280900
2	6	500026	11006	50	5874	0	202007140900	202007280900
3	5	500025	11006	50	5875	0	202007140900	202007280900
4	4	0	0	0	5876	0	202007140900	202007280900
5	3	0	0	0	5877	0	202007140900	202007280900
6	2	0	0	0	5878	0	202007140900	202007280900
7	1	0	0	0	5879	0	202007140900	202007280900
8	0	0	0	0	5880	0	202007140900	202007280900
9	7	500027	11006	50	5873	1	202007280900	202008140900
10	6	500026	11006	50	5874	1	202007280900	202008140900
11	5	500025	11006	50	5875	1	202007280900	202008140900
12	4	0	0	0	5876	1	202007280900	202008140900
13	3	0	0	0	5877	1	202007280900	202008140900
14	2	0	0	0	5878	1	202007280900	202008140900
15	1	0	0	0	5879	1	202007280900	202008140900
16	0	0	0	0	5880	1	202007280900	202008140900
17	7	500027	11006	50	5873	2	202008140900	202008280900
18	6	500026	11006	50	5874	2	202008140900	202008280900
19	5	500025	11006	50	5875	2	202008140900	202008280900
20	4	0	0	0	5876	2	202008140900	202008280900
21	3	0	0	0	5877	2	202008140900	202008280900
22	2	0	0	0	5878	2	202008140900	202008280900
23	1	0	0	0	5879	2	202008140900	202008280900
24	0	0	0	0	5880	2	202008140900	202008280900
25	7	500027	11006	50	5873	3	202008280900	210008280900
26	6	500026	11006	50	5874	3	202008280900	210008280900
27	5	500025	11006	50	5875	3	202008280900	210008280900
28	4	0	0	0	5876	3	202008280900	210008280900
29	3	0	0	0	5877	3	202008280900	210008280900
30	2	0	0	0	5878	3	202008280900	210008280900
31	1	0	0	0	5879	3	202008280900	210008280900
32	0	0	0	0	5880	3	202008280900	210008280900
