ROWID	_StageClearDropid|INTEGER	_MinLevel|INTEGER	_MaxLevel|INTEGER	_Job|INTEGER	_DropID|INTEGER	_ExDifficulty|INTEGER	_ClearGold|INTEGER
1000001	78283760	1	1	1	226497863	0	0
1000002	78283760	2	2	1	226497864	0	0
1000003	78283760	3	3	1	226497865	0	0
1000004	78283760	4	4	1	226497866	0	0
1000005	78283760	5	5	1	226497867	0	0
1000006	78283760	6	6	1	226497868	0	0
1000007	78283760	7	7	1	226497869	0	0
1000008	78283760	8	8	1	226497870	0	0
1000009	78283760	9	9	1	226497871	0	0
1000010	78283760	10	10	1	226497872	0	0
1000011	78283760	11	11	1	226497873	0	0
1000012	78283760	12	12	1	226497874	0	0
1000013	78283760	13	13	1	226497875	0	0
1000014	78283760	14	14	1	226497876	0	0
1000015	78283760	15	15	1	226497877	0	0
1000016	78283760	16	16	1	226497878	0	0
1000017	78283760	17	17	1	226497879	0	0
1000018	78283760	18	18	1	226497880	0	0
1000019	78283760	19	19	1	226497881	0	0
1000020	78283760	20	20	1	226497882	0	0
1000021	78283760	21	21	1	226497883	0	0
1000022	78283760	22	22	1	226497884	0	0
1000023	78283760	23	23	1	226497885	0	0
1000024	78283760	24	24	1	226497886	0	0
1000025	78283760	25	25	1	226497887	0	0
1000026	78283760	26	26	1	226497888	0	0
1000027	78283760	27	27	1	226497889	0	0
1000028	78283760	28	28	1	226497890	0	0
1000029	78283760	29	29	1	226497891	0	0
1000030	78283760	30	30	1	226497892	0	0
1000031	78283760	31	31	1	226497893	0	0
1000032	78283760	32	32	1	226497894	0	0
1000033	78283760	33	33	1	226497895	0	0
1000034	78283760	34	34	1	226497896	0	0
1000035	78283760	35	35	1	226497897	0	0
1000036	78283760	36	36	1	226497898	0	0
1000037	78283760	37	37	1	226497899	0	0
1000038	78283760	38	38	1	226497900	0	0
1000039	78283760	39	39	1	226497901	0	0
1000040	78283760	40	40	1	226497902	0	0
1000041	78283760	41	41	1	226497903	0	0
1000042	78283760	42	42	1	226497904	0	0
1000043	78283760	43	43	1	226497905	0	0
1000044	78283760	44	44	1	226497906	0	0
1000045	78283760	45	45	1	226497907	0	0
1000046	78283760	46	46	1	226497908	0	0
1000047	78283760	47	47	1	226497909	0	0
1000048	78283760	48	48	1	226497910	0	0
1000049	78283760	49	49	1	226497911	0	0
1000050	78283760	50	50	1	226497912	0	0
1000051	78283760	51	51	1	226497913	0	0
1000052	78283760	52	52	1	226497914	0	0
1000053	78283760	53	53	1	226497915	0	0
1000054	78283760	54	54	1	226497916	0	0
1000055	78283760	55	55	1	226497917	0	0
1000056	78283760	56	56	1	226497918	0	0
1000057	78283760	57	57	1	226497919	0	0
1000058	78283760	58	58	1	226497920	0	0
1000059	78283760	59	59	1	226497921	0	0
1000060	78283760	60	60	1	226497922	0	0
1000061	78283760	61	61	1	226497923	0	0
1000062	78283760	62	62	1	226497924	0	0
1000063	78283760	63	63	1	226497925	0	0
1000064	78283760	64	64	1	226497926	0	0
1000065	78283760	65	65	1	226497927	0	0
1000066	78283760	66	66	1	226497928	0	0
1000067	78283760	67	67	1	226497929	0	0
1000068	78283760	68	68	1	226497930	0	0
1000069	78283760	69	69	1	226497931	0	0
1000070	78283760	70	70	1	226497932	0	0
1000071	78283760	71	71	1	226497933	0	0
1000072	78283760	72	72	1	226497934	0	0
1000073	78283760	73	73	1	226497935	0	0
1000074	78283760	74	74	1	226497936	0	0
1000075	78283760	75	75	1	226497937	0	0
1000076	78283760	76	76	1	226497938	0	0
1000077	78283760	77	77	1	226497939	0	0
1000078	78283760	78	78	1	226497940	0	0
1000079	78283760	79	79	1	226497941	0	0
1000080	78283760	80	80	1	226497942	0	0
1000081	78283760	81	81	1	226497943	0	0
1000082	78283760	82	82	1	226497944	0	0
1000083	78283760	83	83	1	226497945	0	0
1000084	78283760	84	84	1	226497946	0	0
1000085	78283760	85	85	1	226497947	0	0
1000086	78283760	86	86	1	226497948	0	0
1000087	78283760	87	87	1	226497949	0	0
1000088	78283760	88	88	1	226497950	0	0
1000089	78283760	89	89	1	226497951	0	0
1000090	78283760	90	90	1	226497952	0	0
1000091	78283760	91	91	1	226497953	0	0
1000092	78283760	92	92	1	226497954	0	0
1000093	78283760	93	93	1	226497955	0	0
1000094	78283760	94	94	1	226497956	0	0
1000095	78283761	1	1	1	226497769	0	0
1000096	78283761	2	2	1	226497770	0	0
1000097	78283761	3	3	1	226497771	0	0
1000098	78283761	4	4	1	226497772	0	0
1000099	78283761	5	5	1	226497773	0	0
1000100	78283761	6	6	1	226497774	0	0
1000101	78283761	7	7	1	226497775	0	0
1000102	78283761	8	8	1	226497776	0	0
1000103	78283761	9	9	1	226497777	0	0
1000104	78283761	10	10	1	226497778	0	0
1000105	78283761	11	11	1	226497779	0	0
1000106	78283761	12	12	1	226497780	0	0
1000107	78283761	13	13	1	226497781	0	0
1000108	78283761	14	14	1	226497782	0	0
1000109	78283761	15	15	1	226497783	0	0
1000110	78283761	16	16	1	226497784	0	0
1000111	78283761	17	17	1	226497785	0	0
1000112	78283761	18	18	1	226497786	0	0
1000113	78283761	19	19	1	226497787	0	0
1000114	78283761	20	20	1	226497788	0	0
1000115	78283761	21	21	1	226497789	0	0
1000116	78283761	22	22	1	226497790	0	0
1000117	78283761	23	23	1	226497791	0	0
1000118	78283761	24	24	1	226497792	0	0
1000119	78283761	25	25	1	226497793	0	0
1000120	78283761	26	26	1	226497794	0	0
1000121	78283761	27	27	1	226497795	0	0
1000122	78283761	28	28	1	226497796	0	0
1000123	78283761	29	29	1	226497797	0	0
1000124	78283761	30	30	1	226497798	0	0
1000125	78283761	31	31	1	226497799	0	0
1000126	78283761	32	32	1	226497800	0	0
1000127	78283761	33	33	1	226497801	0	0
1000128	78283761	34	34	1	226497802	0	0
1000129	78283761	35	35	1	226497803	0	0
1000130	78283761	36	36	1	226497804	0	0
1000131	78283761	37	37	1	226497805	0	0
1000132	78283761	38	38	1	226497806	0	0
1000133	78283761	39	39	1	226497807	0	0
1000134	78283761	40	40	1	226497808	0	0
1000135	78283761	41	41	1	226497809	0	0
1000136	78283761	42	42	1	226497810	0	0
1000137	78283761	43	43	1	226497811	0	0
1000138	78283761	44	44	1	226497812	0	0
1000139	78283761	45	45	1	226497813	0	0
1000140	78283761	46	46	1	226497814	0	0
1000141	78283761	47	47	1	226497815	0	0
1000142	78283761	48	48	1	226497816	0	0
1000143	78283761	49	49	1	226497817	0	0
1000144	78283761	50	50	1	226497818	0	0
1000145	78283761	51	51	1	226497819	0	0
1000146	78283761	52	52	1	226497820	0	0
1000147	78283761	53	53	1	226497821	0	0
1000148	78283761	54	54	1	226497822	0	0
1000149	78283761	55	55	1	226497823	0	0
1000150	78283761	56	56	1	226497824	0	0
1000151	78283761	57	57	1	226497825	0	0
1000152	78283761	58	58	1	226497826	0	0
1000153	78283761	59	59	1	226497827	0	0
1000154	78283761	60	60	1	226497828	0	0
1000155	78283761	61	61	1	226497829	0	0
1000156	78283761	62	62	1	226497830	0	0
1000157	78283761	63	63	1	226497831	0	0
1000158	78283761	64	64	1	226497832	0	0
1000159	78283761	65	65	1	226497833	0	0
1000160	78283761	66	66	1	226497834	0	0
1000161	78283761	67	67	1	226497835	0	0
1000162	78283761	68	68	1	226497836	0	0
1000163	78283761	69	69	1	226497837	0	0
1000164	78283761	70	70	1	226497838	0	0
1000165	78283761	71	71	1	226497839	0	0
1000166	78283761	72	72	1	226497840	0	0
1000167	78283761	73	73	1	226497841	0	0
1000168	78283761	74	74	1	226497842	0	0
1000169	78283761	75	75	1	226497843	0	0
1000170	78283761	76	76	1	226497844	0	0
1000171	78283761	77	77	1	226497845	0	0
1000172	78283761	78	78	1	226497846	0	0
1000173	78283761	79	79	1	226497847	0	0
1000174	78283761	80	80	1	226497848	0	0
1000175	78283761	81	81	1	226497849	0	0
1000176	78283761	82	82	1	226497850	0	0
1000177	78283761	83	83	1	226497851	0	0
1000178	78283761	84	84	1	226497852	0	0
1000179	78283761	85	85	1	226497853	0	0
1000180	78283761	86	86	1	226497854	0	0
1000181	78283761	87	87	1	226497855	0	0
1000182	78283761	88	88	1	226497856	0	0
1000183	78283761	89	89	1	226497857	0	0
1000184	78283761	90	90	1	226497858	0	0
1000185	78283761	91	91	1	226497859	0	0
1000186	78283761	92	92	1	226497860	0	0
1000187	78283761	93	93	1	226497861	0	0
1000188	78283761	94	94	1	226497862	0	0
1000189	78283760	1	1	2	226498123	0	0
1000190	78283760	2	2	2	226498124	0	0
1000191	78283760	3	3	2	226498125	0	0
1000192	78283760	4	4	2	226498126	0	0
1000193	78283760	5	5	2	226498127	0	0
1000194	78283760	6	6	2	226498128	0	0
1000195	78283760	7	7	2	226498129	0	0
1000196	78283760	8	8	2	226498130	0	0
1000197	78283760	9	9	2	226498131	0	0
1000198	78283760	10	10	2	226498132	0	0
1000199	78283760	11	11	2	226498133	0	0
1000200	78283760	12	12	2	226498134	0	0
1000201	78283760	13	13	2	226498135	0	0
1000202	78283760	14	14	2	226498136	0	0
1000203	78283760	15	15	2	226498137	0	0
1000204	78283760	16	16	2	226498138	0	0
1000205	78283760	17	17	2	226498139	0	0
1000206	78283760	18	18	2	226498140	0	0
1000207	78283760	19	19	2	226498141	0	0
1000208	78283760	20	20	2	226498142	0	0
1000209	78283760	21	21	2	226498143	0	0
1000210	78283760	22	22	2	226498144	0	0
1000211	78283760	23	23	2	226498145	0	0
1000212	78283760	24	24	2	226498146	0	0
1000213	78283760	25	25	2	226498147	0	0
1000214	78283760	26	26	2	226498148	0	0
1000215	78283760	27	27	2	226498149	0	0
1000216	78283760	28	28	2	226498150	0	0
1000217	78283760	29	29	2	226498151	0	0
1000218	78283760	30	30	2	226498152	0	0
1000219	78283760	31	31	2	226498153	0	0
1000220	78283760	32	32	2	226498154	0	0
1000221	78283760	33	33	2	226498155	0	0
1000222	78283760	34	34	2	226498156	0	0
1000223	78283760	35	35	2	226498157	0	0
1000224	78283760	36	36	2	226498158	0	0
1000225	78283760	37	37	2	226498159	0	0
1000226	78283760	38	38	2	226498160	0	0
1000227	78283760	39	39	2	226498161	0	0
1000228	78283760	40	40	2	226498162	0	0
1000229	78283760	41	41	2	226498163	0	0
1000230	78283760	42	42	2	226498164	0	0
1000231	78283760	43	43	2	226498165	0	0
1000232	78283760	44	44	2	226498166	0	0
1000233	78283760	45	45	2	226498167	0	0
1000234	78283760	46	46	2	226498168	0	0
1000235	78283760	47	47	2	226498169	0	0
1000236	78283760	48	48	2	226498170	0	0
1000237	78283760	49	49	2	226498171	0	0
1000238	78283760	50	50	2	226498172	0	0
1000239	78283760	51	51	2	226498173	0	0
