ROWID	_ImprintingType|INTEGER
1073880630	1
1073880628	1
1073888697	1
1073888698	1
1073888699	1
1073888700	1
1073888701	1
1073888702	1
1073900270	1
1073917729	1
1073917730	1
1073880631	1
1073880629	1
1073888703	1
1073888704	1
1073888705	1
1073888706	1
1073888707	1
1073888708	1
1073900271	1
1073917731	1
1073917732	1
1073880623	2
1073880624	2
1073880625	2
1073880626	2
1073880627	2
1073912582	2
1073912583	2
1073912584	2
1073912585	2
1073912586	2
1073912587	2
1073912588	2
1073912589	2
1073912590	2
1073912591	2
1073918416	2
1073918417	2
1073918418	2
1073918419	2
1073918420	2
1073918421	2
1073918422	2
1073918423	2
1073918424	2
1073918425	2
1073880451	3
1073880452	3
1073880453	3
1073880454	3
1073880455	3
1073880456	3
