ROWID	_Material1_Normal_Particle|INTEGER	_Material1_Critical_Particle|INTEGER	_Material1_Stun_Particle|INTEGER	_Material2_Normal_Particle|INTEGER	_Material2_Critical_Particle|INTEGER	_Material2_Stun_Particle|INTEGER	_Material3_Normal_Particle|INTEGER	_Material3_Critical_Particle|INTEGER	_Material3_Stun_Particle|INTEGER	_Material4_Normal_Particle|INTEGER	_Material4_Critical_Particle|INTEGER	_Material4_Stun_Particle|INTEGER
1	33333	33334	33454	33333	33334	33454	33333	33334	33454	33333	33334	33454
2	33464	33465	33466	33464	33465	33466	33464	33465	33466	33464	33465	33466
3	33467	33468	33469	33467	33468	33469	33467	33468	33469	33467	33468	33469
4	34455	34454	34456	34455	34454	34456	34455	34454	34456	34455	34454	34456
5	34627	34628	34629	34627	34628	34629	34627	34628	34629	34627	34628	34629
6	37194	37195	37196	37194	37195	37196	37194	37195	37196	37194	37195	37196
9	45636	45637	45638	45636	45637	45638	45636	45637	45638	45636	45637	45638
13	47613	47614	47615	47613	47614	47615	47613	47614	47615	47613	47614	47615
15	48443	48444	48445	48443	48444	48445	48443	48444	48445	48443	48444	48445
16	62955	62949	62961	62955	62949	62961	62955	62949	62961	62955	62949	62961
17	62957	62951	62963	62957	62951	62963	62957	62951	62963	62957	62951	62963
18	62953	62947	62959	62953	62947	62959	62953	62947	62959	62953	62947	62959
19	62952	62946	62958	62952	62946	62958	62952	62946	62958	62952	62946	62958
20	62954	62948	62960	62954	62948	62960	62954	62948	62960	62954	62948	62960
21	62956	62950	62962	62956	62950	62962	62956	62950	62962	62956	62950	62962
22	62975	62969	62981	62975	62969	62981	62975	62969	62981	62975	62969	62981
23	62973	62967	62979	62973	62967	62979	62973	62967	62979	62973	62967	62979
24	62971	62965	62977	62971	62965	62977	62971	62965	62977	62971	62965	62977
25	62970	62964	62976	62970	62964	62976	62970	62964	62976	62970	62964	62976
26	62972	62966	62978	62972	62966	62978	62972	62966	62978	62972	62966	62978
27	62974	62968	62980	62974	62968	62980	62974	62968	62980	62974	62968	62980
28	62938	62932	62944	62938	62932	62944	62938	62932	62944	62938	62932	62944
29	62936	62930	62942	62936	62930	62942	62936	62930	62942	62936	62930	62942
30	62939	62933	62945	62939	62933	62945	62939	62933	62945	62939	62933	62945
31	62934	62928	62940	62934	62928	62940	62934	62928	62940	62934	62928	62940
32	62935	62929	62941	62935	62929	62941	62935	62929	62941	62935	62929	62941
33	62937	62931	62943	62937	62931	62943	62937	62931	62943	62937	62931	62943
