ROWID	_StaticName|TEXT	_Class|INTEGER	_SkinName|INTEGER	_AniName|INTEGER	_ActName|INTEGER	_CamName|INTEGER	_Press|INTEGER	_SizeParam1|INTEGER	_SizeParam2|INTEGER	_Material|INTEGER	_Weight|DOUBLE	_Height|INTEGER	_RotationAngleSpeed|DOUBLE	_PressLevel|INTEGER	_TwoPassAlpha|BOOLEAN	_RandomFrameSummon|BOOLEAN	_throughpass|BOOLEAN	_ContentsID|TEXT
1	Warrior	0	2075	2567	2882	3308	0	35	0	0	1.1	100	720.0	0	true	true	false	
2	Archer	1	2076	2568	2883	3309	0	35	0	0	1.1	100	720.0	0	true	true	false	
3	Soceress	2	2077	2569	2884	3310	0	35	0	0	1.1	100	720.0	0	true	true	false	
4	Cleric	3	2078	2570	2885	3311	0	35	0	0	1.1	100	720.0	0	true	true	false	
5	Academic	4	2079	2571	2886	3312	0	35	0	0	1.1	100	720.0	0	true	true	false	
6	Kali	5	16292	16281	16290	17516	0	35	0	0	1.1	100	720.0	0	true	true	false	
7	Assassin	6	21250	21251	21252	25269	0	35	0	0	1.1	100	720.0	0	true	true	false	
8	Lencea	7	29368	29369	29370	29371	0	35	0	0	1.1	100	720.0	0	true	true	false	
9	Machina	8	37520	37728	37501	37521	0	35	0	0	1.1	100	720.0	0	true	true	false	
10	Reserved6	10	0	0	0	0	0	0	0	0	1.0	100	720.0	0	true	true	false	
11	X_HoundNormal	10	2080	2572	2887	3313	0	30	0	0	1.2	100	720.0	0	true	true	false	
12	X_HoundNoramlStrong	10	2081	2572	2888	3313	0	30	0	0	1.0	100	720.0	0	true	true	false	
13	X_HoundDesert	10	2082	2572	2887	3313	0	30	0	0	1.0	100	720.0	0	true	true	false	
14	X_HoundDesertStrong	10	2083	2572	2888	3313	0	30	0	0	1.0	100	720.0	0	true	true	false	
15	X_HoundSnow	10	2084	2572	2887	3313	0	30	0	0	1.0	100	720.0	0	true	true	false	
16	X_HoundSnowStrong	10	2085	2572	2888	3313	0	30	0	0	1.0	100	720.0	0	true	true	false	
17	X_HellHound	10	2086	2572	2887	3313	0	30	0	0	1.0	100	720.0	0	true	true	false	
18	X_HellHoundStrong	10	2087	2572	2888	3313	0	30	0	0	1.0	100	720.0	0	true	true	false	
19	X_GhoulGreen	10	2088	2573	2889	3314	0	35	0	0	1.3	100	720.0	0	true	true	false	
20	X_GhoulGray	10	2089	2573	2889	3314	0	35	0	0	1.3	100	720.0	0	true	true	false	
21	X_GhoulBlue	10	2090	2573	2889	3314	0	35	0	0	1.3	100	720.0	0	true	true	false	
22	X_GhoulWhite	10	2091	2573	2889	3314	0	35	0	0	1.3	100	720.0	0	true	true	false	
23	X_GhoulRed	10	2092	2573	2889	3314	0	35	0	0	1.3	100	720.0	0	true	true	false	
24	X_KoboldWarriorYellow	11	2093	2574	2890	3315	0	35	0	0	1.0	100	720.0	0	true	true	false	
25	X_KoboldWarriorGreen	11	2094	2574	2890	3315	0	35	0	0	1.0	100	720.0	0	true	true	false	
