ROWID	_Name|TEXT	_QuestType|INTEGER	_QuestCode|INTEGER	_QuestLv|INTEGER	_QuestTalk|TEXT	_QuestScript|TEXT	_QuestImageTitle|INTEGER	_QSortIndex|INTEGER	_QuestRepeatable|INTEGER	_IsEvent|INTEGER	_QuestMarkHide|BOOLEAN	_QuestHideLv|INTEGER	_Map|INTEGER	_LevelCapReward|INTEGER	_guide|BOOLEAN	_EmergenceSet|BOOLEAN	_DailyPartyMapIndex|INTEGER	_DailyPartyMaplevel|INTEGER	_GuildQuestType|INTEGER	_Authority|INTEGER	_OpenDate|TEXT	_OpenTime|TEXT
1	실종된 소녀Ⅰ	2	1	1	mq01_001_lost_girl1.xml	mq01_001_lost_girl1.lua	13680	1	0	0	false	0	1	0	true	false	0	0	0	0	0	0
2	흩어진 단서	2	1	2	mq01_002_scattered_evidence.xml	mq01_002_scattered_evidence.lua	13681	3	0	0	false	0	1	0	true	false	0	0	0	0	0	0
3	붉은 인장Ⅰ (워리어)	2	1	3	mq01_003_red_emblem1.xml	mq01_003_red_emblem1.lua	13682	4	0	0	false	0	1	0	false	false	0	0	0	0	0	0
4	붉은 인장Ⅰ (아처)	2	1	3	mq01_004_red_emblem1.xml	mq01_004_red_emblem1.lua	13682	4	0	0	false	0	1	0	false	false	0	0	0	0	0	0
5	붉은 인장Ⅱ	2	1	3	mq01_005_red_emblem2.xml	mq01_005_red_emblem2.lua	13683	5	0	0	false	0	1	0	false	false	0	0	0	0	0	0
6	카타콤 탈출	2	1	5	mq01_006_escape_of_the_catacomb.xml	mq01_006_escape_of_the_catacomb.lua	13684	6	0	0	false	0	1	0	false	false	0	0	0	0	0	0
7	소녀의 행방Ⅰ	2	1	5	mq01_007_whereabouts_girl1.xml	mq01_007_whereabouts_girl1.lua	13685	7	0	0	false	0	1	0	false	false	0	0	0	0	0	0
8	소녀의 행방Ⅱ	2	1	5	mq01_008_whereabouts_girl2.xml	mq01_008_whereabouts_girl2.lua	13686	8	0	0	false	0	1	0	false	false	0	0	0	0	0	0
9	그녀를 부탁해	2	1	8	mq01_009_please_save_my_girl.xml	mq01_009_please_save_my_girl.lua	13687	9	0	0	false	0	1	0	false	false	0	0	0	0	0	0
10	운명의 소녀 (프레리)	2	1	9	mq01_010_girl_of_destiny.xml	mq01_010_girl_of_destiny.lua	13688	10	0	0	false	0	1	0	false	false	0	0	0	0	0	0
11	실종된 소녀Ⅱ	2	1	1	mq01_001_lost_girl2.xml	mq01_001_lost_girl2.lua	13689	2	0	0	false	0	1	0	true	false	0	0	0	0	0	0
12	실종된 소녀Ⅰ	2	1	1	mq01_012_lost_girl1.xml	mq01_012_lost_girl1.lua	13689	2	0	0	false	0	1	0	true	false	0	0	0	0	0	0
13	실종된 소녀Ⅱ	2	1	1	mq01_013_lost_girl2.xml	mq01_013_lost_girl2.lua	13681	3	0	0	false	0	1	0	true	false	0	0	0	0	0	0
14	흩어진 단서	2	1	2	mq01_014_scattered_evidence.xml	mq01_014_scattered_evidence.lua	13682	4	0	0	false	0	1	0	false	false	0	0	0	0	0	0
15	붉은 인장Ⅰ (워리어)	2	1	3	mq01_015_red_emblem1.xml	mq01_015_red_emblem1.lua	13683	4	0	0	false	0	1	0	false	false	0	0	0	0	0	0
16	붉은 인장Ⅰ (아처)	2	1	3	mq01_016_red_emblem1.xml	mq01_016_red_emblem1.lua	13683	5	0	0	false	0	1	0	false	false	0	0	0	0	0	0
17	붉은 인장Ⅱ	2	1	3	mq01_017_red_emblem2.xml	mq01_017_red_emblem2.lua	13684	6	0	0	false	0	1	0	false	false	0	0	0	0	0	0
18	카타콤 탈출	2	1	5	mq01_018_escape_of_the_catacomb.xml	mq01_018_escape_of_the_catacomb.lua	13685	7	0	0	false	0	1	0	false	false	0	0	0	0	0	0
19	소녀의 행방	2	1	5	mq01_019_whereabouts_girl.xml	mq01_019_whereabouts_girl.lua	13686	8	0	0	false	0	1	0	false	false	0	0	0	0	0	0
20	그녀를 부탁해	2	1	8	mq01_020_please_save_my_girl.xml	mq01_020_please_save_my_girl.lua	13687	9	0	0	false	0	1	0	false	false	0	0	0	0	0	0
21	운명의 소녀 (프레리)	2	1	9	mq01_021_girl_of_destiny.xml	mq01_021_girl_of_destiny.lua	13688	10	0	0	false	0	1	0	false	false	0	0	0	0	0	0
22	아버지의 행방	2	1	1	mq01_022_prologue_warrior.xml	mq01_022_prologue_warrior.lua	13680	1	0	0	false	0	1	0	true	false	0	0	0	0	0	0
23	운명의 부름	2	1	1	mq01_023_prologue_archer.xml	mq01_023_prologue_archer.lua	13680	1	0	0	false	0	1	0	true	false	0	0	0	0	0	0
24	프레리 타운	1	1	1	sq01_024_prairie.xml	sq01_024_prairie.lua	13690	0	0	0	false	0	1	0	false	false	0	0	0	0	0	0
25	붉은 인장	1	1	1	sq01_025_red_emblem.xml	sq01_025_red_emblem.lua	13690	0	0	0	false	0	1	0	false	false	0	0	0	0	0	0
26	미완의 사명	2	1	1	mq01_026_incompleted_mission.xml	mq01_026_incompleted_mission.lua	13680	1	0	0	false	0	1	0	true	false	0	0	0	0	0	0
27	폭로된 밀약	2	1	2	mq01_027_revealed_secret_promise.xml	mq01_027_revealed_secret_promise.lua	13689	2	0	0	false	0	1	0	true	false	0	0	0	0	0	0
28	선지자 구출	2	1	5	mq01_028_rescue_prophet.xml	mq01_028_rescue_prophet.lua	13681	3	0	0	false	0	1	0	false	false	0	0	0	0	0	0
29	진실한 사명	2	1	6	mq01_029_true_mission.xml	mq01_029_true_mission.lua	13682	4	0	0	false	0	1	0	false	false	0	0	0	0	0	0
30	죽음과 숙명	2	1	9	mq01_030_fatality_and_fate.xml	mq01_030_fatality_and_fate.lua	13683	5	0	0	false	0	1	0	false	false	0	0	0	0	0	0
31	운명의 소녀	2	1	1	mq01_031_desiny_girl.xml	mq01_031_desiny_girl.lua	13680	1	0	0	false	0	1	0	true	false	0	0	0	0	0	0
32	오리무중	2	1	3	mq01_032_befogged.xml	mq01_032_befogged.lua	13689	2	0	0	false	0	1	0	true	false	0	0	0	0	0	0
