ROWID	_StarCoin_Type|INTEGER	_StarCoin_TypeVelue|INTEGER	_StarCoin_Quantity|INTEGER	_StarCoin_Percent|INTEGER	_Gage_Up|TEXT
5001	1	0	10	100	0
5002	1	0	100	100	0
12	1	0	300	100	0
1001	1	0	100	100	0
1002	1	0	10	100	0
1003	1	0	10	100	0
1004	1	0	50	100	0
1005	1	0	100	100	0
1006	1	0	150	100	0
1007	1	0	100	100	0
1008	1	0	200	100	0
1009	1	0	150	100	0
1010	1	0	100	100	0
1011	1	0	50	100	0
1020	1	0	100	100	0
1021	1	0	1	100	0
1022	1	0	150	100	0
1023	1	0	0	100	0
1024	1	0	0	100	0
1025	1	0	200	100	0
1026	1	0	100	100	0
1027	1	0	5	100	0
1032	1	0	200	100	0
1028	1	0	300	100	0
1029	1	0	200	100	0
1030	1	0	100	100	0
1031	1	0	50	100	0
1040	1	0	100	100	0
1041	1	0	1	100	0
1042	1	0	150	100	0
1043	1	0	0	100	0
1044	1	0	0	100	0
1045	1	0	200	100	0
1046	1	0	100	100	0
1047	1	0	300	100	0
1048	1	0	400	100	0
1049	1	0	300	100	0
1050	1	0	200	100	0
1051	1	0	50	100	0
111001	0	903441	1	100	0.5
111002	0	903442	1	100	0.5
111003	0	903443	1	100	0.5
111004	0	903444	1	100	0.5
111005	0	903445	1	100	0.5
111006	0	903446	1	100	0.5
111007	0	903447	1	100	0.5
111008	0	903541	1	100	0.5
111009	0	903542	1	100	0.5
111010	0	903543	1	100	0.5
111011	0	903544	1	100	0.5
111012	0	903545	1	100	0.5
111013	0	903546	1	100	0.5
111014	0	903547	1	100	0.5
111015	0	903421	2	100	1
111016	0	903422	2	100	1
111017	0	903423	2	100	1
111018	0	903424	2	100	1
111019	0	903521	4	100	1
111020	0	903522	4	100	1
111021	0	903523	4	100	1
111022	0	903524	4	100	1
111023	0	903411	14	100	6
111024	0	903412	14	100	6
111025	0	903511	17	100	5.5
111026	0	903512	17	100	5.5
111027	0	903401	500	100	6
111028	0	903402	500	100	0
111029	0	903403	500	100	0
111030	0	903501	600	100	0
111031	0	903502	600	100	0
111032	0	903503	600	100	0
111033	0	903353	2	100	0
111034	0	903354	2	100	0
111035	0	903352	1	100	0
1120	1	0	200	100	0
1121	1	0	2	100	0
1122	1	0	300	100	0
1123	1	0	0	100	0
1124	1	0	0	100	0
1125	1	0	400	100	0
1126	1	0	200	100	0
1127	1	0	10	100	0
1132	1	0	400	100	0
1128	1	0	600	100	0
1129	1	0	400	100	0
1130	1	0	200	100	0
1131	1	0	100	100	0
1220	1	0	600	100	0
1221	1	0	6	100	0
1222	1	0	900	100	0
1223	1	0	0	100	0
1224	1	0	0	100	0
1225	1	0	1200	100	0
1226	1	0	800	100	0
1227	1	0	40	100	0
1232	1	0	1200	100	0
1228	1	0	1800	100	0
1229	1	0	1200	100	0
1230	1	0	600	100	0
1231	1	0	300	100	0
1101	1	0	200	100	0
1102	1	0	20	100	0
1103	1	0	20	100	0
1104	1	0	100	100	0
1105	1	0	200	100	0
1106	1	0	300	100	0
1107	1	0	200	100	0
1108	1	0	400	100	0
1109	1	0	300	100	0
1110	1	0	200	100	0
1111	1	0	100	100	0
1201	1	0	600	100	0
1202	1	0	60	100	0
1203	1	0	60	100	0
1204	1	0	300	100	0
1205	1	0	600	100	0
1206	1	0	900	100	0
1207	1	0	600	100	0
1208	1	0	1200	100	0
1209	1	0	900	100	0
1210	1	0	600	100	0
1211	1	0	300	100	0
1301	1	0	50	100	0
1302	1	0	100	100	0
1303	1	0	600	100	0
1304	1	0	2000	100	0
1305	1	0	720	100	0
1306	1	0	2400	100	0
