ROWID	_OpenLimit|BOOLEAN	_GroupID|INTEGER	_GroupProb|INTEGER	_AchieveEvent|INTEGER	_Achieve1Type|INTEGER	_Achieve1Param|INTEGER	_Achieve1Operator|INTEGER	_Achieve2Type|INTEGER	_Achieve2Param|INTEGER	_Achieve2Operator|INTEGER	_Achieve3Type|INTEGER	_Achieve3Param|INTEGER	_Achieve3Operator|INTEGER	_Achieve4Type|INTEGER	_Achieve4Param|INTEGER	_Achieve4Operator|INTEGER	_Achieve5Type|INTEGER	_Achieve5Param|INTEGER	_Achieve5Operator|INTEGER	_AchieveCheckType|BOOLEAN	_OpenLimitID|INTEGER
50	false	14	50	9	18	11	0	96	7	4	0	0	0	0	0	0	0	0	0	false	0
51	false	15	60	9	18	12	0	96	7	4	0	0	0	0	0	0	0	0	0	false	0
52	false	16	70	9	18	14	0	96	7	4	0	0	0	0	0	0	0	0	0	false	0
53	false	17	80	9	18	16	0	96	7	4	0	0	0	0	0	0	0	0	0	false	0
54	false	18	90	9	18	18	0	96	7	4	0	0	0	0	0	0	0	0	0	false	0
55	false	19	100	9	18	20	0	96	7	4	0	0	0	0	0	0	0	0	0	false	0
56	false	20	20	19	9	904864	0	0	0	0	0	0	0	0	0	0	0	0	0	false	614
57	false	21	100	19	9	579780	0	0	0	0	0	0	0	0	0	0	0	0	0	false	613
58	false	22	5	19	9	579553	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0
62	false	31	30	19	9	605011	0	9	605012	0	9	605015	0	0	0	0	0	0	0	true	615
63	false	24	100	19	9	605505	0	0	0	0	0	0	0	0	0	0	0	0	0	false	613
64	false	25	100	12	10	36	0	0	0	0	0	0	0	0	0	0	0	0	0	false	613
65	false	26	100	12	10	87	0	0	0	0	0	0	0	0	0	0	0	0	0	false	613
66	false	27	100	12	10	1279	0	0	0	0	0	0	0	0	0	0	0	0	0	false	613
67	false	28	100	12	10	324	0	10	372	0	10	326	0	10	325	0	0	0	0	true	613
69	false	30	100	43	10	26	0	37	20000	4	0	0	0	0	0	0	0	0	0	false	612
70	false	30	100	43	10	28	0	37	15000	4	0	0	0	0	0	0	0	0	0	false	612
71	false	30	100	43	10	32	0	37	18000	4	0	0	0	0	0	0	0	0	0	false	612
72	false	30	100	43	10	33	0	37	16000	4	0	0	0	0	0	0	0	0	0	false	612
73	false	30	100	43	10	46	0	37	16000	4	0	0	0	0	0	0	0	0	0	false	612
74	false	30	100	43	10	45	0	37	16000	4	0	0	0	0	0	0	0	0	0	false	612
75	false	30	100	43	10	24	0	37	20000	4	0	0	0	0	0	0	0	0	0	false	612
76	false	30	100	43	10	201	0	37	20000	4	0	0	0	0	0	0	0	0	0	false	612
77	false	30	100	43	10	252	0	37	9000	4	0	0	0	0	0	0	0	0	0	false	612
78	false	30	100	43	10	304	0	37	14000	4	0	0	0	0	0	0	0	0	0	false	612
79	false	30	100	43	10	7	0	37	19000	4	0	0	0	0	0	0	0	0	0	false	612
80	false	30	100	43	10	91	0	37	20000	4	0	0	0	0	0	0	0	0	0	false	612
81	false	30	100	43	10	323	0	37	11000	4	0	0	0	0	0	0	0	0	0	false	612
82	false	30	100	43	10	40	0	37	9000	4	0	0	0	0	0	0	0	0	0	false	612
83	false	30	100	43	10	41	0	37	15000	4	0	0	0	0	0	0	0	0	0	false	612
84	false	30	100	43	10	15	0	37	16000	4	0	0	0	0	0	0	0	0	0	false	612
85	false	30	100	43	10	29	0	37	15000	4	0	0	0	0	0	0	0	0	0	false	612
86	false	30	100	43	10	99	0	37	11000	4	0	0	0	0	0	0	0	0	0	false	612
87	false	30	100	43	10	277	0	37	20000	4	0	0	0	0	0	0	0	0	0	false	612
88	false	30	100	43	10	38	0	37	20000	4	0	0	0	0	0	0	0	0	0	false	612
89	false	30	100	43	10	100	0	37	20000	4	0	0	0	0	0	0	0	0	0	false	612
90	false	30	100	43	10	133	0	37	20000	4	0	0	0	0	0	0	0	0	0	false	612
91	false	30	100	43	10	42	0	37	11000	4	0	0	0	0	0	0	0	0	0	false	612
92	false	30	100	43	10	4	0	37	10000	4	0	0	0	0	0	0	0	0	0	false	612
93	false	30	100	43	10	255	0	37	20000	4	0	0	0	0	0	0	0	0	0	false	612
94	false	30	100	43	10	87	0	37	20000	4	0	0	0	0	0	0	0	0	0	false	612
95	false	30	100	43	10	62	0	37	20000	4	0	0	0	0	0	0	0	0	0	false	612
96	false	30	100	43	10	219	0	37	20000	4	0	0	0	0	0	0	0	0	0	false	612
97	false	30	100	43	10	92	0	37	20000	4	0	0	0	0	0	0	0	0	0	false	612
98	false	30	100	43	10	44	0	37	16000	4	0	0	0	0	0	0	0	0	0	false	612
99	false	30	100	43	10	36	0	37	16000	4	0	0	0	0	0	0	0	0	0	false	612
100	false	30	100	43	10	713	0	37	20000	4	0	0	0	0	0	0	0	0	0	false	612
101	false	30	100	43	10	712	0	37	20000	4	0	0	0	0	0	0	0	0	0	false	612
102	false	30	100	43	10	709	0	37	20000	4	0	0	0	0	0	0	0	0	0	false	612
103	false	30	100	43	10	714	0	37	20000	4	0	0	0	0	0	0	0	0	0	false	612
104	false	30	100	43	10	711	0	37	20000	4	0	0	0	0	0	0	0	0	0	false	612
105	false	30	100	43	10	715	0	37	20000	4	0	0	0	0	0	0	0	0	0	false	612
