ROWID	_EnchantLevel|INTEGER	_DisjointDrop|INTEGER	_Item1Index|INTEGER	_Item2Index|INTEGER	_Item3Index|INTEGER	_Item4Index|INTEGER	_Item5Index|INTEGER	_Item6Index|INTEGER	_Item7Index|INTEGER	_Item8Index|INTEGER	_Item9Index|INTEGER	_Item10Index|INTEGER	_Item11Index|INTEGER	_Item12Index|INTEGER	_Item13Index|INTEGER	_Item14Index|INTEGER	_Item15Index|INTEGER	_Item16Index|INTEGER	_Item17Index|INTEGER	_Item18Index|INTEGER	_Item19Index|INTEGER	_Item20Index|INTEGER
7556	0	184552946	1678786816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7557	1	184552946	1678786816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7558	2	184552946	1678786816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7559	3	184552946	1678786816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7560	4	184552946	1678786816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7561	5	184552946	1678786816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7562	6	184552946	1678786816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7563	7	184552946	1678786816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7564	8	184552946	1678786816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7565	9	184552946	1678786816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7566	10	184552946	1678786816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7567	11	184552946	1678786816	0	0	0	268447787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7568	12	184552946	1678786816	0	0	268447787	268447783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7569	13	184552946	1678786816	268447787	268447783	268447779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7570	14	184552946	1678786816	268447787	268447783	268447779	268447315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7571	15	184552946	0	268447787	268447783	268447779	268447315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7572	0	184552962	1678787072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7573	1	184552962	1678787072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7574	2	184552962	1678787072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7575	3	184552962	1678787072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7576	4	184552962	1678787072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7577	5	184552962	1678787072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7578	6	184552962	1678787072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7579	7	184552962	1678787072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7580	8	184552962	1678787072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7581	9	184552962	1678787072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7582	10	184552962	1678787072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7583	11	184552962	1678787072	0	0	0	268447788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7584	12	184552962	1678787072	0	0	268447788	268447784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7585	13	184552962	1678787072	268447788	268447784	268447780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7586	14	184552962	1678787072	268447788	268447784	268447780	268447316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7587	15	184552962	0	268447788	268447784	268447780	268447316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7588	0	184552978	1678787072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7589	1	184552978	1678787072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7590	2	184552978	1678787072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7591	3	184552978	1678787072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7592	4	184552978	1678787072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7593	5	184552978	1678787072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7594	6	184552978	1678787072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7595	7	184552978	1678787072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7596	8	184552978	1678787072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7597	9	184552978	1678787072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7598	10	184552978	1678787072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7599	11	184552978	1678787072	0	0	0	268447789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7600	12	184552978	1678787072	0	336990720	268447789	268447785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7601	13	184552978	1678787072	268447789	268447785	268447781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7602	14	184552978	1678787072	268447789	268447785	268447781	268447317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7603	15	184552978	0	268447789	268447785	268447781	268447317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7604	0	184552994	1678787328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
