ROWID	_NameID|INTEGER	_DescriptionID|INTEGER	_CompoundGroupID|INTEGER	_CompoundPotentialID|INTEGER	_Possibility|DOUBLE	_Cost|INTEGER	_TimeRequired|DOUBLE	_SuccessType1|INTEGER	_SuccessItemID1|INTEGER	_FailType1|INTEGER	_FailItemID1|INTEGER	_Slot1Id|INTEGER	_Slot1Num|INTEGER	_Slot2Id|INTEGER	_Slot2Num|INTEGER	_Slot3Id|INTEGER	_Slot3Num|INTEGER	_Slot4Id|INTEGER	_Slot4Num|INTEGER	_Slot5Id|INTEGER	_Slot5Num|INTEGER	_CompoundPreliminaryID|INTEGER	_Explanation|INTEGER	_Kind|INTEGER	_SuccessAwardItem1|INTEGER
55891	0	1000038108	55891	0	1.0	1840000	1500.0	-1	268435760	-1	0	268435854	1	268436065	4	0	0	0	0	0	0	0	0	0	0
55894	0	1000038108	55894	0	1.0	1840000	1500.0	-1	268435761	-1	0	268435855	1	268436065	4	0	0	0	0	0	0	0	0	0	0
55895	0	1000038108	55895	0	1.0	1840000	1500.0	-1	268435763	-1	0	268435857	1	268436065	4	0	0	0	0	0	0	0	0	0	0
55896	0	1000038108	55896	0	1.0	1840000	1500.0	-1	268435765	-1	0	268435859	1	268436065	4	0	0	0	0	0	0	0	0	0	0
55897	0	1000038108	55897	0	1.0	1840000	1500.0	-1	268435762	-1	0	268435856	1	268436065	4	0	0	0	0	0	0	0	0	0	0
55898	0	1000038108	55898	0	1.0	1840000	1500.0	-1	268435774	-1	0	268435868	1	268436065	4	0	0	0	0	0	0	0	0	0	0
55902	0	1000038108	55902	0	1.0	1840000	1500.0	-1	268435771	-1	0	268435865	1	268436065	4	0	0	0	0	0	0	0	0	0	0
55903	0	1000038108	55903	0	1.0	1840000	1500.0	-1	268435768	-1	0	268435862	1	268436065	4	0	0	0	0	0	0	0	0	0	0
55904	0	1000038108	55904	0	1.0	1840000	1500.0	-1	268435770	-1	0	268435864	1	268436065	4	0	0	0	0	0	0	0	0	0	0
55899	0	1000038108	55899	0	1.0	1840000	1500.0	-1	268435764	-1	0	268435858	1	268436065	4	0	0	0	0	0	0	0	0	0	0
