ROWID	_MonsterBookID|INTEGER	_CardLevel|INTEGER	_CardenchantItem1|INTEGER	_CardenchantValue1|INTEGER	_CardenchantItem2|INTEGER	_CardenchantValue2|INTEGER	_CardenchantItem3|INTEGER	_CardenchantValue3|INTEGER	_CardenchantItem4|INTEGER	_CardenchantValue4|INTEGER	_CardenchantItem5|INTEGER	_CardenchantValue5|INTEGER
1	1	1	268456083	1	536875349	1	0	0	0	0	0	0
2	1	2	268456083	1	536875349	1	0	0	0	0	0	0
3	1	3	268456083	1	536875349	1	0	0	0	0	0	0
4	1	4	268456083	1	536875349	1	0	0	0	0	0	0
5	1	5	268456083	1	536875349	1	0	0	0	0	0	0
6	1	6	268456083	1	536875349	1	0	0	0	0	0	0
7	1	7	268456083	1	536875349	1	0	0	0	0	0	0
8	1	8	268456083	1	536875349	1	0	0	0	0	0	0
9	1	9	268456083	1	536875349	1	0	0	0	0	0	0
10	1	10	268456083	1	536875349	1	0	0	0	0	0	0
11	2	1	268456087	1	536875349	1	0	0	0	0	0	0
12	2	2	268456087	1	536875349	1	0	0	0	0	0	0
13	2	3	268456087	1	536875349	1	0	0	0	0	0	0
14	2	4	268456087	1	536875349	1	0	0	0	0	0	0
15	2	5	268456087	1	536875349	1	0	0	0	0	0	0
16	2	6	268456087	1	536875349	1	0	0	0	0	0	0
17	2	7	268456087	1	536875349	1	0	0	0	0	0	0
18	2	8	268456087	1	536875349	1	0	0	0	0	0	0
19	2	9	268456087	1	536875349	1	0	0	0	0	0	0
20	2	10	268456087	1	536875349	1	0	0	0	0	0	0
21	3	1	268456091	1	536875349	1	0	0	0	0	0	0
22	3	2	268456091	1	536875349	1	0	0	0	0	0	0
23	3	3	268456091	1	536875349	1	0	0	0	0	0	0
24	3	4	268456091	1	536875349	1	0	0	0	0	0	0
25	3	5	268456091	1	536875349	1	0	0	0	0	0	0
26	3	6	268456091	1	536875349	1	0	0	0	0	0	0
27	3	7	268456091	1	536875349	1	0	0	0	0	0	0
28	3	8	268456091	1	536875349	1	0	0	0	0	0	0
29	3	9	268456091	1	536875349	1	0	0	0	0	0	0
30	3	10	268456091	1	536875349	1	0	0	0	0	0	0
31	4	1	268456095	1	536875349	1	0	0	0	0	0	0
32	4	2	268456095	1	536875349	1	0	0	0	0	0	0
33	4	3	268456095	1	536875349	1	0	0	0	0	0	0
34	4	4	268456095	1	536875349	1	0	0	0	0	0	0
35	4	5	268456095	1	536875349	1	0	0	0	0	0	0
36	4	6	268456095	1	536875349	1	0	0	0	0	0	0
37	4	7	268456095	1	536875349	1	0	0	0	0	0	0
38	4	8	268456095	1	536875349	1	0	0	0	0	0	0
39	4	9	268456095	1	536875349	1	0	0	0	0	0	0
40	4	10	268456095	1	536875349	1	0	0	0	0	0	0
41	5	1	268456098	1	536875349	1	0	0	0	0	0	0
42	5	2	268456098	1	536875349	1	0	0	0	0	0	0
43	5	3	268456098	1	536875349	1	0	0	0	0	0	0
44	5	4	268456098	1	536875349	1	0	0	0	0	0	0
45	5	5	268456098	1	536875349	1	0	0	0	0	0	0
46	5	6	268456098	1	536875349	1	0	0	0	0	0	0
47	5	7	268456098	1	536875349	1	0	0	0	0	0	0
48	5	8	268456098	1	536875349	1	0	0	0	0	0	0
49	5	9	268456098	1	536875349	1	0	0	0	0	0	0
50	5	10	268456098	1	536875349	1	0	0	0	0	0	0
51	6	1	268456186	1	536875349	1	0	0	0	0	0	0
52	6	2	268456186	1	536875349	1	0	0	0	0	0	0
53	6	3	268456186	1	536875349	1	0	0	0	0	0	0
54	6	4	268456186	1	536875349	1	0	0	0	0	0	0
55	6	5	268456186	1	536875349	1	0	0	0	0	0	0
56	6	6	268456186	1	536875349	1	0	0	0	0	0	0
57	6	7	268456186	1	536875349	1	0	0	0	0	0	0
58	6	8	268456186	1	536875349	1	0	0	0	0	0	0
59	6	9	268456186	1	536875349	1	0	0	0	0	0	0
60	6	10	268456186	1	536875349	1	0	0	0	0	0	0
61	7	1	268456188	1	536875349	1	0	0	0	0	0	0
62	7	2	268456188	1	536875349	1	0	0	0	0	0	0
63	7	3	268456188	1	536875349	1	0	0	0	0	0	0
64	7	4	268456188	1	536875349	1	0	0	0	0	0	0
65	7	5	268456188	1	536875349	1	0	0	0	0	0	0
66	7	6	268456188	1	536875349	1	0	0	0	0	0	0
67	7	7	268456188	1	536875349	1	0	0	0	0	0	0
68	7	8	268456188	1	536875349	1	0	0	0	0	0	0
69	7	9	268456188	1	536875349	1	0	0	0	0	0	0
70	7	10	268456188	1	536875349	1	0	0	0	0	0	0
71	8	1	268456096	1	536875349	2	0	0	0	0	0	0
72	8	2	268456096	1	536875349	2	0	0	0	0	0	0
73	8	3	268456096	1	536875349	2	0	0	0	0	0	0
74	8	4	268456096	1	536875349	2	0	0	0	0	0	0
75	8	5	268456096	1	536875349	2	0	0	0	0	0	0
76	8	6	268456096	1	536875349	2	0	0	0	0	0	0
77	8	7	268456096	1	536875349	2	0	0	0	0	0	0
78	8	8	268456096	1	536875349	2	0	0	0	0	0	0
79	8	9	268456096	1	536875349	2	0	0	0	0	0	0
80	8	10	268456096	1	536875349	2	0	0	0	0	0	0
81	9	1	268456093	1	536875349	2	536875348	2	0	0	0	0
82	9	2	268456093	1	536875349	2	536875348	2	0	0	0	0
83	9	3	268456093	1	536875349	2	536875348	2	0	0	0	0
84	9	4	268456093	1	536875349	2	536875348	2	0	0	0	0
85	9	5	268456093	1	536875349	2	536875348	2	0	0	0	0
86	9	6	268456093	1	536875349	2	536875348	2	0	0	0	0
87	9	7	268456093	1	536875349	2	536875348	2	0	0	0	0
88	9	8	268456093	1	536875349	2	536875348	2	0	0	0	0
89	9	9	268456093	1	536875349	2	536875348	2	0	0	0	0
90	9	10	268456093	1	536875349	2	536875348	2	0	0	0	0
91	10	1	268456099	1	536875349	2	0	0	0	0	0	0
92	10	2	268456099	1	536875349	2	0	0	0	0	0	0
93	10	3	268456099	1	536875349	2	0	0	0	0	0	0
94	10	4	268456099	1	536875349	2	0	0	0	0	0	0
95	10	5	268456099	1	536875349	2	0	0	0	0	0	0
96	10	6	268456099	1	536875349	2	0	0	0	0	0	0
97	10	7	268456099	1	536875349	2	0	0	0	0	0	0
98	10	8	268456099	1	536875349	2	0	0	0	0	0	0
99	10	9	268456099	1	536875349	2	0	0	0	0	0	0
100	10	10	268456099	1	536875349	2	0	0	0	0	0	0
101	11	1	268456189	1	536875349	1	0	0	0	0	0	0
102	11	2	268456189	1	536875349	1	0	0	0	0	0	0
103	11	3	268456189	1	536875349	1	0	0	0	0	0	0
104	11	4	268456189	1	536875349	1	0	0	0	0	0	0
105	11	5	268456189	1	536875349	1	0	0	0	0	0	0
106	11	6	268456189	1	536875349	1	0	0	0	0	0	0
