ROWID	_ItemID|INTEGER	_CompoundTableIndex1|INTEGER	_CompoundTableIndex2|INTEGER	_CompoundTableIndex3|INTEGER	_CompoundTableIndex4|INTEGER	_CompoundTableIndex5|INTEGER	_CompoundTableIndex6|INTEGER	_CompoundTableIndex7|INTEGER	_CompoundTableIndex8|INTEGER	_CompoundTableIndex9|INTEGER	_CompoundTableIndex10|INTEGER
268476046	268476046	268476012	0	0	0	0	0	0	0	0	0
268476047	268476047	268476013	0	0	0	0	0	0	0	0	0
268476048	268476048	268476014	0	0	0	0	0	0	0	0	0
268476049	268476049	268476015	0	0	0	0	0	0	0	0	0
268476050	268476050	268476016	0	0	0	0	0	0	0	0	0
268476051	268476051	268476017	0	0	0	0	0	0	0	0	0
268476052	268476052	268476018	0	0	0	0	0	0	0	0	0
268476053	268476053	268476019	0	0	0	0	0	0	0	0	0
268476054	268476054	268476020	0	0	0	0	0	0	0	0	0
268476055	268476055	268476021	0	0	0	0	0	0	0	0	0
268476056	268476056	268476022	0	0	0	0	0	0	0	0	0
268476057	268476057	268476023	0	0	0	0	0	0	0	0	0
268476058	268476058	268476024	0	0	0	0	0	0	0	0	0
268476059	268476059	268476025	0	0	0	0	0	0	0	0	0
268476060	268476060	268476026	0	0	0	0	0	0	0	0	0
268476061	268476061	268476027	0	0	0	0	0	0	0	0	0
268476062	268476062	268476028	0	0	0	0	0	0	0	0	0
268476076	268476076	268476088	0	0	0	0	0	0	0	0	0
268476070	268476070	268476082	0	0	0	0	0	0	0	0	0
268476074	268476074	268476086	0	0	0	0	0	0	0	0	0
268476075	268476075	268476087	0	0	0	0	0	0	0	0	0
268476077	268476077	268476089	0	0	0	0	0	0	0	0	0
268481471	268481471	268481453	0	0	0	0	0	0	0	0	0
268481472	268481472	268481454	0	0	0	0	0	0	0	0	0
268481473	268481473	268481455	0	0	0	0	0	0	0	0	0
268481474	268481474	268481456	0	0	0	0	0	0	0	0	0
268481475	268481475	268481457	0	0	0	0	0	0	0	0	0
268481476	268481476	268481458	0	0	0	0	0	0	0	0	0
268481477	268481477	268481459	0	0	0	0	0	0	0	0	0
268481478	268481478	268481460	0	0	0	0	0	0	0	0	0
268481479	268481479	268481461	0	0	0	0	0	0	0	0	0
268481480	268481480	268481462	0	0	0	0	0	0	0	0	0
268481482	268481482	268481464	0	0	0	0	0	0	0	0	0
268481483	268481483	268481465	0	0	0	0	0	0	0	0	0
268481481	268481481	268483982	0	0	0	0	0	0	0	0	0
268483986	268483986	268483985	0	0	0	0	0	0	0	0	0
268481541	268481541	268481515	0	0	0	0	0	0	0	0	0
268481542	268481542	268481516	0	0	0	0	0	0	0	0	0
268483704	268483704	268483692	0	0	0	0	0	0	0	0	0
268483705	268483705	268483693	0	0	0	0	0	0	0	0	0
268483764	268483764	268483716	0	0	0	0	0	0	0	0	0
268483767	268483767	268483717	0	0	0	0	0	0	0	0	0
268483768	268483768	268483765	0	0	0	0	0	0	0	0	0
268483769	268483769	268483766	0	0	0	0	0	0	0	0	0
268490528	268490528	268490254	0	0	0	0	0	0	0	0	0
268490529	268490529	268490259	0	0	0	0	0	0	0	0	0
268490530	268490530	268490260	0	0	0	0	0	0	0	0	0
268490784	268490784	268490815	0	0	0	0	0	0	0	0	0
268495067	268495067	268495054	0	0	0	0	0	0	0	0	0
268495068	268495068	268495055	0	0	0	0	0	0	0	0	0
268495069	268495069	268495056	0	0	0	0	0	0	0	0	0
268495070	268495070	268495057	0	0	0	0	0	0	0	0	0
268495071	268495071	268495058	0	0	0	0	0	0	0	0	0
268495072	268495072	268495059	0	0	0	0	0	0	0	0	0
268495073	268495073	268495060	0	0	0	0	0	0	0	0	0
268495074	268495074	268495061	0	0	0	0	0	0	0	0	0
268495075	268495075	268495062	0	0	0	0	0	0	0	0	0
268495076	268495076	268495063	0	0	0	0	0	0	0	0	0
268495077	268495077	268495064	0	0	0	0	0	0	0	0	0
268495078	268495078	268495065	0	0	0	0	0	0	0	0	0
268495079	268495079	268495066	0	0	0	0	0	0	0	0	0
