ROWID	_JobID|INTEGER	_HeroSkillID|INTEGER	_HeroFullPoint_PVE|INTEGER	_HeroFullPoint_PVP|INTEGER	_HeroSkillDefault|INTEGER
1	23	772	7500	5000	1
2	24	773	7500	5000	1
3	25	774	7500	5000	1
4	26	775	7500	5000	1
5	76	776	7500	5000	1
6	29	1593	7500	5000	1
7	30	1594	7500	5000	1
8	31	1595	7500	5000	1
9	32	1596	7500	5000	1
10	81	1597	7500	5000	1
11	35	3144	7500	5000	1
12	36	3145	7500	5000	1
13	37	3146	7500	5000	1
14	38	3147	7500	5000	1
15	85	3148	7500	5000	1
16	41	3567	7500	5000	1
17	42	3568	7500	5000	1
18	43	3569	7500	5000	1
19	44	3570	7500	5000	1
20	83	3571	7500	5000	1
21	47	4865	7500	5000	1
22	48	4866	7500	5000	1
23	50	4867	7500	5000	1
24	51	4868	7500	5000	1
25	87	4869	7500	5000	1
26	55	5820	7500	5000	1
27	56	5821	7500	5000	1
28	58	5822	7500	5000	1
29	59	5823	7500	5000	1
30	89	5824	7500	5000	1
31	63	6740	7500	5000	1
32	64	6741	7500	5000	1
33	68	6742	7500	5000	1
34	69	6743	7500	5000	1
35	91	6744	7500	5000	1
36	73	8311	7500	5000	1
37	74	8312	7500	5000	1
38	93	8313	7500	5000	1
39	94	8314	7500	5000	1
40	99	8315	7500	5000	1
41	78	10411	7500	5000	1
42	79	10412	7500	5000	1
43	96	10413	7500	5000	1
44	97	10414	7500	5000	1
45	102	12081	7500	5000	1
46	103	12112	7500	5000	1
47	107	129	7500	5000	1
48	108	169	7500	5000	1
