ROWID	_Type|INTEGER	_Grade|INTEGER	_Compensation1|INTEGER	_Compensation2|INTEGER	_Compensation3|INTEGER	_Compensation4|INTEGER	_Compensation5|INTEGER	_CompensationValue1|INTEGER	_CompensationValue2|INTEGER	_CompensationValue3|INTEGER	_CompensationValue4|INTEGER	_CompensationValue5|INTEGER
12	1	2	536871418	536871419	346031104	0	0	2	2	3	0	0
13	1	3	536871418	536871419	346031104	0	0	1	1	3	0	0
14	1	4	536871418	346031104	0	0	0	1	3	0	0	0
15	1	5	536871419	346031104	0	0	0	1	2	0	0	0
16	1	6	346031104	0	0	0	0	2	0	0	0	0
17	1	7	346031104	0	0	0	0	2	0	0	0	0
18	1	8	346031104	0	0	0	0	1	0	0	0	0
19	1	9	346031104	0	0	0	0	1	0	0	0	0
20	1	10	346031104	0	0	0	0	1	0	0	0	0
1	0	1	536871426	268470098	0	0	0	1	1	0	0	0
2	0	2	536871427	268470098	0	0	0	1	1	0	0	0
3	0	3	536871428	268470098	0	0	0	1	1	0	0	0
4	0	4	536871429	268470098	0	0	0	1	1	0	0	0
5	0	5	536871430	268470098	0	0	0	1	1	0	0	0
6	0	6	536871431	268470091	0	0	0	1	1	0	0	0
7	0	7	536871431	268470091	0	0	0	1	1	0	0	0
8	0	8	536871431	268470091	0	0	0	1	1	0	0	0
9	0	9	536871431	268470091	0	0	0	1	1	0	0	0
10	0	10	536871431	268470091	0	0	0	1	1	0	0	0
11	1	1	536871416	536871417	346031104	268470091	0	2	2	5	1	0
