ROWID	_MixType|INTEGER	_MixRank1|INTEGER	_MixRank2|INTEGER	_CompoundFee|INTEGER	_ResultRate0|DOUBLE	_ResultRate1|DOUBLE	_ResultRate2|DOUBLE	_ResultRate3|DOUBLE	_ResultRate4|DOUBLE	_ResultRate5|DOUBLE	_ResultRate6|DOUBLE	_ResultRate7|DOUBLE	_ResultRate8|DOUBLE	_ResultRate9|DOUBLE	_ResultRate10|DOUBLE	_ResultRate11|DOUBLE	_ResultRate12|DOUBLE	_ResultRate13|DOUBLE	_ResultRate14|DOUBLE	_ResultRate15|DOUBLE	_ResultRate16|DOUBLE	_ResultRate17|DOUBLE	_ResultRate18|DOUBLE	_ResultRate19|DOUBLE	_ResultRate20|DOUBLE
1	0	0	0	10000	0.0	85.0	10.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0	0	1	10000	0.0	75.0	18.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0	1	1	10000	0.0	70.0	17.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28	0	0	2	10000	0.0	0.0	90.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	0	1	2	10000	0.0	0.0	80.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	0	2	2	10000	0.0	0.0	70.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	5	0	0	10000	0.0	90.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	5	0	1	10000	0.0	60.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	5	1	1	10000	0.0	50.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	6	0	0	10000	0.0	90.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
