ROWID	_NameID|INTEGER	_NameIDParam|TEXT	_Level|INTEGER	_HP|INTEGER	_HPUI|INTEGER	_StrPMin|INTEGER	_StrPMax|INTEGER	_AttackUI|INTEGER	_StrMMin|INTEGER	_StrMMax|INTEGER	_DefP|INTEGER	_DefM|INTEGER	_Stiff|INTEGER	_Critical|INTEGER	_Stun|INTEGER	_StiffResistance|INTEGER	_CriticalResistance|INTEGER	_StunResistance|INTEGER	_Element_Str_Type|INTEGER	_Element_Str|FLOAT	_Fire_Def|FLOAT	_Ice_Def|FLOAT	_Light_Def|FLOAT	_Dark_Def|FLOAT	_DeadExperience|INTEGER	_CompleteExperience|INTEGER	_DeadDurability|INTEGER	_MoveSpeed|INTEGER	_DownDelay|FLOAT	_ActorTableID|INTEGER	_SizeMin|FLOAT	_SizeMax|FLOAT	_CustomAI|TEXT	_Weapon1Index|INTEGER	_Weapon2Index|INTEGER	_ThreatRange|INTEGER	_ThreatAggro|INTEGER	_CognizanceGentleRange|INTEGER	_CognizanceThreatRange|INTEGER	_RefreshTargetType|INTEGER	_RefreshTargetValue1|DOUBLE	_RefreshTargetValue2|DOUBLE	_SkillTable|INTEGER	_MonsterPartsIndex1|INTEGER	_MonsterPartsIndex2|INTEGER	_MonsterPartsIndex3|INTEGER	_MonsterPartsIndex4|INTEGER	_MonsterPartsIndex5|INTEGER	_SuperAmmor|INTEGER	_ImmunedStateBlow|TEXT	_ImmunePercent|TEXT	_DecreaseAggro|FLOAT	_RangeAttackAdditionalAggro|FLOAT	_StunStateAdditionalAggro|FLOAT	_DownStateAdditionalAggro|FLOAT	_CantMoveStateAdditionalAggro|FLOAT	_SleepStateAdditionalAggro|FLOAT	_UnderHPStateAdditionalAggro|FLOAT	_AllowSEDiffuseVariation|INTEGER	_Grade|INTEGER	_AllowEffectIndex|INTEGER	_UseGaugeBalloon|BOOLEAN	_ItemDropGroupID|INTEGER	_MonsterRaceID|INTEGER	_MonsterGrade|INTEGER	_SlowEffectByDeath|BOOLEAN	_EffectScale|BOOLEAN	_BossKillCheck|BOOLEAN	_ImmuneReduceTime|TEXT	_EffectByStart|TEXT	_EffectByEnd|TEXT	_StateResist|BOOLEAN	_AllowEffectIndex_New|TEXT	_NoSpin|BOOLEAN	_ShowGauge|BOOLEAN	_OffSetID|INTEGER	_HPBarOrder|INTEGER	_ItemDropType|INTEGER	_ItemDropIntervalTime|TEXT	_LimboConstantFlag|INTEGER	_NewBalanceFlagException|INTEGER
21201	1000003651	{1000000025}	6	199	0	17	21	0	17	21	304	364	73	270	68	34	0	28	-1	0.0	-0.3	0.3	0.0	0.0	0	0	0	0	0.0	10303	0.95	1.0	AiGoblin_Green_Normal.lua	69	0	1200	5	1400	3000	0	0.0	0.0	1	0	0	0	0	0	100			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	11001	21	1	false	true	false				false	0	false	true	0	0	0	0	0	0
21202	1000003651	{1000006540}	10	195	0	30	37	0	30	37	412	412	72	610	46	46	0	19	-1	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	10204	0.95	1.0	AiKoboldWarrior_Yellow_Normal.lua	212	212	1400	5	1400	3000	0	0.0	0.0	40	0	0	0	0	0	100			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	11001	25	1	false	true	false				false	0	false	true	0	0	0	0	0	0
21203	1000003651	{1000006970}	6	92	0	17	21	0	17	21	182	182	73	720	34	0	112	14	-1	0.0	-0.3	0.3	0.0	0.0	0	0	0	350	0.0	10005	0.95	1.0	AiHound_General_Normal.lua	10	0	1200	5	1400	3000	0	0.0	0.0	0	0	0	0	0	0	100			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	11001	2	1	false	true	false				false	0	false	true	0	0	0	0	0	0
21204	1000003651	{1000006533}	6	166	0	18	23	0	18	23	304	304	73	900	135	34	0	28	-1	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	10302	0.95	1.0	AiGoblin_Blue_Normal.lua	3	0	1200	5	1400	3000	0	0.0	0.0	13	0	0	0	0	0	100			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	11001	20	1	false	true	false				false	0	false	true	0	0	0	0	0	0
21205	1000003651	{1000006531}	6	1022	0	58	71	0	58	71	446	446	97	360	135	97	450	56	-1	0.0	0.0	0.0	0.0	0.0	0	0	0	0	1.0	10801	1.45	1.5	AiOrc_Green_Boss_Normal.lua	8	0	1200	5	1400	3000	0	0.0	0.0	5	0	0	0	0	0	300			0.1	1.5	1.2	1.2	1.0	1.0	1.0	1	5	0	false	11001	96	5	true	true	false				false	0	false	true	0	0	0	0	0	0
21206	1000003651	{1000006553}	6	665	0	28	34	0	28	34	334	334	73	900	68	39	0	28	-1	0.0	0.3	-0.3	0.0	0.0	0	0	0	0	1.0	10350	1.45	1.5	AiGoblin_Red_Boss_Normal.lua	71	0	3000	5	3200	4000	0	0.0	0.0	13	0	0	0	0	0	300			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	5	0	false	11001	23	5	true	true	false				false	0	false	true	0	0	0	0	0	0
21207	1000003651	{1000006534}	9	1040	0	78	95	0	78	95	480	649	154	456	34	92	285	36	-1	0.0	0.0	0.0	0.3	-0.3	0	0	0	0	1.0	11601	1.25	1.3	AiBroo_White_Boss_Normal.lua	16	0	3000	5	3200	4000	0	0.0	0.0	11	0	0	0	0	0	300			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	5	0	false	11001	106	5	true	true	false				false	0	false	true	0	0	0	0	0	0
21208	1000003651	{1000005998}	6	1022	0	52	64	0	41	50	557	334	97	450	68	122	225	56	-1	0.0	-0.15	0.15	0.0	0.0	0	0	0	0	1.0	11201	1.25	1.3	AiTroll_Blue_Boss_Normal.lua	12	0	3000	5	3200	4000	0	0.0	0.0	0	0	0	0	0	0	300			0.5	1.5	1.2	0.5	1.0	1.0	1.0	1	5	0	false	11001	114	5	true	true	false				false	0	false	true	0	0	0	0	0	0
21209	1000003651	{1000006557}	19	601	0	42	52	0	42	52	1294	518	124	0	0	124	0	288	-1	0.0	-0.3	0.0	0.0	0.3	0	0	0	0	0.0	11003	0.95	1.0	AiSpider_Black_Normal.lua	17	0	1200	5	1400	3000	0	0.0	0.0	4	0	0	0	0	0	100			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	11001	17	1	false	true	false				false	0	false	true	0	0	0	0	0	0
21210	1000003651	{1000006540}	17	683	0	52	64	0	52	64	709	709	125	1050	79	79	0	33	-1	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	10201	1.1	1.11	AiKoboldWarrior_Yellow_Normal.lua	3	3	1200	5	1400	3000	0	0.0	0.0	40	0	0	0	0	0	100			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	11001	25	1	false	true	false				false	0	false	true	0	0	0	0	0	0
