ROWID	_Type|INTEGER	_IconID|INTEGER	_IsCash|BOOLEAN	_Priority|INTEGER	_MarkOnly|BOOLEAN	_MarkView|INTEGER
1	0	0	false	1	false	1
2	1	0	false	1	false	1
3	2	0	false	1	false	1
4	0	1	false	2	false	1
5	0	2	false	3	false	1
6	0	3	false	4	false	1
7	0	4	false	5	false	1
8	0	5	false	6	false	1
9	0	6	false	7	false	0
10	0	7	false	8	false	0
11	0	8	false	9	false	0
12	1	640	false	2	false	1
13	1	641	false	3	false	1
14	1	642	false	4	false	1
15	1	643	false	5	false	1
16	1	644	false	6	false	1
17	1	645	false	7	false	1
18	1	646	false	8	false	1
19	1	647	false	9	false	1
20	1	648	false	10	false	1
21	1	649	false	11	false	1
22	1	650	false	12	false	1
23	1	651	false	13	false	1
24	1	652	false	14	false	1
25	1	653	false	15	false	1
26	1	654	false	16	false	1
27	1	655	false	17	false	1
28	1	656	false	18	false	1
29	1	657	false	19	false	1
30	1	658	false	20	false	1
31	1	659	false	21	false	1
32	1	660	false	22	false	1
33	1	661	false	23	false	1
34	1	662	false	24	false	1
35	1	663	false	25	false	1
36	1	664	false	26	false	1
37	1	665	false	27	false	1
38	1	666	false	28	false	1
39	1	667	false	29	false	1
40	1	668	false	30	false	1
41	1	669	false	31	false	1
42	1	670	false	32	false	1
43	1	671	false	33	false	1
44	1	672	false	34	false	1
45	1	673	false	35	false	1
46	1	674	false	36	false	1
47	1	675	false	37	false	1
48	1	676	false	38	false	1
49	1	677	false	39	false	1
50	1	678	false	40	false	1
51	1	679	false	41	false	1
52	1	680	false	42	false	0
53	1	681	false	43	false	0
54	1	682	false	44	false	0
55	1	683	false	45	false	0
56	1	684	false	46	false	0
57	1	685	false	47	false	0
58	1	686	false	48	false	0
59	1	687	false	49	false	0
60	1	688	false	50	false	0
61	1	689	false	51	false	0
62	1	690	false	52	false	0
63	1	691	false	53	false	0
64	1	692	false	54	false	0
65	1	693	false	55	false	0
66	1	694	false	56	false	0
67	1	695	false	57	false	0
68	1	696	false	58	false	0
69	1	697	false	59	false	0
70	1	698	false	60	false	0
71	1	699	false	61	false	0
72	1	700	false	62	false	0
73	1	701	false	63	false	0
74	1	702	false	64	false	0
75	1	703	false	65	false	0
76	2	1280	false	2	false	1
77	2	1281	false	3	false	1
78	2	1282	false	4	false	1
79	2	1283	false	5	false	1
80	2	1284	false	6	false	1
81	2	1285	false	7	false	1
82	2	1286	false	8	false	1
83	2	1287	false	9	false	1
84	2	1288	false	10	false	1
85	2	1289	false	11	false	1
86	2	1290	false	12	false	1
87	2	1291	false	13	false	1
88	2	1292	false	14	false	1
89	2	1293	false	15	false	1
90	2	1294	false	16	false	1
91	2	1295	false	17	false	1
92	2	1296	false	18	false	1
93	2	1297	false	19	false	1
94	2	1298	false	20	false	1
95	2	1299	false	21	false	1
96	2	1300	false	22	false	1
97	2	1301	false	23	false	1
98	2	1302	false	24	false	1
99	2	1303	false	25	false	1
100	2	1304	false	26	false	1
101	2	1305	false	27	false	1
102	2	1306	false	28	false	1
103	2	1307	false	29	false	1
104	2	1308	false	30	false	1
105	2	1309	false	31	false	1
106	2	1310	false	32	false	1
107	2	1311	false	33	false	1
108	2	1312	false	34	false	1
109	2	1313	false	35	false	1
110	2	1314	false	36	false	1
111	2	1315	false	37	false	1
112	2	1316	false	38	false	1
113	2	1317	false	39	false	1
114	2	1318	false	40	false	1
115	2	1319	false	41	false	1
116	2	1320	false	42	false	1
117	2	1321	false	43	false	1
118	2	1322	false	44	false	1
119	2	1323	false	45	false	1
120	2	1324	false	46	false	1
121	2	1325	false	47	false	1
122	2	1326	false	48	false	1
123	2	1327	false	49	false	1
124	2	1328	false	50	false	1
125	2	1329	false	51	false	1
126	2	1330	false	52	false	1
127	2	1331	false	53	false	1
128	2	1332	false	54	false	1
129	2	1333	false	55	false	1
130	2	1334	false	56	false	1
131	2	1335	false	57	false	1
132	2	1336	false	58	false	1
133	2	1337	false	59	false	1
134	2	1338	false	60	false	1
135	2	1339	false	61	false	1
136	2	1340	false	62	false	1
137	2	1341	false	63	false	1
138	2	1342	false	64	false	1
139	2	1343	false	65	false	1
140	2	1344	false	66	false	1
141	2	1345	false	67	false	1
142	2	1346	false	68	false	1
143	2	1347	false	69	false	1
144	2	1348	false	70	false	1
145	2	1349	false	71	false	1
146	2	1350	false	72	false	1
147	2	1351	false	73	false	1
148	2	1352	false	74	false	1
149	2	1353	false	75	false	1
150	2	1354	false	76	false	1
151	2	1355	false	77	false	1
152	2	1356	false	78	false	1
153	2	1357	false	79	false	1
154	2	1358	false	80	false	1
155	2	1359	false	81	false	1
156	2	1360	false	82	false	1
157	2	1361	false	83	false	1
158	2	1362	false	84	false	1
159	2	1363	false	85	false	1
160	2	1364	false	86	false	1
161	2	1365	false	87	false	1
162	2	1366	false	88	false	1
163	2	1367	false	89	false	1
164	2	1368	false	90	false	1
165	2	1369	false	91	false	1
166	2	1370	false	92	false	1
167	2	1371	false	93	false	1
168	2	1372	false	94	false	1
169	2	1373	false	95	false	1
170	2	1374	false	96	false	1
171	2	1375	false	97	false	1
172	2	1376	false	98	false	1
173	2	1377	false	99	false	1
174	2	1378	false	100	false	1
175	2	1379	false	101	false	1
176	2	1380	false	102	false	1
177	2	1381	false	103	false	1
178	2	1382	false	104	false	1
179	2	1383	false	105	false	1
180	2	1384	false	106	false	1
181	2	1385	false	107	false	1
182	2	1386	false	108	false	1
183	2	1387	false	109	false	1
184	2	1388	false	110	false	1
185	2	1389	false	111	false	1
