ROWID	_MapID|INTEGER	_EventAreaID|INTEGER	_FishingPointID|INTEGER
1	15106	197	2
2	15106	198	2
3	15106	199	2
4	15106	200	2
5	15106	201	2
6	15106	202	2
7	15106	203	1
8	15106	204	1
9	15106	205	1
10	15106	286	1
11	15106	287	1
12	15106	288	1
13	15106	289	1
14	15106	293	1
15	15106	380	3
16	15106	381	4
17	15109	12120	5
18	15109	12121	5
19	15109	12122	5
20	15109	12123	5
21	15109	12124	5
22	15109	12125	5
23	15109	12126	5
24	15109	12127	5
25	15109	12128	5
26	15109	12129	5
27	15109	12130	5
28	15109	12131	5
29	15109	12132	5
30	15109	12133	5
31	15109	12134	5
32	15109	12135	5
33	15109	12136	5
34	15109	12137	5
35	15109	12138	5
36	15109	12139	5
37	15109	12140	5
38	15109	12141	5
39	15109	12142	5
40	15109	12143	5
41	15109	12144	5
42	15109	12145	5
43	15109	12146	5
44	15109	12147	5
45	15109	12148	5
46	15109	12149	5
47	15109	12310	5
48	15109	12311	5
49	15109	12396	5
50	15109	12398	5
51	15108	118	1
52	15108	119	1
53	15108	120	2
54	15108	121	2
55	15108	122	2
56	15108	124	3
57	15108	125	4
