ROWID	_SubCategoryID|TEXT	_TitleNameID|INTEGER	_SubTitleNameID|INTEGER	_TitleNameIDParam|TEXT	_SubTitleNameIDParam|TEXT	_Icon|INTEGER	_AchieveIcon|INTEGER	_RewardAppellation|INTEGER	_RewardPoint|INTEGER	_AchieveEvent|INTEGER	_Achieve1Type|INTEGER	_Achieve1Param|INTEGER	_Achieve1Operator|INTEGER	_Achieve2Type|INTEGER	_Achieve2Param|INTEGER	_Achieve2Operator|INTEGER	_Achieve3Type|INTEGER	_Achieve3Param|INTEGER	_Achieve3Operator|INTEGER	_Achieve4Type|INTEGER	_Achieve4Param|INTEGER	_Achieve4Operator|INTEGER	_Achieve5Type|INTEGER	_Achieve5Param|INTEGER	_Achieve5Operator|INTEGER	_CounterParam|INTEGER	_CounterOperator|INTEGER	_AchieveCheckType|BOOLEAN	_type|INTEGER	_typeParam|INTEGER	_MailID|INTEGER	_StartTime|TEXT	_EndTime|TEXT
1	0	1000072696	1000072702	320	320	3	0	0	0	3	3	14512	0	0	0	0	0	0	0	0	0	0	0	0	0	320	4	false	10	0	2463	201308140900	201412310900
2	0	1000072697	1000072703	320	320	3	0	0	0	3	3	14513	0	0	0	0	0	0	0	0	0	0	0	0	0	320	4	false	10	0	2464	201308140900	201412310900
3	0	1000072698	1000072704	1200	1200	3	0	0	0	3	3	14412	0	4	4	0	0	0	0	0	0	0	0	0	0	1200	4	false	10	0	2465	201308140900	201409300900
4	0	1000072699	1000072705	720	720	3	0	0	0	19	9	900261	0	9	900262	0	9	900285	0	9	900286	0	0	0	0	720	4	true	10	0	2466	201308140900	201410140900
5	0	1000072700	1000072706	800	800	3	0	0	0	3	3	14301	0	4	4	0	0	0	0	0	0	0	0	0	0	800	4	false	10	0	2467	201308140900	201407310900
6	0	1000072701	1000072707	400	400	3	0	0	0	3	3	14401	0	4	4	0	0	0	0	0	0	0	0	0	0	400	4	false	10	0	2468	201308140900	201407310900
7	0	1000078451	1000078451	4000	4000	3	0	0	0	64	74	1	4	0	0	0	0	0	0	0	0	0	0	0	0	4000	4	false	10	0	2731	201308140900	201511300900
8	0	1000078268	1000078272	5000	5000	3	0	0	0	48	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	4	false	10	0	2733	201308140900	201511300900
9	0	1000078214	1000078216	5000	5000	3	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	4	false	10	0	2734	201308140900	201508300900
10	0	1000078266	1000078271	3000	3000	3	0	0	0	36	53	14	0	74	1	4	0	0	0	0	0	0	0	0	0	3000	4	false	10	0	2735	201308140900	201508300900
11	0	1000078213	1000078215	3000	3000	3	0	0	0	37	53	11	0	54	1000	0	34	1	4	68	5	4	0	0	0	3000	4	false	10	0	2736	201308140900	201506300900
12	0	1000078265	1000078270	2000	2000	3	0	0	0	36	53	3	0	68	5	4	0	0	0	0	0	0	0	0	0	2000	4	false	10	0	2737	201308140900	201506300900
13	0	1000130831	1000145788	8400		3	0	0	0	19	9	517434	0	0	0	0	0	0	0	0	0	0	0	0	0	8400	4	true	10	0	4228	201807050900	201907040900
14	0	1000130832	1000145789	8400		3	0	0	0	19	9	517482	0	0	0	0	0	0	0	0	0	0	0	0	0	8400	4	true	10	0	4229	201807050900	201907040900
15	0	1000130833	1000145790	4200		3	0	0	0	19	9	517361	0	0	0	0	0	0	0	0	0	0	0	0	0	4200	4	true	10	0	4230	201807050900	201907040900
16	0	1000130833	1000145790	8400		3	0	0	0	19	9	517361	0	0	0	0	0	0	0	0	0	0	0	0	0	8400	4	true	10	0	4231	201807050900	201907040900
17	0	1000130834	1000145791	4200		3	0	0	0	19	9	517513	0	0	0	0	0	0	0	0	0	0	0	0	0	4200	4	true	10	0	4232	201807050900	201907040900
18	0	1000130834	1000145791	8400		3	0	0	0	19	9	517513	0	0	0	0	0	0	0	0	0	0	0	0	0	8400	4	true	10	0	4233	201807050900	201907040900
19	0	1000078451	1000078451	3000	3000	3	0	0	0	64	74	1	4	0	0	0	0	0	0	0	0	0	0	0	0	3000	4	false	10	0	4234	201807050900	201907040900
20	0	1000078268	1000078272	3000	3000	3	0	0	0	48	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	4	false	10	0	4235	201807050900	201907040900
21	0	1000078266	1000078271	1500	1500	3	0	0	0	36	53	14	0	74	1	4	0	0	0	0	0	0	0	0	0	1500	4	false	10	0	4236	201807050900	201907040900
22	0	1000078266	1000078271	3000	3000	3	0	0	0	36	53	14	0	74	1	4	0	0	0	0	0	0	0	0	0	3000	4	false	10	0	4237	201807050900	201907040900
23	0	1000129845	1000129846	1500	1500	3	0	0	0	36	53	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1500	4	false	10	0	4238	201807050900	201907040900
24	0	1000129845	1000129846	3000	3000	3	0	0	0	36	53	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	4	false	10	0	4239	201807050900	201907040900
