ROWID	_MercenaryChatGroup|INTEGER	_ChatType|INTEGER	_Dialogue|INTEGER	_Sound|TEXT
1	1	1	1000079903	
2	1	2	0	
3	1	3	1000079904	
4	2	1	1000079905	
5	2	2	0	
6	2	3	1000079906	
7	3	1	1000079907	
8	3	2	0	
9	3	3	1000079908	
10	4	1	1000079909	
11	4	2	0	
12	4	3	1000079910	
13	5	1	1000079911	
14	5	2	0	
15	5	3	1000079912	
16	6	1	1000079913	
17	6	2	0	
18	6	3	1000079914	
19	7	1	1000079915	
20	7	2	0	
21	7	3	1000079916	
22	8	1	1000079917	
23	8	2	0	
24	8	3	1000079918	
25	9	1	1000079919	
26	9	2	0	
27	9	3	1000079920	
28	10	1	1000079921	
29	10	2	0	
30	10	3	1000079922	
31	11	1	1000079923	
32	11	2	0	
33	11	3	1000079924	
34	12	1	1000079925	
35	12	2	0	
36	12	3	1000079926	
37	13	1	1000079927	
38	13	2	0	
39	13	3	1000079928	
40	14	1	1000079929	
41	14	2	0	
42	14	3	1000079930	
43	15	1	1000079931	
44	15	2	0	
45	15	3	1000079932	
46	16	1	1000080417	mercenary_Velskud_Voc_StageClear.ogg
47	16	2	1000080418	mercenary_Velskud_Voc_PlayerLevelUp.ogg
48	16	3	1000080419	mercenary_Velskud_Voc_npcLevelUp.ogg
49	17	1	1000080420	mercenary_Argenta_Voc_StageClear.ogg
50	17	2	1000080421	mercenary_Argenta_Voc_PlayerLevelUp.ogg
51	17	3	1000080422	mercenary_Argenta_Voc_npcLevelUp.ogg
52	18	1	1000080423	mercenary_Geraint_Voc_StageClear.ogg
53	18	2	1000080424	mercenary_Geraint_Voc_PlayerLevelUp.ogg
54	18	3	1000080425	mercenary_Geraint_Voc_npcLevelUp.ogg
55	19	1	1000080426	mercenary_Iona_Voc_StageClear.ogg
56	19	2	1000080427	mercenary_Iona_Voc_PlayerLevelUp.ogg
57	19	3	1000080428	mercenary_Iona_Voc_npcLevelUp.ogg
58	20	1	1000080429	mercenary_Karahan_Voc_StageClear.ogg
59	20	2	1000080430	mercenary_Karahan_Voc_PlayerLevelUp.ogg
60	20	3	1000080431	mercenary_Karahan_Voc_npcLevelUp.ogg
61	21	1	1000087429	
62	21	2	1000087430	
63	21	3	1000087431	
64	22	1	1000122602	
65	22	2	1000122603	
66	22	3	1000122604	
67	23	1	1000128994	
68	23	2	1000128995	
69	23	3	1000128996	
73	25	1	1000156932	
74	25	2	1000156933	
75	25	3	1000156934	
76	26	1	1000158702	
77	26	2	1000158703	
78	26	3	1000158704	
81	28	1	1000171742	
82	28	2	1000171743	
83	28	3	1000171744	
84	29	1	1000177693	
85	29	2	1000177694	
86	29	3	1000177695	
