ROWID	_TabNum|INTEGER	_TitleNameID|INTEGER	_RewardType|INTEGER	_RewardCount|INTEGER	_RewardSN1|INTEGER	_RewardSN2|INTEGER	_RewardSN3|INTEGER	_RewardSN4|INTEGER	_RewardSN5|INTEGER	_RewardSN6|INTEGER
1	15	1000089923	0	2	1990124	0	0	0	0	0
2	15	1000091604	0	5	1990152	0	0	0	0	0
3	15	1000091605	0	7	1990153	0	0	0	0	0
4	15	1000103631	0	11	1990218	0	0	0	0	0
5	16	1000091603	0	3	1990219	0	0	0	0	0
6	16	1000091604	0	5	1990226	0	0	0	0	0
7	16	1000110003	0	8	1902553	0	0	0	0	0
8	16	1000091606	0	10	1902711	0	0	0	0	0
9	16	1000114461	0	12	1902758	0	0	0	0	0
10	17	1000091603	0	3	1902859	0	0	0	0	0
11	17	1000091604	0	5	1902860	0	0	0	0	0
12	17	1000091605	0	7	1902861	0	0	0	0	0
13	17	1000091606	0	10	1902862	0	0	0	0	0
14	17	1000114461	0	12	1990282	1990283	0	0	0	0
15	18	1000091603	0	3	1990287	0	0	0	0	0
16	18	1000125913	0	6	1990288	0	0	0	0	0
17	18	1000125914	0	9	1990289	0	0	0	0	0
18	18	1000114461	0	12	1990290	0	0	0	0	0
