ROWID	_ShopID|INTEGER	_TabID|INTEGER	_TabNameID|INTEGER	_ListID|INTEGER	_itemindex|INTEGER	_Quantity|INTEGER	_Period|INTEGER	_PurchaseType1|INTEGER	_PurchaseItem1|INTEGER	_PurchaseItemValue1|INTEGER	_PurchaseType2|INTEGER	_PurchaseItem2|INTEGER	_PurchaseItemValue2|INTEGER	_PurchaseLimitType|INTEGER	_PurchaseLimitValue|INTEGER	_buyLimitCount|INTEGER	_ShopLimitReset|INTEGER	_SampleID|INTEGER	_ItemOptionID|INTEGER	_RepurchaseTime|INTEGER	_ShopSealCount|INTEGER	_PotentialList|INTEGER	_StorePreview|BOOLEAN
14051127	14051	1	1000010191	27	1073760651	1	15	2	612442112	1	0	0	0	0	0	0	0	0	0	0	-1	0	false
14051105	14051	1	1000010191	5	1075447424	1	0	2	612442112	50	0	0	0	0	0	0	0	0	0	0	-1	0	false
14051106	14051	1	1000010191	6	1073762449	1	0	2	612442112	50	0	0	0	0	0	0	0	0	0	0	-1	0	false
14051107	14051	1	1000010191	7	1073762450	1	0	2	612442112	50	0	0	0	0	0	0	0	0	0	0	-1	0	false
14051101	14051	1	1000010191	1	1073757329	1	0	2	612442112	50	0	0	0	0	0	0	0	0	0	0	-1	0	false
14051102	14051	1	1000010191	2	1073760631	1	0	2	612442112	50	0	0	0	0	0	0	0	0	0	0	-1	0	false
14051128	14051	1	1000010191	28	1073742455	1	0	1	0	2000000	0	0	0	0	0	5	2	0	0	0	-1	0	false
14051129	14051	1	1000010191	29	1073871147	1	0	2	612442112	3	0	0	0	0	0	0	0	0	0	0	-1	0	false
14051100	14051	1	1000010191	0	1075447168	1	0	2	612442112	50	0	0	0	0	0	0	0	0	0	0	-1	0	false
14051140	14051	1	1000010191	40	268456072	1	0	2	612442112	2	1	0	200000	0	0	0	0	0	0	0	-1	0	false
14051141	14051	1	1000010191	41	268456073	1	0	2	612442112	2	1	0	200000	0	0	0	0	0	0	0	-1	0	false
14051142	14051	1	1000010191	42	268456074	1	0	2	612442112	2	1	0	200000	0	0	0	0	0	0	0	-1	0	false
14051143	14051	1	1000010191	43	268456079	1	0	2	612442112	2	1	0	200000	0	0	0	0	0	0	0	-1	0	false
14051144	14051	1	1000010191	44	268456193	1	0	2	612442112	2	1	0	200000	0	0	0	0	0	0	0	-1	0	false
14051145	14051	1	1000010191	45	268456075	1	0	2	612442112	2	1	0	200000	0	0	0	0	0	0	0	-1	0	false
14051146	14051	1	1000010191	46	268456076	1	0	2	612442112	2	1	0	200000	0	0	0	0	0	0	0	-1	0	false
14051147	14051	1	1000010191	47	268456077	1	0	2	612442112	2	1	0	200000	0	0	0	0	0	0	0	-1	0	false
14051148	14051	1	1000010191	48	268456080	1	0	2	612442112	2	1	0	200000	0	0	0	0	0	0	0	-1	0	false
14051149	14051	1	1000010191	49	268456194	1	0	2	612442112	2	1	0	200000	0	0	0	0	0	0	0	-1	0	false
14052127	14052	1	1000010191	27	1073760651	1	15	2	612442112	1	0	0	0	0	0	0	0	0	0	0	-1	0	false
14052105	14052	1	1000010191	5	1075447424	1	0	2	612442112	50	0	0	0	0	0	0	0	0	0	0	-1	0	false
14052106	14052	1	1000010191	6	1073762449	1	0	2	612442112	50	0	0	0	0	0	0	0	0	0	0	-1	0	false
14052107	14052	1	1000010191	7	1073762450	1	0	2	612442112	50	0	0	0	0	0	0	0	0	0	0	-1	0	false
14052101	14052	1	1000010191	1	1073757329	1	0	2	612442112	50	0	0	0	0	0	0	0	0	0	0	-1	0	false
14052102	14052	1	1000010191	2	1073760631	1	0	2	612442112	50	0	0	0	0	0	0	0	0	0	0	-1	0	false
14052128	14052	1	1000010191	28	1073742455	1	0	1	0	2000000	0	0	0	0	0	5	2	0	0	0	-1	0	false
14052129	14052	1	1000010191	29	1073871147	1	0	2	612442112	3	0	0	0	0	0	0	0	0	0	0	-1	0	false
14052100	14052	1	1000010191	0	1075447168	1	0	2	612442112	50	0	0	0	0	0	0	0	0	0	0	-1	0	false
14052140	14052	1	1000010191	40	268456072	1	0	2	612442112	2	1	0	200000	0	0	0	0	0	0	0	-1	0	false
