ROWID	_ID|INTEGER	_GlyphType|INTEGER	_SkillID|TEXT	_SkillLevelID|INTEGER	_EffectClass1|INTEGER	_EffectClass1ApplyType|INTEGER	_EffectClassValue1|TEXT	_EffectClassValue1Duration|INTEGER	_EffectClass2|INTEGER	_EffectClass2ApplyType|INTEGER	_EffectClassValue2|TEXT	_EffectClassValue2Duration|INTEGER	_EffectClass3|INTEGER	_EffectClass3ApplyType|INTEGER	_EffectClassValue3|TEXT	_EffectClassValue3Duration|INTEGER	_EffectClass4|INTEGER	_EffectClass4ApplyType|INTEGER	_EffectClassValue4|TEXT	_EffectClassValue4Duration|INTEGER	_EffectClass5|INTEGER	_EffectClass5ApplyType|INTEGER	_EffectClassValue5|TEXT	_EffectClassValue5Duration|INTEGER	_GlyphSkillEffect|INTEGER	_GlyphSkillEffectValue|DOUBLE	_ProcessParam1|TEXT	_ProcessParam2|TEXT	_ProcessParam3|TEXT	_ProcessParam4|TEXT	_ProcessParam5|TEXT	_ProcessParam6|TEXT	_ProcessParam7|TEXT	_ProcessParam8|TEXT	_ProcessParam9|TEXT	_ProcessParam10|TEXT	_SummaryDescription|TEXT	_SummaryDescriptionParam|TEXT
445467520	445467520	2	3302	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	4	0.16												{1000022291},16.0
441404288	441404288	2	3302	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	4	0.12												{1000022291},12.0
449399680	449399680	2	3302	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	4	0.2												{1000022291},20.0
268456885	268456885	2	7504	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	11	0.1												{1000082763},10.0
268456887	268456887	2	7504	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	11	0.05												{1000082763},5.0
268456889	268456889	2	7504	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	11	0.2												{1000082763},20.0
268456909	268456909	2	7530	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.16												{1000083413},16.0
268456911	268456911	2	7530	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.12												{1000083413},12.0
268456913	268456913	2	7530	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.2												{1000083413},20.0
268456915	268456915	2	7518	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.16												{1000003268},16.0
268456916	268456916	2	7518	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	1	-2000.0												{1000003268},2000
268456917	268456917	2	7518	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.12												{1000003268},12.0
268456918	268456918	2	7518	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	1	-1000.0												{1000003268},1000
268456919	268456919	2	7518	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.2												{1000003268},20.0
268456920	268456920	2	7518	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	1	-3000.0												{1000003268},3000
445212672	445212672	2	3412	0	50	0	0.1	0	0	0	0	0	0	1		0	0	1		0	0	1		0	0	0.0												{1000004127},10.0
441149440	441149440	2	3412	0	50	0	0.05	0	0	0	0	0	0	1		0	0	1		0	0	1		0	0	0.0												{1000004127},5.0
449275904	449275904	2	3412	0	50	0	0.2	0	0	0	0	0	0	1		0	0	1		0	0	1		0	0	0.0												{1000004127},20.0
268436546	268436546	2	4410	0	50	0	0.1	0	0	0	0	0	0	1		0	0	1		0	0	1		0	0	0.0												{1000037791},10.0
268436548	268436548	2	4410	0	50	0	0.05	0	0	0	0	0	0	1		0	0	1		0	0	1		0	0	0.0												{1000037791},5.0
268436550	268436550	2	4410	0	50	0	0.2	0	0	0	0	0	0	1		0	0	1		0	0	1		0	0	0.0												{1000037791},20.0
445083777	445083777	2	4202;4312	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.16												{1000031881},16.0
441020545	441020545	2	4202;4312	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.12												{1000031881},12.0
449147009	449147009	2	4202;4312	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.2												{1000031881},20.0
444954880	444954880	2	4219	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.16												{1000031898},16.0
444954881	444954881	2	4219	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	3	0.04												{1000031898},4.0
440891648	440891648	2	4219	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.12												{1000031898},12.0
440891649	440891649	2	4219	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	3	0.02												{1000031898},2.0
449018112	449018112	2	4219	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.2												{1000031898},20.0
449018113	449018113	2	4219	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	3	0.08												{1000031898},8.0
444954624	444954624	2	4217	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.16												{1000031896},16.0
444954625	444954625	2	4217	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	3	0.04												{1000031896},4.0
440891392	440891392	2	4217	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.12												{1000031896},12.0
440891393	440891393	2	4217	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	3	0.02												{1000031896},2.0
449017856	449017856	2	4217	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.2												{1000031896},20.0
449017857	449017857	2	4217	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	3	0.08												{1000031896},8.0
445303936	445303936	2	33	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	3	0.04												{1000022263},4.0
445303937	445303937	2	33	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.16												{1000022263},16.0
441240704	441240704	2	33	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	3	0.02												{1000022263},2.0
441240705	441240705	2	33	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.12												{1000022263},12.0
449367168	449367168	2	33	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	3	0.08												{1000022263},8.0
449367169	449367169	2	33	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.2												{1000022263},20.0
268441855	268441855	2	5213	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	4	0.16												{1000041792},16.0
268441858	268441858	2	5213	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	4	0.12												{1000041792},12.0
268441860	268441860	2	5213	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	4	0.2												{1000041792},20.0
268435459	268435459	2	4301	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	3	0.04												{1000036093},4.0
268435461	268435461	2	4301	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	3	0.02												{1000036093},2.0
268435463	268435463	2	4301	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	3	0.08												{1000036093},8.0
445048192	445048192	2	1220;1311	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	11	0.1												{1000004124},10.0
440984960	440984960	2	1220;1311	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	11	0.05												{1000004124},5.0
449111424	449111424	2	1220;1311	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	11	0.2												{1000004124},20.0
444954112	444954112	2	4213	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.16												{1000031892},16.0
444954113	444954113	2	4213	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	1	-2000.0												{1000031892},2000
440890880	440890880	2	4213	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.12												{1000031892},12.0
440890881	440890881	2	4213	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	1	-1000.0												{1000031892},1000
449017344	449017344	2	4213	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.2												{1000031892},20.0
449017345	449017345	2	4213	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	1	-3000.0												{1000031892},3000
268435464	268435464	2	4303	0	50	0	0.1	0	0	0	0	0	0	1		0	0	1		0	0	1		0	0	0.0												{1000036095},10.0
268435465	268435465	2	4303	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	1	-2000.0												{1000036095},2000
268435466	268435466	2	4303	0	50	0	0.05	0	0	0	0	0	0	1		0	0	1		0	0	1		0	0	0.0												{1000036095},5.0
268435467	268435467	2	4303	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	1	-1000.0												{1000036095},1000
268435468	268435468	2	4303	0	50	0	0.2	0	0	0	0	0	0	1		0	0	1		0	0	1		0	0	0.0												{1000036095},20.0
268435469	268435469	2	4303	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	1	-3000.0												{1000036095},3000
445085312	445085312	2	4214	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.16												{1000031893},16.0
445085313	445085313	2	4214	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	1	-2000.0												{1000031893},2000
441022080	441022080	2	4214	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.12												{1000031893},12.0
441022081	441022081	2	4214	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	1	-1000.0												{1000031893},1000
449148544	449148544	2	4214	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.2												{1000031893},20.0
449148545	449148545	2	4214	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	1	-3000.0												{1000031893},3000
268456963	268456963	2	7506	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	4	0.16												{1000082765},16.0
268456965	268456965	2	7506	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	4	0.12												{1000082765},12.0
268456967	268456967	2	7506	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	4	0.2												{1000082765},20.0
444928513	444928513	2	2206;2304	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	4	0.2												{1000003308},20.0
440865281	440865281	2	2206;2304	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	4	0.1												{1000003308},10.0
448991745	448991745	2	2206;2304	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	4	0.3												{1000003308},30.0
444904320	444904320	2	216	0	50	0	0.1	0	0	0	0	0	0	1		0	0	1		0	0	1		0	0	0.0												{1000003251},10.0
444904321	444904321	2	216	0	25	0	0.3	0	0	0	0	0	0	1		0	0	1		0	0	1		0	0	0.0												{1000003251},30.0
440841088	440841088	2	216	0	50	0	0.05	0	0	0	0	0	0	1		0	0	1		0	0	1		0	0	0.0												{1000003251},5.0
440841089	440841089	2	216	0	25	0	0.1	0	0	0	0	0	0	1		0	0	1		0	0	1		0	0	0.0												{1000003251},10.0
448967552	448967552	2	216	0	50	0	0.2	0	0	0	0	0	0	1		0	0	1		0	0	1		0	0	0.0												{1000003251},20.0
448967553	448967553	2	216	0	25	0	0.5	0	0	0	0	0	0	1		0	0	1		0	0	1		0	0	0.0												{1000003251},50.0
445036160	445036160	2	218	0	50	0	0.1	0	0	0	0	0	0	1		0	0	1		0	0	1		0	0	0.0												{1000003253},10.0
440972928	440972928	2	218	0	50	0	0.05	0	0	0	0	0	0	1		0	0	1		0	0	1		0	0	0.0												{1000003253},5.0
449099392	449099392	2	218	0	50	0	0.2	0	0	0	0	0	0	1		0	0	1		0	0	1		0	0	0.0												{1000003253},20.0
444929025	444929025	2	2202;2305	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	4	0.2												{1000002635},20.0
440865793	440865793	2	2202;2305	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	4	0.1												{1000002635},10.0
448992257	448992257	2	2202;2305	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	4	0.3												{1000002635},30.0
445036544	445036544	2	219	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	4	0.16												{1000003254},16.0
445036545	445036545	2	219	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.16												{1000003254},16.0
440973312	440973312	2	219	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	4	0.12												{1000003254},12.0
440973313	440973313	2	219	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.12												{1000003254},12.0
449099776	449099776	2	219	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	4	0.2												{1000003254},20.0
449099777	449099777	2	219	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.2												{1000003254},20.0
444953856	444953856	2	4211	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.16												{1000031890},16.0
444953857	444953857	2	4211	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	3	0.04												{1000031890},4.0
440890624	440890624	2	4211	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.12												{1000031890},12.0
440890625	440890625	2	4211	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	3	0.02												{1000031890},2.0
449017088	449017088	2	4211	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	2	-0.2												{1000031890},20.0
449017089	449017089	2	4211	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	3	0.08												{1000031890},8.0
445431168	445431168	2	353;360	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	12	0.1												{1000022259},10.0
441367936	441367936	2	353;360	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	12	0.05												{1000022259},5.0
449363328	449363328	2	353;360	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	12	0.2												{1000022259},20.0
445344512	445344512	2	3501	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	4	0.16												{1000022296},16.0
441281280	441281280	2	3501	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	4	0.12												{1000022296},12.0
449407744	449407744	2	3501	0	0	0	0	0	0	0	0	0	0	1		0	0	1		0	0	1		0	4	0.2												{1000022296},20.0
444745216	444745216	2	3003	0	12	2	0	0	16	2	0	0	0	1		0	0	1		0	0	1		0	0	0.0												{1000002640},2.5
