ROWID	_NeedSetNum1|INTEGER	_State1|INTEGER	_State1Value|TEXT	_NeedSetNum2|INTEGER	_State2|INTEGER	_State2Value|TEXT	_NeedSetNum3|INTEGER	_State3|INTEGER	_State3Value|TEXT	_NeedSetNum4|INTEGER	_State4|INTEGER	_State4Value|TEXT	_NeedSetNum5|INTEGER	_State5|INTEGER	_State5Value|TEXT	_NeedSetNum6|INTEGER	_State6|INTEGER	_State6Value|TEXT	_NeedSetNum7|INTEGER	_State7|INTEGER	_State7Value|TEXT	_NeedSetNum8|INTEGER	_State8|INTEGER	_State8Value|TEXT	_NeedSetNum9|INTEGER	_State9|INTEGER	_State9Value|TEXT	_NeedSetNum10|INTEGER	_State10|INTEGER	_State10Value|TEXT	_NeedSetNum11|INTEGER	_State11|INTEGER	_State11Value|TEXT	_NeedSetNum12|INTEGER	_State12|INTEGER	_State12Value|TEXT	_NeedSkinSetNum|INTEGER	_SoundChangeWord|TEXT	_SkillID|INTEGER	_SkillLevel|INTEGER	_NeedCSSetNum|INTEGER	_TransformPartsNum|INTEGER	_TransformItemID|INTEGER
1	2	4	3	2	5	20	3	6	5	3	7	10	3	0	5	5	1	10	8	2	12	8	3	15	8	8	5	8	9	7	8	10	10	8	12	5	0		0	0	0	0	0
2	0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0		0	0	0	0	0
3	0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0		0	0	0	0	0
4	0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0		0	0	0	0	0
5	0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0		0	0	0	0	0
6	0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0		0	0	0	0	0
7	0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0		0	0	0	0	0
8	0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0		0	0	0	0	0
9	0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0		0	0	0	0	0
10	2	3	103.46427	3	4	359.2509375	3	5	359.2509375	4	29	276.877461	5	103	1034.6427	6	25	4397.231475	7	4	502.9513125	7	5	502.9513125	0	-1		0	-1		0	-1		0	-1		0		0	0	0	0	0
11	2	3	211.5711675	3	4	587.6976875	3	5	587.6976875	4	103	1586.78375625	5	29	324.79969375	6	25	8991.77461875	7	4	587.6976875	7	5	587.6976875	0	-1		0	-1		0	-1		0	-1		0		0	0	0	0	0
12	2	25	2294.80517601562	2	107	2248.90907249531	3	4	170.985483703125	3	5	170.985483703125	4	29	223.73485155	0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0		0	0	0	0	0
13	2	4	374.57578125	2	5	374.57578125	3	25	4775.8412109375	3	107	4457.451796875	4	29	248.41771875	0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0		0	0	0	0	0
14	0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0		0	0	0	0	0
15	0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0		0	0	0	0	0
16	0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0		0	0	0	0	0
17	0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0		0	0	0	0	0
18	0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0		0	0	0	0	0
19	0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0		0	0	0	0	0
20	0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0		0	0	0	0	0
21	0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0		0	0	0	0	0
22	0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0		0	0	0	0	0
23	0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0		0	0	0	0	0
24	0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0		0	0	0	0	0
