ROWID	_NameID|INTEGER	_TooTipID|INTEGER	_OverLapCount|INTEGER	_IconImageIdex|INTEGER	_SaveType|INTEGER	_QuestID|INTEGER
1	1200000	1200001	30000	0	1	9
2	1200002	1200003	30000	1	0	1
3	1200004	1200005	30000	2	0	0
4	1200006	1200007	30000	3	0	0
5	1200008	1200009	30000	3	0	0
6	1200010	1200011	30000	4	0	0
7	1200012	1200013	30000	5	0	0
8	1200014	1200015	30000	5	0	0
9	1200016	1200017	30000	6	0	3
10	1200018	1200019	30000	7	0	0
11	1200020	1200021	30000	8	0	0
12	1200022	1200023	30000	9	0	15
13	1200024	1200025	30000	10	0	7
14	1200026	1200027	30000	11	0	8
15	1200028	1200029	30000	12	0	15
16	1200030	1200031	30000	13	0	0
17	1200032	1200033	30000	14	0	1
18	-1	-1	0	-1	0	0
19	1200036	1200037	30000	16	0	0
20	1200038	1200039	30000	4	0	0
21	1200040	1200041	30000	62	0	0
22	1200042	1200043	30000	63	0	9
23	1200044	1200045	30000	64	0	11
24	1200046	1200047	30000	65	0	11
25	1200048	1200049	30000	33	0	11
26	1200050	1200051	30000	40	0	11
27	1200052	1200053	30000	17	0	11
28	1200054	1200055	30000	15	0	8
29	1200056	1200057	30000	66	0	8
30	1200121	1200122	30000	32	0	0
31	-1	-1	0	-1	0	0
32	1200137	1200138	30000	35	0	4
33	1200060	1200061	30000	24	0	301
34	1200062	1200063	30000	25	0	302
35	1200064	1200065	30000	26	0	302
36	1200066	1200067	30000	27	0	302
37	1200068	1200069	30000	28	0	305
38	1200070	1200075	30000	29	0	305
39	1200076	1200077	30000	3	0	306
40	1200081	1200082	30000	20	0	22
41	1200083	1200084	30000	21	0	22
42	1200085	1200086	30000	40	0	23
43	1200087	1200088	30000	41	0	24
44	1200089	1200090	30000	33	0	25
45	1200210	1200211	30000	21	0	24
46	1200215	1200216	30000	41	0	24
47	1200078	1200079	30000	30	0	307
48	1200080	1200091	30000	37	0	308
49	1200092	1200093	30000	31	0	309
50	1200071	1200072	30000	3	0	27
51	1200073	1200074	30000	35	0	31
52	1200094	1200095	30000	21	0	310
53	1200146	1200147	30000	40	0	303
54	1200148	1200149	30000	40	0	303
55	1200150	1200151	30000	40	0	303
56	1200155	1200156	30000	6	0	304
57	1200160	1200161	30000	42	0	1
58	1200162	1200163	30000	43	0	1
59	1200096	1200097	30000	22	0	9
60	1200016	1200017	30000	6	0	10
61	1200164	1200165	30000	36	0	0
62	1200166	1200167	30000	44	0	0
63	1200168	1200169	30000	37	0	0
64	1200170	1200171	30000	39	0	0
65	1200172	1200173	30000	45	0	321
66	1200174	1200175	30000	46	0	321
67	1200500	1200501	30000	47	0	311
68	1200502	1200503	30000	48	0	312
69	1200504	1200505	30000	49	0	312
70	1200506	1200507	30000	50	0	313
71	1200508	1200509	30000	51	0	314
72	1200510	1200511	30000	51	0	315
73	1200512	1200513	30000	52	0	316
74	1200514	1200515	30000	53	0	317
75	1200516	1200517	30000	54	0	319
76	1200518	1200519	30000	54	0	319
77	1200520	1200521	30000	55	0	319
78	1200522	1200523	30000	56	0	319
79	1200524	1200525	30000	57	0	320
80	1200526	1200527	30000	58	0	326
81	1200528	1200529	30000	59	0	331
82	1200530	1200531	30000	60	0	331
83	1200532	1200533	30000	47	0	311
84	1200534	1200535	30000	0	0	322
85	1200536	1200537	30000	0	0	322
86	1200538	1200539	30000	0	0	329
87	1200540	1200541	30000	0	0	329
88	1200172	1200173	30000	45	0	333
89	1200542	1200543	30000	35	0	15
90	1200558	1200559	30000	61	0	334
91	1200560	1200561	30000	0	0	328
92	1200562	1200563	30000	0	0	328
93	1200564	1200565	30000	0	0	335
94	1200566	1200567	30000	0	0	327
95	1200568	1200569	30000	0	0	330
96	1200570	1200571	30000	0	0	330
97	1200572	1200573	30000	0	0	336
98	1200574	1200575	30000	0	0	332
99	-1	-1	0	0	0	0
100	-1	-1	0	-1	0	0
