ROWID	_ItemGainText|TEXT
268469352	#s{1000055957}#y\n{1000111174}
268469353	#s{1000055957}#y\n{1000111174}
268469354	#s{1000055957}#y\n{1000111174}
268469355	#s{1000055957}#y\n{1000111174}
268469356	#s{1000055957}#y\n{1000111174}
268469357	#s{1000055957}#y\n{1000111174}
268469358	#s{1000055957}#y\n{1000111174}
268469359	#s{1000055957}#y\n{1000111174}
268469360	#s{1000055957}#y\n{1000111174}
268469361	#s{1000055957}#y\n{1000111174}
268469362	#s{1000055957}#y\n{1000111174}
268469343	#s{1000055957}#y\n{1000111174}
268469344	#s{1000055957}#y\n{1000111174}
268469345	#s{1000055957}#y\n{1000111174}
268469363	#s{1000055957}#y\n{1000111174}
268469347	#s{1000055957}#y\n{1000111174}
268469364	#s{1000055957}#y\n{1000111174}
268469365	#s{1000055957}#y\n{1000111174}
268469366	#s{1000055957}#y\n{1000111174}
268469367	#s{1000055957}#y\n{1000111174}
268443032	#s{1000055957}#y
268443100	#s{1000055957}#y
268443172	#s{1000055957}#y\n{1000062028}
268443389	#s{1000055957}#y
268443390	#s{1000055957}#y
268443391	#s{1000055957}#y\n{1000062028}
268443021	#s{1000055957}#y
268443101	#s{1000055957}#y
268443173	#s{1000055957}#y\n{1000062028}
268443392	#s{1000055957}#y
268443393	#s{1000055957}#y
268443394	#s{1000055957}#y\n{1000062028}
268443022	#s{1000055957}#y
268443102	#s{1000055957}#y
268443174	#s{1000055957}#y\n{1000062028}
268443395	#s{1000055957}#y
268443396	#s{1000055957}#y
268443397	#s{1000055957}#y\n{1000062028}
268443023	#s{1000055957}#y
268443103	#s{1000055957}#y
268443175	#s{1000055957}#y\n{1000062028}
268443398	#s{1000055957}#y
268443399	#s{1000055957}#y
268443400	#s{1000055957}#y\n{1000062028}
268443401	#s{1000055957}#y
268443402	#s{1000055957}#y
268443403	#s{1000055957}#y\n{1000062028}
268443024	#s{1000055957}#y
268443104	#s{1000055957}#y
268443176	#s{1000055957}#y\n{1000062028}
268443404	#s{1000055957}#y
268443405	#s{1000055957}#y
268443406	#s{1000055957}#y\n{1000062028}
268443407	#s{1000055957}#y\n{1000061271}
268443408	#s{1000055957}#y\n{1000061271}
268443409	#s{1000055957}#y\n{1000061271}
268443410	#s{1000055957}#y
268443411	#s{1000055957}#y
268443412	#s{1000055957}#y\n{1000062028}
268449744	#s{1000055957}#y
268449745	#s{1000055957}#y
268449746	#s{1000055957}#y
268443025	#s{1000055957}#y
268443105	#s{1000055957}#y
268443177	#s{1000055957}#y\n{1000062028}
268443413	#s{1000055957}#y
268443414	#s{1000055957}#y
268443415	#s{1000055957}#y\n{1000062028}
268443033	#s{1000055957}#y
268443106	#s{1000055957}#y
268443178	#s{1000055957}#y\n{1000062028}
268443034	#s{1000055957}#y
268443107	#s{1000055957}#y
268443179	#s{1000055957}#y\n{1000062028}
268446184	#s{1000055957}#y
268446185	#s{1000055957}#y
268446186	#s{1000055957}#y\n{1000062028}
268446187	#s{1000055957}#y
268446188	#s{1000055957}#y
268446189	#s{1000055957}#y\n{1000062028}
268446190	#s{1000055957}#y
268446191	#s{1000055957}#y
268446192	#s{1000055957}#y\n{1000062028}
268446193	#s{1000055957}#y
268446194	#s{1000055957}#y
268446195	#s{1000055957}#y\n{1000062028}
268446196	#s{1000055957}#y
268446197	#s{1000055957}#y
268446198	#s{1000055957}#y\n{1000062028}
268446199	#s{1000055957}#y
268446200	#s{1000055957}#y
268446201	#s{1000055957}#y\n{1000062028}
268446202	#s{1000055957}#y
268446203	#s{1000055957}#y
268446204	#s{1000055957}#y\n{1000062028}
268446205	#s{1000055957}#y
268446206	#s{1000055957}#y
268446207	#s{1000055957}#y\n{1000062028}
268446208	#s{1000055957}#y
268446209	#s{1000055957}#y
268446210	#s{1000055957}#y\n{1000062028}
268446211	#s{1000055957}#y
268446212	#s{1000055957}#y
268446213	#s{1000055957}#y\n{1000062028}
268446214	#s{1000055957}#y
268446215	#s{1000055957}#y
268446216	#s{1000055957}#y\n{1000062028}
268446217	#s{1000055957}#y\n{1000061271}
268446218	#s{1000055957}#y\n{1000061271}
268446219	#s{1000055957}#y\n{1000061271}
268446220	#s{1000055957}#y
268446221	#s{1000055957}#y
268446222	#s{1000055957}#y\n{1000062028}
268449747	#s{1000055957}#y
268449748	#s{1000055957}#y
268449749	#s{1000055957}#y
268446223	#s{1000055957}#y
268446224	#s{1000055957}#y
268446225	#s{1000055957}#y\n{1000062028}
268446226	#s{1000055957}#y
268446227	#s{1000055957}#y
268446228	#s{1000055957}#y\n{1000062028}
268446229	#s{1000055957}#y
268446230	#s{1000055957}#y
268446231	#s{1000055957}#y\n{1000062028}
268446232	#s{1000055957}#y
268446233	#s{1000055957}#y
268446234	#s{1000055957}#y\n{1000062028}
268446568	#s{1000055957}#y\n{1000061271}
268446569	#s{1000055957}#y\n{1000061271}
268446570	#s{1000055957}#y\n{1000061271}
268443196	#s{1000055957}#y\n{1000062028}
268443462	#s{1000055957}#y\n{1000062028}
268443197	#s{1000055957}#y\n{1000062028}
268443464	#s{1000055957}#y\n{1000062028}
268443198	#s{1000055957}#y\n{1000062028}
268443466	#s{1000055957}#y\n{1000062028}
268443199	#s{1000055957}#y\n{1000062028}
268443468	#s{1000055957}#y\n{1000062028}
268443470	#s{1000055957}#y\n{1000062028}
268443200	#s{1000055957}#y\n{1000062028}
268443472	#s{1000055957}#y\n{1000062028}
268443473	#s{1000055957}#y\n{1000061271}
