ROWID	_CharmCount_Min|INTEGER	_CharmCount_Max|INTEGER	_Prob1|INTEGER	_Prob2|INTEGER	_Prob3|INTEGER	_Prob4|INTEGER	_Prob5|INTEGER	_Prob6|INTEGER	_Prob7|INTEGER	_Prob8|INTEGER	_Prob9|INTEGER	_Prob10|INTEGER	_MultiOpen|BOOLEAN
1	1	2	0	0	0	0	0	0	0	0	0	0	false
2	2	4	0	0	0	0	0	0	0	0	0	0	false
3	3	5	0	0	0	0	0	0	0	0	0	0	false
4	2	5	0	0	0	0	0	0	0	0	0	0	false
5	1	5	0	0	0	0	0	0	0	0	0	0	false
6	1	5	20	30	40	20	100	0	0	0	0	0	false
7	2	4	0	30	0	30	0	0	0	0	0	0	false
8	2	2	0	0	0	0	0	0	0	0	0	0	false
9	1	2	50	50	0	0	0	0	0	0	0	0	false
10	1	1	0	0	0	0	0	0	0	0	0	0	false
101	1	1	0	0	0	0	0	0	0	0	0	0	true
102	1	2	0	0	0	0	0	0	0	0	0	0	false
103	1	3	0	0	0	0	0	0	0	0	0	0	false
104	1	4	0	0	0	0	0	0	0	0	0	0	false
105	1	5	0	0	0	0	0	0	0	0	0	0	false
11	1	1	0	0	0	0	0	0	0	0	0	0	true
12	1	1	0	0	0	0	0	0	0	0	0	0	true
13	2	2	0	0	0	0	0	0	0	0	0	0	false
14	1	1	0	0	0	0	0	0	0	0	0	0	true
15	1	1	0	0	0	0	0	0	0	0	0	0	true
16	1	1	0	0	0	0	0	0	0	0	0	0	true
17	1	1	0	0	0	0	0	0	0	0	0	0	true
18	1	1	0	0	0	0	0	0	0	0	0	0	true
19	1	1	0	0	0	0	0	0	0	0	0	0	true
20	1	1	0	0	0	0	0	0	0	0	0	0	true
21	1	1	0	0	0	0	0	0	0	0	0	0	true
