ROWID	_ON|BOOLEAN	_Start_Date|TEXT	_End_Date|TEXT	_Date_Count|INTEGER	_IconHide|BOOLEAN	_MailID|INTEGER	_CashMailID|INTEGER	_Number|INTEGER	_EventType|INTEGER	_Emphasis|BOOLEAN	_RewardRepeat|BOOLEAN
1	false	20110908	20111006	1	false	810005	830001	1	0	false	false
2	false	20110908	20111006	2	false	810005	830001	1	0	false	false
3	false	20110908	20111006	3	false	810005	830001	1	0	false	false
4	false	20110908	20111006	4	false	810005	830001	1	0	false	false
5	false	20110908	20111006	5	false	810005	830001	1	0	false	false
6	false	20110908	20111006	6	false	810005	830001	1	0	false	false
7	false	20110908	20111006	7	false	810005	830001	1	0	false	false
8	false	20110908	20111006	8	false	810006	830002	1	0	false	false
9	false	20110908	20111006	9	false	810006	830002	1	0	false	false
10	false	20110908	20111006	10	false	810006	830002	1	0	false	false
11	false	20110908	20111006	11	false	810006	830002	1	0	false	false
12	false	20110908	20111006	12	false	810006	830002	1	0	false	false
13	false	20110908	20111006	13	false	810006	830002	1	0	false	false
14	false	20110908	20111006	14	false	810006	830002	1	0	false	false
15	false	20110908	20111006	15	false	810006	830002	1	0	false	false
16	false	20110908	20111006	16	false	810006	830002	1	0	false	false
17	false	20110908	20111006	17	false	810006	830002	1	0	false	false
18	false	20110908	20111006	18	false	810006	830002	1	0	false	false
19	false	20110908	20111006	19	false	810006	830002	1	0	false	false
20	false	20110908	20111006	20	false	810007	830003	1	0	false	false
21	false	20110908	20111006	21	false	810007	830003	1	0	false	false
22	false	20110908	20111006	22	false	810007	830003	1	0	false	false
23	false	20110908	20111006	23	false	810007	830003	1	0	false	false
24	false	20110908	20111006	24	false	810007	830003	1	0	false	false
25	false	20110908	20111006	25	false	810007	830003	1	0	false	false
26	false	20110908	20111006	26	false	810007	830003	1	0	false	false
27	false	20110908	20111006	27	false	810007	830003	1	0	false	false
28	false	20110908	20111006	28	false	810007	830003	1	0	false	false
29	false	20110908	20111006	29	false	810007	830003	1	0	false	false
30	false	20110908	20111006	30	false	810007	830003	1	0	false	false
31	false	20120308	20120412	1	false	810008	0	2	0	false	false
32	false	20120308	20120412	2	false	810008	0	2	0	false	false
33	false	20120308	20120412	3	false	810008	0	2	0	false	false
34	false	20120308	20120412	4	false	810009	0	2	0	false	false
35	false	20120308	20120412	5	false	810009	0	2	0	false	false
36	false	20120308	20120412	6	false	810009	0	2	0	false	false
37	false	20120308	20120412	7	false	810009	0	2	0	false	false
38	false	20120308	20120412	8	false	810009	0	2	0	false	false
39	false	20120308	20120412	9	false	810009	0	2	0	false	false
40	false	20120308	20120412	10	false	810009	0	2	0	false	false
41	false	20120308	20120412	11	false	810010	0	2	0	false	false
42	false	20120308	20120412	12	false	810010	0	2	0	false	false
43	false	20120308	20120412	13	false	810010	0	2	0	false	false
44	false	20120308	20120412	14	false	810010	0	2	0	false	false
45	false	20120308	20120412	15	false	810010	0	2	0	false	false
46	false	20120308	20120412	16	false	810010	0	2	0	false	false
47	false	20120308	20120412	17	false	810010	0	2	0	false	false
48	false	20120308	20120412	18	false	810010	0	2	0	false	false
49	false	20120308	20120412	19	false	810010	0	2	0	false	false
50	false	20120308	20120412	20	false	810010	0	2	0	false	false
51	false	20120308	20120412	21	false	810010	0	2	0	false	false
52	false	20120308	20120412	22	false	810010	0	2	0	false	false
53	false	20120308	20120412	23	false	810010	0	2	0	false	false
54	false	20120308	20120412	24	false	810010	0	2	0	false	false
55	false	20120308	20120412	25	false	810010	0	2	0	false	false
56	false	20120308	20120412	26	false	810010	0	2	0	false	false
57	false	20120308	20120412	27	false	810010	0	2	0	false	false
58	false	20120308	20120412	28	false	810010	0	2	0	false	false
59	false	20120308	20120412	29	false	810010	0	2	0	false	false
60	false	20120308	20120412	30	false	810010	0	2	0	false	false
61	false	20120719	20120823	1	false	872	0	3	0	false	false
62	false	20120719	20120823	2	false	872	0	3	0	false	false
63	false	20120719	20120823	3	false	872	0	3	0	false	false
64	false	20120719	20120823	4	false	873	0	3	0	false	false
65	false	20120719	20120823	5	false	873	0	3	0	false	false
66	false	20120719	20120823	6	false	873	0	3	0	false	false
67	false	20120719	20120823	7	false	873	0	3	0	false	false
68	false	20120719	20120823	8	false	873	0	3	0	false	false
69	false	20120719	20120823	9	false	873	0	3	0	false	false
70	false	20120719	20120823	10	false	873	0	3	0	false	false
71	false	20120719	20120823	11	false	874	0	3	0	false	false
72	false	20120719	20120823	12	false	874	0	3	0	false	false
73	false	20120719	20120823	13	false	874	0	3	0	false	false
74	false	20120719	20120823	14	false	874	0	3	0	false	false
75	false	20120719	20120823	15	false	874	0	3	0	false	false
76	false	20120719	20120823	16	false	874	0	3	0	false	false
77	false	20120719	20120823	17	false	874	0	3	0	false	false
78	false	20120719	20120823	18	false	874	0	3	0	false	false
79	false	20120719	20120823	19	false	874	0	3	0	false	false
80	false	20120719	20120823	20	false	874	0	3	0	false	false
81	false	20120719	20120823	21	false	875	0	3	0	false	false
82	false	20120719	20120823	22	false	875	0	3	0	false	false
83	false	20120719	20120823	23	false	875	0	3	0	false	false
84	false	20120719	20120823	24	false	875	0	3	0	false	false
85	false	20120719	20120823	25	false	875	0	3	0	false	false
86	false	20120719	20120823	26	false	875	0	3	0	false	false
87	false	20120719	20120823	27	false	875	0	3	0	false	false
88	false	20120719	20120823	28	false	875	0	3	0	false	false
89	false	20120719	20120823	29	false	875	0	3	0	false	false
90	false	20120719	20120823	30	false	875	0	3	0	false	false
121	false	20120927	20121026	1	false	1265	0	5	0	false	false
122	false	20120927	20121026	2	false	1265	0	5	0	false	false
123	false	20120927	20121026	3	false	1265	0	5	0	false	false
124	false	20120927	20121026	4	false	1265	0	5	0	false	false
125	false	20120927	20121026	5	false	1266	0	5	0	false	false
126	false	20120927	20121026	6	false	1266	0	5	0	false	false
127	false	20120927	20121026	7	false	1266	0	5	0	false	false
128	false	20120927	20121026	8	false	1266	0	5	0	false	false
129	false	20120927	20121026	9	false	1266	0	5	0	false	false
130	false	20120927	20121026	10	false	1266	0	5	0	false	false
131	false	20120927	20121026	11	false	1267	0	5	0	false	false
132	false	20120927	20121026	12	false	1267	0	5	0	false	false
133	false	20120927	20121026	13	false	1267	0	5	0	false	false
134	false	20120927	20121026	14	false	1267	0	5	0	false	false
135	false	20120927	20121026	15	false	1267	0	5	0	false	false
136	false	20120927	20121026	16	false	1267	0	5	0	false	false
137	false	20120927	20121026	17	false	1267	0	5	0	false	false
138	false	20120927	20121026	18	false	1267	0	5	0	false	false
139	false	20120927	20121026	19	false	1267	0	5	0	false	false
140	false	20120927	20121026	20	false	1267	0	5	0	false	false
141	false	20120927	20121026	21	false	1268	0	5	0	false	false
142	false	20120927	20121026	22	false	1268	0	5	0	false	false
143	false	20120927	20121026	23	false	1268	0	5	0	false	false
144	false	20120927	20121026	24	false	1268	0	5	0	false	false
145	false	20120927	20121026	25	false	1268	0	5	0	false	false
146	false	20120927	20121026	26	false	1268	0	5	0	false	false
147	false	20120927	20121026	27	false	1268	0	5	0	false	false
148	false	20120927	20121026	28	false	1268	0	5	0	false	false
149	false	20120927	20121026	29	false	1268	0	5	0	false	false
150	false	20121025	20121123	1	false	0	448	6	0	false	false
151	false	20121025	20121123	2	false	0	448	6	0	false	false
152	false	20121025	20121123	3	false	0	448	6	0	false	false
153	false	20121025	20121123	4	false	0	448	6	0	false	false
154	false	20121025	20121123	5	false	0	448	6	0	false	false
155	false	20121025	20121123	6	false	0	448	6	0	false	false
156	false	20121025	20121123	7	false	0	1505	6	0	false	false
157	false	20121025	20121123	8	false	0	1505	6	0	false	false
158	false	20121025	20121123	9	false	0	1505	6	0	false	false
159	false	20121025	20121123	10	false	0	1505	6	0	false	false
160	false	20121025	20121123	11	false	0	1505	6	0	false	false
161	false	20121025	20121123	12	false	0	1505	6	0	false	false
162	false	20121025	20121123	13	false	0	1505	6	0	false	false
163	false	20121025	20121123	14	false	0	1505	6	0	false	false
164	false	20121025	20121123	15	false	0	1506	6	0	false	false
165	false	20121025	20121123	16	false	0	1506	6	0	false	false
166	false	20121025	20121123	17	false	0	1506	6	0	false	false
167	false	20121025	20121123	18	false	0	1506	6	0	false	false
168	false	20121025	20121123	19	true	0	1508	6	0	false	false
169	false	20121025	20121123	20	false	0	1507	6	0	false	false
170	false	20121025	20121123	21	false	0	1507	6	0	false	false
171	false	20121025	20121123	22	false	0	1507	6	0	false	false
172	false	20121025	20121123	23	false	0	1507	6	0	false	false
173	false	20121025	20121123	24	false	0	1507	6	0	false	false
174	false	20121025	20121123	25	false	0	1507	6	0	false	false
175	false	20121025	20121123	26	false	0	1507	6	0	false	false
176	false	20121025	20121123	27	false	0	1507	6	0	false	false
177	false	20121025	20121123	28	true	0	1509	6	0	false	false
178	false	20121025	20121123	29	false	0	1510	6	0	false	false
179	false	20130123	20130220	1	false	1885	0	7	0	false	false
180	false	20130123	20130220	2	false	1885	0	7	0	false	false
181	false	20130123	20130220	3	false	1885	0	7	0	false	false
182	false	20130123	20130220	4	false	1885	0	7	0	false	false
183	false	20130123	20130220	5	false	1885	0	7	0	false	false
184	false	20130123	20130220	6	false	1885	0	7	0	false	false
185	false	20130123	20130220	7	false	1885	0	7	0	false	false
186	false	20130123	20130220	8	false	1885	0	7	0	false	false
187	false	20130123	20130220	9	false	1885	0	7	0	false	false
188	false	20130123	20130220	10	false	1885	0	7	0	false	false
189	false	20130123	20130220	11	false	1886	0	7	0	false	false
190	false	20130123	20130220	12	false	1886	0	7	0	false	false
191	false	20130123	20130220	13	false	1886	0	7	0	false	false
192	false	20130123	20130220	14	false	1886	0	7	0	false	false
193	false	20130123	20130220	15	false	1886	0	7	0	false	false
194	false	20130123	20130220	16	false	1886	0	7	0	false	false
195	false	20130123	20130220	17	false	1886	0	7	0	false	false
196	false	20130123	20130220	18	false	1886	0	7	0	false	false
197	false	20130123	20130220	19	false	1886	0	7	0	false	false
198	false	20130123	20130220	20	false	1886	0	7	0	false	false
199	false	20130123	20130220	21	false	1887	0	7	0	false	false
200	false	20130123	20130220	22	false	1887	0	7	0	false	false
201	false	20130123	20130220	23	false	1887	0	7	0	false	false
202	false	20130123	20130220	24	false	1887	0	7	0	false	false
203	false	20130123	20130220	25	false	1887	0	7	0	false	false
204	false	20130123	20130220	26	false	1887	0	7	0	false	false
205	false	20130123	20130220	27	false	1887	0	7	0	false	false
206	false	20130123	20130220	28	false	1888	0	7	0	false	false
207	false	20130522	20130627	1	false	2095	0	8	0	false	false
208	false	20130522	20130627	2	false	2095	0	8	0	false	false
209	false	20130522	20130627	3	false	2095	0	8	0	false	false
210	false	20130522	20130627	4	false	2095	0	8	0	false	false
211	false	20130522	20130627	5	false	2095	0	8	0	false	false
212	false	20130522	20130627	6	false	2095	0	8	0	false	false
213	false	20130522	20130627	7	false	2095	0	8	0	false	false
214	false	20130522	20130627	8	false	2095	0	8	0	false	false
215	false	20130522	20130627	9	false	2095	0	8	0	false	false
216	false	20130522	20130627	10	false	2095	0	8	0	false	false
217	false	20130522	20130627	11	false	2096	0	8	0	false	false
218	false	20130522	20130627	12	false	2096	0	8	0	false	false
219	false	20130522	20130627	13	false	2096	0	8	0	false	false
220	false	20130522	20130627	14	false	2096	0	8	0	false	false
221	false	20130522	20130627	15	false	2096	0	8	0	false	false
222	false	20130522	20130627	16	false	2096	0	8	0	false	false
223	false	20130522	20130627	17	false	2096	0	8	0	false	false
224	false	20130522	20130627	18	false	2096	0	8	0	false	false
225	false	20130522	20130627	19	false	2096	0	8	0	false	false
226	false	20130522	20130627	20	false	2096	0	8	0	false	false
227	false	20130522	20130627	21	false	2097	0	8	0	false	false
228	false	20130522	20130627	22	false	2097	0	8	0	false	false
229	false	20130522	20130627	23	false	2097	0	8	0	false	false
230	false	20130522	20130627	24	false	2097	0	8	0	false	false
231	false	20130522	20130627	25	false	2097	0	8	0	false	false
