ROWID	_VehicleClassID|TEXT	_VehicleActorID|INTEGER	_DefaultBodyParts|INTEGER	_DefaultPartsA|INTEGER	_DefaultPartsB|INTEGER	_VehicleSummonTime|INTEGER	_VehicleDefaultSpeed|INTEGER	_PetLevelTypeID|INTEGER	_PetSKILLID1|INTEGER	_PetSKILLID2|INTEGER	_Range|INTEGER	_Petacteffect|TEXT	_RiderString|TEXT	_FoodID|INTEGER	_PetChatID|INTEGER	_PetDyeType|INTEGER	_RideNum|INTEGER	_HidePartsID|INTEGER	_StealthMode|BOOLEAN	_MoveSlope|BOOLEAN	_CameraOffset|INTEGER	_CameraX|DOUBLE	_CameraY|DOUBLE	_CameraZ|DOUBLE	_CameraZoom|INTEGER	_TargetLength|INTEGER	_CharBoneFollowFairy|BOOLEAN	_DarkRideTrans|TEXT	_HeadNameHeight|DOUBLE	_FellowString|TEXT	_SetItemID|INTEGER	_Grade_SetItem|BOOLEAN	_SetItemTextID|INTEGER
1124599808	1	80000	0	0	1125125120	1000	540	0	0	0	0		Vehicle_	0	0	0	1	0	false	false	0	0.0	60.0	150.0	144	0	false		-35.0		0	false	0
1124601856	1	80001	0	0	1125125120	1000	540	0	0	0	0		Vehicle_	0	0	0	1	0	false	false	0	0.0	60.0	150.0	144	0	false		-35.0		0	false	0
1124603904	1	80002	0	0	1125125136	1000	576	0	0	0	0		Vehicle_	0	0	0	1	0	false	false	0	0.0	60.0	150.0	144	0	false		-35.0		0	false	0
1124605952	1	80003	0	0	1125125136	1000	576	0	0	0	0		Vehicle_	0	0	0	1	0	false	false	0	0.0	60.0	150.0	144	0	false		-35.0		0	false	0
1124612096	2	80007	0	1125124656	1125125200	1000	612	0	0	0	0		Vehicle_	0	0	0	1	0	false	false	0	0.0	60.0	150.0	144	0	false		-35.0		0	false	0
1124630528	2	80013	0	0	0	1000	612	0	0	0	0		Vehicle_	0	0	0	1	0	false	false	0	0.0	60.0	150.0	144	0	false		-35.0		0	false	0
1073741866	1	80014	0	0	1125125152	1000	576	0	0	0	0		Vehicle_	0	0	0	1	0	false	false	0	0.0	60.0	150.0	144	0	false		-35.0		0	false	0
1073742233	35	80011	0	1125124704	1125125216	1000	612	0	0	0	0			0	0	0	1	0	false	false	0	0.0	60.0	150.0	144	0	false		-35.0		872416807	true	1000174135
1073921173	85	80301	0	0	0	1000	612	0	0	0	0		Vehicle_Orc_Santa_	0	0	0	1	0	false	false	0	0.0	60.0	150.0	144	0	true		-35.0		0	false	0
1073921368	1000	80011	0	1125124704	1125125216	1000	612	0	0	0	0			0	0	0	1	0	false	false	0	0.0	60.0	150.0	144	0	false		-35.0		872416801	true	1000174136
