ROWID	_WingType|INTEGER
536871155	0
536871156	0
536871157	0
536871158	0
536871159	0
536871160	0
536871161	0
536871162	0
536871163	0
536871164	0
536871165	0
536871166	0
536871167	0
536871168	0
536871169	0
536871170	0
536871171	0
536871172	0
536871173	0
536871174	0
536871175	0
536871176	0
536871177	0
536871178	0
536871179	0
536871662	0
536871663	0
536871664	0
536871665	0
536871666	0
536872769	0
536872770	0
536872771	0
536872772	0
536872773	0
536871180	0
536871181	0
536871182	0
536871183	0
536871184	0
536871667	0
536872774	0
536871194	1
536871195	1
536871196	1
536871197	1
536871198	1
536871668	1
536872775	1
536873866	0
536875278	0
536875279	0
536875280	0
536875281	0
536875282	0
536875286	1
536875287	0
536875939	0
536875940	0
536875941	0
536875942	0
536875943	0
536875947	1
