ROWID	_Fatigueratio|INTEGER	_MasterGainExp|DOUBLE	_MasterGainItem|INTEGER	_MasterGainItemNum|INTEGER	_AddGainExp|DOUBLE	_Cbase|DOUBLE	_Cdefense|DOUBLE	_Ccritical|DOUBLE	_Cfinaldamage|DOUBLE	_TalismanCost|INTEGER	_InvenGoldMax|INTEGER	_StorageGoldMax|INTEGER	_CcriticalDamage|DOUBLE	_CcriticalResistPvP|DOUBLE	_CcriticalResistPvE|DOUBLE	_PVPAttackPower|DOUBLE	_PVPDefencePower|DOUBLE
1	0	12.5	0	0	1.0	50.0	750.0	1000.0	75.0	10	0	0	2650.0	1000.0	1000.0	1000.0	1000.0
2	0	12.5	0	0	1.0	58.0	870.0	1160.0	87.0	10	0	0	3074.0	1160.0	1160.0	1050.0	1050.0
3	0	12.5	0	0	1.0	66.0	990.0	1320.0	99.0	10	0	0	3498.0	1320.0	1320.0	1102.0	1102.0
4	0	12.5	0	0	1.0	74.0	1110.0	1480.0	111.0	10	0	0	3922.0	1480.0	1480.0	1157.0	1157.0
5	0	28.125	0	0	1.0	82.0	1230.0	1640.0	123.0	10	0	0	4346.0	1640.0	1640.0	1214.0	1214.0
6	0	28.125	0	0	1.0	90.0	1350.0	1800.0	135.0	10	0	0	4770.0	1800.0	1800.0	1274.0	1274.0
7	0	28.125	0	0	1.0	98.0	1470.0	1960.0	147.0	10	0	0	5194.0	1960.0	1960.0	1337.0	1337.0
8	0	28.125	0	0	1.0	106.0	1590.0	2120.0	159.0	10	0	0	5618.0	2120.0	2120.0	1403.0	1403.0
9	0	42.1875	0	0	1.0	114.0	1710.0	2280.0	171.0	10	0	0	6042.0	2280.0	2280.0	1473.0	1473.0
10	0	42.1875	0	0	1.0	122.0	1830.0	2440.0	183.0	10	0	0	6466.0	2440.0	2440.0	1546.0	1546.0
11	0	42.1875	0	0	1.0	130.0	1950.0	2600.0	195.0	10	0	0	6890.0	2600.0	2600.0	1623.0	1623.0
12	0	42.1875	0	0	1.0	138.0	2070.0	2760.0	207.0	10	0	0	7314.0	2760.0	2760.0	1704.0	1704.0
13	0	42.1875	0	0	1.0	146.0	2190.0	2920.0	219.0	10	0	0	7738.0	2920.0	2920.0	1789.0	1789.0
14	0	42.1875	0	0	1.0	154.0	2310.0	3080.0	231.0	10	0	0	8162.0	3080.0	3080.0	1878.0	1878.0
15	0	42.1875	0	0	1.0	190.0	2850.0	3800.0	285.0	10	0	0	10070.0	3800.0	3800.0	1971.0	1971.0
16	0	126.5625	0	0	1.0	200.0	3000.0	4000.0	300.0	10	0	0	10600.0	4000.0	4000.0	2069.0	2069.0
17	0	126.5625	0	0	1.0	210.0	3150.0	4200.0	315.0	10	0	0	11130.0	4200.0	4200.0	2172.0	2172.0
18	0	126.5625	0	0	1.0	220.0	3300.0	4400.0	330.0	10	0	0	11660.0	4400.0	4400.0	2280.0	2280.0
19	0	126.5625	0	0	1.0	230.0	3450.0	4600.0	345.0	10	0	0	12190.0	4600.0	4600.0	2394.0	2394.0
20	0	126.5625	0	0	1.0	240.0	3600.0	4800.0	360.0	10	0	0	12720.0	4800.0	4800.0	2513.0	2513.0
21	0	126.5625	0	0	1.0	250.0	3750.0	5000.0	375.0	10	0	0	13250.0	5000.0	5000.0	2638.0	2638.0
22	0	126.5625	0	0	1.0	260.0	3900.0	5200.0	390.0	10	0	0	13780.0	5200.0	5200.0	2769.0	2769.0
23	0	126.5625	0	0	1.0	270.0	4050.0	5400.0	405.0	10	0	0	14310.0	5400.0	5400.0	2907.0	2907.0
24	0	253.125	0	0	1.0	280.0	4200.0	5600.0	420.0	10	0	0	14840.0	5600.0	5600.0	3052.0	3052.0
25	0	253.125	0	0	1.0	295.0	4425.0	5900.0	442.0	10	0	0	15635.0	5900.0	5900.0	3204.0	3204.0
26	0	253.125	0	0	1.0	310.0	4650.0	6200.0	465.0	10	0	0	16430.0	6200.0	6200.0	3364.0	3364.0
27	0	253.125	0	0	1.0	325.0	4875.0	6500.0	487.0	10	0	0	17225.0	6500.0	6500.0	3532.0	3532.0
28	0	253.125	0	0	1.0	340.0	5100.0	6800.0	510.0	10	0	0	18020.0	6800.0	6800.0	3708.0	3708.0
29	0	253.125	0	0	1.0	355.0	5325.0	7100.0	532.0	10	0	0	18815.0	7100.0	7100.0	3893.0	3893.0
30	0	253.125	0	0	1.0	370.0	5550.0	7400.0	555.0	10	0	0	19610.0	7400.0	7400.0	4087.0	4087.0
31	0	253.125	0	0	1.0	385.0	5775.0	7700.0	577.0	10	0	0	20405.0	7700.0	7700.0	4291.0	4291.0
32	0	329.0625	0	0	1.0	400.0	6000.0	8000.0	600.0	10	0	0	21200.0	8000.0	8000.0	4505.0	4505.0
33	0	329.0625	0	0	1.0	420.0	6300.0	8400.0	630.0	10	0	0	22260.0	8400.0	8400.0	4730.0	4730.0
34	0	329.0625	0	0	1.0	440.0	6600.0	8800.0	660.0	10	0	0	23320.0	8800.0	8800.0	4966.0	4966.0
35	0	329.0625	0	0	1.0	460.0	6900.0	9200.0	690.0	10	0	0	24380.0	9200.0	9200.0	5214.0	5214.0
36	0	329.0625	0	0	1.0	480.0	7200.0	9600.0	720.0	10	0	0	25440.0	9600.0	9600.0	5474.0	5474.0
37	0	329.0625	0	0	1.0	500.0	7500.0	10000.0	750.0	10	0	0	26500.0	10000.0	10000.0	5747.0	5747.0
38	0	329.0625	0	0	1.0	520.0	7800.0	10400.0	780.0	10	0	0	27560.0	10400.0	10400.0	6034.0	6034.0
39	0	329.0625	0	0	1.0	540.0	8100.0	10800.0	810.0	10	0	0	28620.0	10800.0	10800.0	6335.0	6335.0
40	0	427.78125	0	0	1.0	560.0	8400.0	11200.0	850.0	10	0	0	29680.0	11200.0	11200.0	6651.0	6651.0
41	0	427.78125	0	0	1.0	600.0	9000.0	12000.0	894.0	10	0	0	31641.0	12000.0	12000.0	6983.0	6983.0
42	0	427.78125	0	0	1.0	640.0	9600.0	12800.0	938.0	10	0	0	33575.0	12800.0	12800.0	7332.0	7332.0
43	0	427.78125	0	0	1.0	680.0	10200.0	13600.0	982.0	10	0	0	35510.0	13600.0	13600.0	7698.0	7698.0
44	0	427.78125	0	0	1.0	720.0	10800.0	14400.0	1026.0	10	0	0	37206.0	14400.0	14400.0	8082.0	8082.0
45	0	427.78125	0	0	1.0	765.0	11475.0	15300.0	1070.0	10	0	0	39326.0	15300.0	15300.0	8486.0	8486.0
46	0	427.78125	0	0	1.0	810.0	12150.0	16200.0	1114.0	10	0	0	41419.0	16200.0	16200.0	8910.0	8910.0
47	0	427.78125	0	0	1.0	855.0	12825.0	17100.0	1158.0	10	0	0	43513.0	17100.0	17100.0	9355.0	9355.0
48	0	427.78125	0	0	1.0	900.0	13500.0	18000.0	1202.0	10	0	0	45553.0	18000.0	18000.0	9822.0	9822.0
