ROWID	_categoryID|INTEGER	_Sort|INTEGER	_MapName|INTEGER	_MapID|INTEGER	_GateID|INTEGER	_StageSetTableID|INTEGER	_GateImage|TEXT	_NewIcon|INTEGER	_StageNum|INTEGER	_Difficult|INTEGER
1	0	1107	10287	11	8	35120	DungeonImage_14417.dds	0	2	4
2	0	1106	10281	11	8	47001	DungeonImage_14569.dds	0	2	4
3	0	1105	10280	11	8	47002	DungeonImage_14570.dds	0	2	4
4	0	1102	10313	11	8	47003	DungeonImage_14679.dds	0	2	4
5	0	1101	10329	11	8	47004	DungeonImage_14681.dds	0	2	4
6	1	152	1000073126	11	8	30102	DungeonImage_13639.dds	0	1	1
8	0	1104	1000099946	11	8	46003	DungeonImage_14671.dds	0	2	4
9	0	1103	10307	11	8	45011	DungeonImage_14711.dds	0	1	2
11	0	1100	1000107786	11	8	47005	DungeonImage_14801.dds	0	1	4
14	0	1099	1000113777	11	8	47006	DungeonImage_14690.dds	1	1	4
15	0	1098	1000118621	11	8	47007	DungeonImage_14600.dds	1	1	4
