ROWID	_ClearTableID|INTEGER	_FromLevel|INTEGER	_ToLevel|INTEGER	_FromRound|INTEGER	_ToRound|INTEGER	_ClearRewardExp|INTEGER	_ShowBoxNum|INTEGER	_SelectBoxNum|INTEGER	_BronzeTreasureBoxRatioDL|FLOAT	_SilverTreasureBoxRatioDL|FLOAT	_GoldTreasureBoxRatioDL|FLOAT	_PlatinumTreasureBoxRatioDL|FLOAT	_BronzeItemTableID|INTEGER	_SilverItemTableID|INTEGER	_GoldItemTableID|INTEGER	_PlatinumItemTableID|INTEGER	_ReturnWorldID|INTEGER	_ReturnWorldStartPos|INTEGER	_RewardGP|INTEGER
1001	30001	20	20	1	1	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1002	30001	20	20	2	2	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1003	30001	20	20	3	3	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1004	30001	20	20	4	4	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1005	30001	20	20	5	5	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1006	30001	20	20	6	6	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1007	30001	20	20	7	7	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1008	30001	20	20	8	8	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1009	30001	20	20	9	9	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1010	30001	20	20	10	10	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1011	30001	20	20	11	11	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1012	30001	20	20	12	12	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1013	30001	20	20	13	13	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1014	30001	20	20	14	14	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1015	30001	20	20	15	15	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1016	30001	20	20	16	16	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1017	30001	20	20	17	17	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1018	30001	20	20	18	18	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1019	30001	20	20	19	19	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1020	30001	20	20	20	20	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1021	30001	20	20	21	21	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1022	30001	20	20	22	22	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1023	30001	20	20	23	23	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1024	30001	20	20	24	24	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1025	30001	20	20	25	25	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1026	30001	20	20	26	26	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1027	30001	20	20	27	27	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1028	30001	20	20	28	28	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1029	30001	20	20	29	29	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1030	30001	20	20	30	30	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1031	30001	20	20	31	31	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1032	30001	20	20	32	32	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1033	30001	20	20	33	33	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1034	30001	20	20	34	34	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1035	30001	20	20	35	35	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1036	30001	20	20	36	36	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	125
1037	30001	21	21	1	1	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1038	30001	21	21	2	2	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1039	30001	21	21	3	3	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1040	30001	21	21	4	4	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1041	30001	21	21	5	5	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1042	30001	21	21	6	6	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1043	30001	21	21	7	7	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
