ROWID	_Period|INTEGER
536871449	7
536872619	30
536872620	1
536876143	90
536871967	30
536875429	7
536875608	30
536875934	3
536875935	10
536876220	30
536876226	1
536876163	7
536871975	30
536871976	30
536871977	30
536871978	30
536871979	30
536871980	30
536871981	30
536871982	30
536871983	30
536871984	30
536871985	30
536871986	30
536871987	30
536871988	30
536871989	30
536871990	30
536871991	30
536871992	30
536871993	30
536871994	30
536871995	30
536871996	30
536871997	30
536871998	30
536871999	30
536872000	30
536872001	30
536872002	30
536872003	30
536872004	30
536872005	30
536872006	30
536872007	30
536872008	30
536872009	30
536872010	30
536872011	30
536872012	30
536872013	30
536872014	30
536872015	30
536872016	30
536872017	30
536872018	30
536872019	30
536872020	30
536872021	30
536872022	30
536872023	30
536872024	30
536872025	30
536872026	30
536872027	30
536872028	30
536872029	30
536872030	30
536872031	30
536872032	30
536872033	30
536872034	30
536872035	30
536872036	30
536872037	30
536872038	30
536872039	30
536872040	30
536872041	30
536872042	30
536872043	30
536872044	30
536872045	30
536872046	30
536872047	30
536872048	30
536872049	30
536872050	30
536872051	30
536872052	30
536872053	30
536872054	30
536872055	30
536872056	30
536872057	30
536872058	30
536872059	30
536872060	30
536872061	30
536872062	30
536872063	30
536872064	30
536872065	30
536872066	30
536872067	30
536872068	30
536872069	30
536872070	30
536872071	30
536872072	30
536872073	30
536872074	30
536872075	30
536872076	30
536872077	30
536872078	30
536872079	30
536872080	30
536872081	30
536872082	30
536872083	30
536872084	30
268443239	7
268443240	7
268444228	3
536872201	30
60217	1
536872477	30
536872478	30
536872479	30
536872480	30
536872481	30
536872482	30
536872483	30
536872484	30
536872485	30
536872486	30
536872487	30
536872488	30
536872489	30
536872490	30
536872491	30
536872492	30
536872493	30
536872494	30
536872495	30
536872496	30
536872497	30
536872498	30
805308617	30
805308618	30
805308619	30
805308620	30
805308621	30
805308633	30
805308645	30
805308699	30
805308700	30
805308701	30
805308702	30
536873776	30
536873777	30
536873778	30
536873779	30
536873780	30
536873781	30
536873782	30
536873783	30
536873784	30
536873785	30
536873786	30
536873787	30
536873788	30
536873789	30
536873790	30
536873791	30
536873792	30
536873793	30
536875303	30
536875293	30
536875294	30
536875295	30
536875296	30
536875297	30
536875298	30
536875299	30
536875300	30
536875301	30
536875292	30
536875302	30
536875334	14
268456464	3
268456465	3
268456466	3
268456467	3
268456468	3
268456469	3
268456470	3
268456471	3
268456472	3
268456473	3
268456474	3
268456475	3
1073848576	1
1073848577	1
536875681	1
1073849889	1
268457328	15
268457329	1
268457330	1
268457331	1
805309476	1
805309510	1
805309506	30
805309507	30
536875726	7
536875727	7
536875728	7
536875729	7
805309674	15
536875749	30
536875750	30
536875751	30
536875752	30
536875753	30
536875754	30
536875755	30
536875756	30
536875757	30
536875758	30
536875759	30
536875760	30
536875761	30
536875762	30
536875763	30
536875764	30
536875765	30
536875766	30
536875767	30
536875768	30
536875769	30
536875770	30
536875771	30
536875772	30
536875773	30
536875774	30
536875775	30
536875776	30
536875777	30
536875778	30
536875779	30
536875780	30
536875781	30
536875782	30
536875783	30
536875784	30
536875785	30
536875786	30
536875787	30
536875788	30
536875789	30
536875790	30
536875791	30
536875792	30
536875793	30
536875794	30
536875795	30
536875796	30
536875797	30
536875798	30
536875799	30
536875800	30
536875801	30
536875802	30
536875803	30
536875804	30
536875805	30
536875806	30
536875807	30
536875808	30
536875809	30
536875810	30
536875811	30
536875812	30
536875813	30
536875814	30
536875815	30
536875816	30
536875817	30
536875818	30
268457398	1
805309759	1
536875898	1
536875899	1
536875900	1
536875901	1
536875902	1
536875903	1
536875904	1
536875905	1
536875906	1
536875907	1
536875908	1
536875909	1
536875910	1
536875911	1
536875912	1
536875913	1
536875914	1
536875915	1
536875916	1
805309760	1
268457336	15
268457337	15
268457338	15
268457339	15
536875917	1
268461879	3
805310042	1
805310043	1
805310044	1
805310045	1
805310046	1
805310047	1
805310085	1
805310086	1
805310087	1
805310093	1
805310094	1
268456867	3
805310106	30
805310107	30
268466185	5
268466186	14
805310140	2
805310105	1
268465142	30
268465143	30
268465144	30
268465145	30
268465146	30
268466179	30
268466180	30
805310246	30
805310281	30
805310264	30
268466483	1
268466480	1
268466481	1
268466482	1
268466484	1
268466487	1
268466488	1
268466489	1
268466490	3
268466491	3
268466492	3
268466493	7
268466494	7
268466495	7
805310314	7
805310348	3
805310335	2
805310354	60
805310355	60
805310412	30
805310414	30
268468625	30
268468626	30
268468627	30
268468628	30
268468629	30
268468630	30
268468631	30
268468632	30
268468633	30
805310491	30
805310490	30
805310582	30
805310598	30
805310599	30
805311056	30
805311162	1
805311159	30
805311160	30
805311182	30
536876227	7
805311230	3
805311231	3
805311232	3
805311233	3
805311234	3
805311246	3
805311247	3
805311248	3
268476401	3
536876465	30
536876466	30
536876467	30
268476575	1
805311238	30
805311178	1
268476584	1
268476733	3
268476734	3
268476735	3
536876505	30
536876506	30
536876507	30
536876508	30
536876509	30
536876510	7
536876522	30
536876523	30
536876524	30
805311380	1
805311394	1
805311395	1
805311396	1
805311397	1
805311398	1
805311399	1
536878103	1
536878119	30
268477215	1
268477216	1
268477217	1
268477250	14
268477251	14
536878136	30
805311472	30
805311474	30
805311481	30
805311482	30
805311488	30
805311489	30
805311490	30
268477309	7
536878150	7
1073903872	7
268477564	7
268477570	7
268477852	7
536878978	30
536878979	30
536879006	15
268480930	7
268480931	7
268481003	7
268481004	7
536879752	15
536879836	30
536879739	1
536879735	3
536879736	7
536879737	10
536879740	15
536879738	30
805311759	7
805311690	1
805311691	1
805311692	1
805311693	1
805311694	1
805311695	3
805311698	30
805311699	1
805311700	1
536880231	1
536880232	1
536880235	40
536880236	40
536880237	40
536880238	40
536880239	40
536880240	40
536880241	40
536880242	40
536880243	40
536880253	5
536880254	5
536880255	5
536880256	5
536880257	5
536880258	5
536880283	7
536880284	7
536880285	7
536880286	7
536880287	7
536880289	7
536880290	7
536880291	7
536880292	7
536880293	7
536880134	7
536880135	7
536880136	7
536880137	7
536880138	7
536880139	7
536880140	7
536880141	7
536880142	7
536880143	7
536880144	7
536880145	7
536880146	7
536880147	7
536880148	7
536880149	7
536880150	7
536880151	7
536880152	7
536880153	7
536880368	1
536880370	1
536880477	7
536880478	7
536880479	7
536880480	7
536880481	7
536880482	7
536880483	30
536880484	7
536880485	30
1073911291	7
1073911292	7
1073894590	30
536880541	1
536880542	1
536880543	1
536880544	1
536880545	1
536880546	1
536880547	1
536880548	1
536880549	1
536880550	1
268484441	7
536880782	7
536880783	7
536880784	7
536880785	7
536880786	7
536880787	7
536880788	7
536880789	7
536880790	7
536880791	7
536880792	7
536880793	7
536880794	7
536880795	7
536880796	7
536880797	7
536880798	7
536880774	7
536880775	7
536880776	7
536880800	30
1073913234	1
805312266	7
805312267	7
805312268	7
268484888	7
268484889	7
268484890	7
268484891	7
268484892	7
268484893	7
268484894	7
268484895	7
268484896	7
268484897	7
268484898	7
268484899	7
536880815	7
536880816	7
536880817	7
536880818	7
536880819	7
536880820	7
536880821	7
536880822	7
536880823	7
536880824	7
268484914	7
536880668	30
536880837	7
536880838	7
536880839	7
536880840	7
536880871	1
536880880	7
268487422	7
1073914765	1
1073914401	1
805312438	1
268487982	1
268487995	7
268487996	7
268487997	7
268487998	7
268487999	7
268488000	7
268488001	7
268488002	7
268488003	7
268488004	7
268488006	14
268488007	14
268488008	14
805312366	14
805312367	14
805312368	14
536881066	7
268488787	7
268488788	7
268488789	7
268488790	7
268488791	7
268488792	7
268488793	7
268488794	7
268488795	7
268488796	7
536881190	7
536881191	7
536881192	1
536881194	1
536881197	7
536881198	7
805312462	1
536881437	30
536881438	30
536881444	30
536881463	15
536881464	15
536881465	15
536881515	14
805311145	1
536882024	1
805312765	1
805312777	7
805312778	7
805312779	7
536882197	1
1073921374	30
268493872	7
268493866	14
268493867	14
268493868	14
268493869	14
268493870	14
536882302	1
268494955	1
805312879	1
268491695	1
805312890	1
805312897	7
268494209	1
268494982	1
268496541	7
805312915	7
805312916	7
536883123	7
536883124	7
268498627	1
268498367	1
