ROWID	_gachaActorID|INTEGER	_SkinName|INTEGER	_ActName|INTEGER	_AniName|INTEGER	_CameraX|DOUBLE	_CameraY|DOUBLE	_CameraZ|DOUBLE	_CameraZoom|INTEGER
1	90146	52503	52504	52505	0.0	70.0	120.0	80
2	90146	52503	52504	52505	0.0	70.0	120.0	80
3	90146	52503	52504	52505	0.0	70.0	120.0	80
4	90146	52503	52504	52505	0.0	70.0	120.0	80
5	90146	52503	52504	52505	0.0	70.0	120.0	80
6	90146	52503	52504	52505	0.0	70.0	120.0	80
7	90146	52503	52504	52505	0.0	70.0	120.0	80
8	90146	52503	52504	52505	0.0	70.0	120.0	80
9	90146	52503	52504	52505	0.0	70.0	120.0	80
10	90146	52503	52504	52505	0.0	70.0	120.0	80
101	90146	52503	52504	52505	0.0	70.0	120.0	80
102	90146	52503	52504	52505	0.0	70.0	120.0	80
103	90146	52503	52504	52505	0.0	70.0	120.0	80
104	90146	52503	52504	52505	0.0	70.0	120.0	80
105	90146	52503	52504	52505	0.0	70.0	120.0	80
11	90146	52503	52504	52505	0.0	70.0	120.0	80
12	90146	52503	52504	52505	0.0	70.0	120.0	80
13	90146	52503	52504	52505	0.0	70.0	120.0	80
14	90146	52503	52504	52505	0.0	70.0	120.0	80
15	90146	52503	52504	52505	0.0	70.0	120.0	80
16	90146	52503	52504	52505	0.0	70.0	120.0	80
17	90146	52503	52504	52505	0.0	70.0	120.0	80
18	90146	52503	52504	52505	0.0	70.0	120.0	80
19	90146	52503	52504	52505	0.0	70.0	120.0	80
20	90146	52503	52504	52505	0.0	70.0	120.0	80
21	90146	52503	52504	52505	0.0	70.0	120.0	80
