ROWID	_NameID|INTEGER	_NameIDParam|TEXT	_Level|INTEGER	_HP|INTEGER	_HPUI|INTEGER	_StrPMin|INTEGER	_StrPMax|INTEGER	_AttackUI|INTEGER	_StrMMin|INTEGER	_StrMMax|INTEGER	_DefP|INTEGER	_DefM|INTEGER	_Stiff|INTEGER	_Critical|INTEGER	_Stun|INTEGER	_StiffResistance|INTEGER	_CriticalResistance|INTEGER	_StunResistance|INTEGER	_Element_Str_Type|INTEGER	_Element_Str|FLOAT	_Fire_Def|FLOAT	_Ice_Def|FLOAT	_Light_Def|FLOAT	_Dark_Def|FLOAT	_DeadExperience|INTEGER	_CompleteExperience|INTEGER	_DeadDurability|INTEGER	_MoveSpeed|INTEGER	_DownDelay|FLOAT	_ActorTableID|INTEGER	_SizeMin|FLOAT	_SizeMax|FLOAT	_CustomAI|TEXT	_Weapon1Index|INTEGER	_Weapon2Index|INTEGER	_ThreatRange|INTEGER	_ThreatAggro|INTEGER	_CognizanceGentleRange|INTEGER	_CognizanceThreatRange|INTEGER	_RefreshTargetType|INTEGER	_RefreshTargetValue1|DOUBLE	_RefreshTargetValue2|DOUBLE	_SkillTable|INTEGER	_MonsterPartsIndex1|INTEGER	_MonsterPartsIndex2|INTEGER	_MonsterPartsIndex3|INTEGER	_MonsterPartsIndex4|INTEGER	_MonsterPartsIndex5|INTEGER	_SuperAmmor|INTEGER	_ImmunedStateBlow|TEXT	_ImmunePercent|TEXT	_DecreaseAggro|FLOAT	_RangeAttackAdditionalAggro|FLOAT	_StunStateAdditionalAggro|FLOAT	_DownStateAdditionalAggro|FLOAT	_CantMoveStateAdditionalAggro|FLOAT	_SleepStateAdditionalAggro|FLOAT	_UnderHPStateAdditionalAggro|FLOAT	_AllowSEDiffuseVariation|INTEGER	_Grade|INTEGER	_AllowEffectIndex|INTEGER	_UseGaugeBalloon|BOOLEAN	_ItemDropGroupID|INTEGER	_MonsterRaceID|INTEGER	_MonsterGrade|INTEGER	_SlowEffectByDeath|BOOLEAN	_EffectScale|BOOLEAN	_BossKillCheck|BOOLEAN	_ImmuneReduceTime|TEXT	_EffectByStart|TEXT	_EffectByEnd|TEXT	_StateResist|BOOLEAN	_AllowEffectIndex_New|TEXT	_NoSpin|BOOLEAN	_ShowGauge|BOOLEAN	_OffSetID|INTEGER	_HPBarOrder|INTEGER	_ItemDropType|INTEGER	_ItemDropIntervalTime|TEXT	_LimboConstantFlag|INTEGER	_NewBalanceFlagException|INTEGER
100001	1000004083	{1000010167},{1000006322}	100	2368	0	898	1097	0	898	1097	2531	2531	1012	10000	469	0	625	109	-1	0.0	0.0	0.0	0.0	0.0	0	0	0	300	0.0	10002	1.4	1.5	AiHoundArmor_General_Abyss.lua	10	0	3000	5	3200	4000	0	0.0	0.0	0	0	0	0	0	0	200			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	0	1	1	false	true	false				false	0	false	true	0	0	0	0	0	0
100002	1000004083	{1000010167},{1000006567}	100	1579	0	591	722	0	591	722	2250	2250	405	5000	0	0	0	875	-1	0.0	-0.3	0.0	0.0	0.3	0	0	0	0	0.0	10603	1.4	1.5	AiBat_Gray_Abyss.lua	11	0	3000	5	3200	4000	0	0.0	0.0	0	0	0	0	0	0	1000			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	5	0	true	0	10	1	true	true	false				false	0	false	true	0	0	0	0	0	0
100003	1000004083	{1000010167},{1000006764}	100	6710	0	1418	1733	0	1418	1733	4219	4219	675	5000	938	675	0	109	-1	0.0	0.0	0.0	-0.4	0.4	0	0	0	0	0.0	10805	1.4	1.5	AiOrc_Bone_Abyss.lua	8	0	3000	5	3200	4000	0	0.0	0.0	5	0	0	0	0	0	1000			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	5	0	true	0	13	1	true	true	false				false	0	false	true	0	0	0	0	0	0
100004	1000004083	{1000010167},{1000006772}	100	5921	0	1654	2021	0	1654	2021	4219	4219	675	5000	938	675	0	109	-1	0.0	0.0	0.0	-0.4	0.4	0	0	0	0	0.0	10705	1.4	1.5	AiDarkElf_Bone_Abyss.lua	18	0	3000	5	3200	4000	0	0.0	0.0	0	0	0	0	0	0	1000			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	5	0	true	0	14	1	true	true	false				false	0	false	true	0	0	0	0	0	0
100005	1000004083	{1000010167},{1000006769}	100	6316	0	1890	2310	0	1890	2310	4219	4219	675	5000	938	675	0	109	-1	0.0	0.0	0.0	-0.4	0.4	0	0	0	0	0.0	11205	1.4	1.5	AiTroll_Bone_Abyss.lua	12	0	3000	5	3200	4000	0	0.0	0.0	0	0	0	0	0	0	1000			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	5	0	true	0	15	1	true	true	false				false	0	false	true	0	0	0	0	0	0
100006	1000004083	{1000010167},{1000006592}	100	4342	0	1063	1299	0	1063	1299	5625	2812	675	0	0	675	0	875	-1	0.0	-0.3	0.0	0.0	0.0	0	0	0	0	0.0	11001	1.4	1.5	AiSpider_Yellow_Abyss.lua	17	0	3000	5	3200	4000	0	0.0	0.0	4	0	0	0	0	0	1000			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	5	0	true	0	16	1	true	true	false				false	0	false	true	0	0	0	0	0	0
100007	1000004083	{1000010167},{1000006557}	100	6947	0	884	1080	0	884	1080	7383	2953	675	0	0	675	0	875	-1	0.0	-0.3	0.0	0.0	0.3	0	0	0	0	0.67	11003	1.4	1.5	AiSpider_Black_Abyss.lua	17	0	3000	5	3200	4000	0	0.0	0.0	4	0	0	0	0	0	1000			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	5	0	true	0	17	3	true	true	false				false	0	false	true	0	0	0	0	0	0
100008	1000004083	{1000010167},{1000006533}	100	7895	0	988	1207	0	988	1207	4430	4430	1012	12500	1875	472	0	219	-1	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.67	10302	1.4	1.5	AiGoblin_Blue_Abyss.lua	68	0	3000	5	3200	4000	0	0.0	0.0	1	0	0	0	0	0	1000			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	5	0	true	0	20	3	true	true	false				false	0	false	true	0	0	0	0	0	0
100009	1000004083	{1000010167},{1000006553}	100	10263	0	1247	1525	0	1247	1525	4430	4430	1012	12500	938	540	0	219	-1	0.0	0.3	-0.3	0.0	0.0	0	0	0	0	0.67	10305	1.4	1.5	AiGoblin_Red_Abyss.lua	71	0	3000	5	3200	4000	0	0.0	0.0	1	0	0	0	0	0	1000			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	5	0	true	0	23	3	true	true	false				false	0	false	true	0	0	0	0	0	0
100010	1000004083	{1000010167},{1000006615}	100	5131	0	1134	1386	0	1134	1386	5625	5625	1148	5000	938	608	2500	219	-1	0.0	0.0	0.0	-0.3	0.3	0	0	0	0	0.0	10304	1.4	1.5	AiGoblin_Black_Abyss.lua	70	119	3000	5	3200	4000	0	0.0	0.0	1	0	0	0	0	0	1000			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	5	0	true	0	22	1	true	true	false				false	0	false	true	0	0	0	0	0	0
