ROWID	_FatigueEasy|INTEGER	_DecFatigue|INTEGER	_FatigueHard|INTEGER	_FatigueMaster|INTEGER	_FatigueAbyss|INTEGER	_LevelVariables|INTEGER	_EnterMapID|INTEGER
53	9	9	9	9	0	100	51
58	14	14	14	14	0	100	56
64	28	28	28	28	0	100	61
68	18	18	18	18	0	100	66
73	28	28	28	28	0	100	71
83	9	9	9	9	0	100	81
88	14	14	14	14	0	100	86
93	28	28	28	28	0	101	91
98	18	18	18	18	0	101	96
103	28	28	28	28	0	101	101
107	63	63	63	63	0	101	106
114	43	43	43	43	50	101	112
119	43	43	43	43	50	101	117
14151	63	63	63	63	90	101	0
14161	43	43	43	43	50	101	0
14153	43	43	43	43	50	101	0
15174	18	18	18	18	50	101	15170
904	18	18	18	18	50	101	901
10020	18	18	18	18	50	101	0
14032	43	43	43	43	50	101	14031
12006	43	43	43	43	50	101	12004
