ROWID	_SetStringID|INTEGER
1	1000067193
2	1000010032
3	1000052923
4	1000064438
5	1000068974
6	1000072006
7	1000072333
8	1000074575
9	1000063918
10	1000077091
11	1000079437
12	1000079438
13	1000075718
14	1000082912
15	1000083332
16	1000084002
17	1000085504
18	1000085028
19	1000086466
20	1000086629
21	1000087126
22	1000087362
23	1000087399
24	1000088155
25	1000088368
26	1000089218
27	1000089662
28	1000089663
29	1000090017
30	1000090899
31	1000091347
32	1000093478
33	1000094247
34	1000073902
35	1000091096
36	1000093676
37	1000095071
38	1000095550
39	1000095787
40	1000095989
41	1000090875
42	1000096720
43	1000096747
44	1000097092
45	1000097377
46	1000097845
47	1000097904
48	1000098007
49	1000098913
50	1000099323
51	1000099876
52	1000100006
53	1000100240
54	1000101444
55	1000101509
56	1000101646
57	1000077110
58	1000102433
59	1000102502
60	1000102680
61	1000103087
62	1000103093
63	1000103310
64	1000103311
65	1000103563
66	1000104232
67	1000104577
68	1000105057
69	1000106126
70	1000106552
71	1000106553
72	1000106638
73	1000107839
74	1000108225
75	1000108401
76	1000108983
77	1000109315
78	1000110664
79	1000110973
80	1000111137
81	1000112458
82	1000112515
83	1000112592
84	1000112971
85	1000113492
86	1000113617
87	1000115595
88	1000115608
89	1000116203
90	1000116664
91	1000116686
92	1000116873
93	1000117465
94	1000117814
95	1000118209
96	1000118789
97	1000119630
98	1000120331
99	1000120378
100	1000120454
101	1000120891
102	1000121035
103	1000121251
104	1000121800
105	1000122120
106	1000122180
107	1000124885
108	1000125732
109	1000125773
110	1000126548
111	1000126188
112	1000127991
113	1000128980
114	1000129608
115	1000130761
116	1000137559
117	1000137806
118	1000137807
119	1000142909
120	1000144052
121	1000144295
122	1000144296
123	1000145661
124	1000145662
125	1000148038
126	1000148447
127	1000148448
128	1000150178
129	1000150560
130	1000152922
131	1000154235
132	1000154808
133	1000155218
134	1000155957
135	1000156939
136	1000162119
137	1000162906
138	1000163506
139	1000163507
140	1000164690
141	1000164780
142	1000164781
143	1000164782
144	1000164783
145	1000164784
146	1000164785
147	1000165318
148	1000165319
149	1000165320
150	1000165321
151	1000165322
152	1000165323
153	1000165324
154	1000165325
155	1000165326
156	1000165327
157	1000165328
158	1000165329
159	1000165333
160	1000165459
161	1000168035
162	1000168398
163	1000172131
164	1000175717
165	1000175718
166	1000177647
167	1000178830
168	1000178831
169	1000181938
170	1000181939
171	1000182522
