ROWID	_EnchantID|INTEGER	_EnchantLevel|INTEGER	_EnchantRatio|FLOAT	_BreakRatio|FLOAT	_MinDown|INTEGER	_MaxDown|INTEGER	_NeedItemID1|INTEGER	_NeedItemCount1|INTEGER	_NeedItemID2|INTEGER	_NeedItemCount2|INTEGER	_NeedItemID3|INTEGER	_NeedItemCount3|INTEGER	_NeedItemID4|INTEGER	_NeedItemCount4|INTEGER	_NeedItemID5|INTEGER	_NeedItemCount5|INTEGER	_NeedCoin|INTEGER	_State1|INTEGER	_State1Value|TEXT	_State2|INTEGER	_State2Value|TEXT	_State3|INTEGER	_State3Value|TEXT	_State4|INTEGER	_State4Value|TEXT	_State5|INTEGER	_State5Value|TEXT	_State6|INTEGER	_State6Value|TEXT	_State7|INTEGER	_State7Value|TEXT	_State8|INTEGER	_State8Value|TEXT	_State9|INTEGER	_State9Value|TEXT	_State10|INTEGER	_State10Value|TEXT	_FailResultDropItemTableID|INTEGER	_PotentialID|INTEGER	_PotentialRatio|FLOAT	_ActionChangeValue|INTEGER	_ProtectItemCount|INTEGER	_ShieldItemCount|INTEGER	_BreakProtectItemCount|INTEGER	_DisjointDrop|INTEGER	_RandFunction|INTEGER	_NeedPoint|INTEGER	_NeedPointCount|INTEGER	_GearScore|INTEGER	_ProtectType|INTEGER	_Msg|BOOLEAN	_Skill_ApplyType|INTEGER	_SkillID|INTEGER	_SkillLevel|INTEGER
57924	847258323	1	1.0	0.0	0	0	268475885	1	268466749	1	0	0	0	0	0	0	15000	4	178.1303839425	5	251.096835627	6	140.3636097105	7	197.318341737	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	0	1	32	100	4	0	false	0	0	0
57925	847258323	2	1.0	0.0	0	0	268475885	2	268466749	2	0	0	0	0	0	0	21000	4	356.260767885	5	502.193671254	6	280.727219421	7	394.636683474	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	0	1	32	200	8	0	false	0	0	0
57926	847258323	3	1.0	0.0	0	0	268475885	3	268466749	3	0	0	0	0	0	0	29400	4	534.3911518275	5	753.290506881	6	421.0908291315	7	591.955025211	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	0	1	32	300	12	0	false	0	0	0
57927	847258323	4	1.0	0.0	0	0	268475885	4	268466749	4	0	0	0	0	0	0	39690	4	712.52153577	5	1004.387342508	6	561.454438842	7	789.273366948	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	0	1	31	400	16	0	false	0	0	0
57928	847258323	5	1.0	0.0	0	0	268475885	5	268466749	5	0	0	0	0	0	0	51597	4	890.6519197125	5	1255.484178135	6	701.8180485525	7	986.591708685	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	0	1	13	500	20	0	false	0	0	0
57929	847258323	6	1.0	0.0	0	0	268475885	6	268466749	6	0	0	0	0	0	0	67076	4	1068.782303655	5	1506.581013762	6	842.181658263	7	1183.910050422	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	0	1	14	600	24	0	false	0	0	0
57930	847258323	7	1.0	0.0	0	0	268475885	7	268466749	7	0	0	0	0	0	0	93907	4	1246.9126875975	5	1757.677849389	6	982.5452679735	7	1381.228392159	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	0	0.0	1	0	0	0	0	1	1	700	28	0	false	0	0	0
57931	847258323	8	1.0	0.0	0	0	268475885	8	268466749	8	0	0	0	0	0	0	131469	4	1425.04307154	5	2008.774685016	6	1122.908877684	7	1578.546733896	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	0	0.0	1	0	0	0	0	1	2	800	32	0	false	0	0	0
57932	847258323	9	1.0	0.0	0	0	268475885	9	268466749	9	0	0	0	0	0	0	177483	4	1603.1734554825	5	2259.871520643	6	1263.2724873945	7	1775.865075633	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	0	0.0	1	0	0	0	0	1	29	900	36	0	false	0	0	0
57933	847258323	10	1.0	0.0	0	0	268475885	10	268466749	10	0	0	0	0	0	0	266225	4	1781.303839425	5	2510.96835627	6	1403.636097105	7	1973.18341737	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	0	0.0	2	0	0	0	0	1	30	1000	40	0	false	0	0	0
