ROWID	_GroupID|INTEGER	_DropType|INTEGER	_DropIndex|INTEGER	_Expectation|DOUBLE
1	1	0	78225561	5.0
2	1	1	117441205	5.0
4	2	1	117441209	5.0
5	2	1	117441212	5.0
7	3	0	78225485	5.0
8	3	0	78225511	5.0
13	4	2	218104564	5.0
14	4	2	218104766	5.0
15	5	1	92275697	5.0
16	5	1	92275698	5.0
17	5	1	92275699	5.0
18	5	1	92275700	5.0
19	5	1	92275701	5.0
20	5	1	92275702	5.0
21	5	1	92275703	5.0
22	5	1	92275704	5.0
23	5	1	92275717	5.0
25	6	0	78144490	5.0
26	6	0	78144491	5.0
27	6	0	78144492	5.0
28	6	0	78144493	5.0
30	7	2	226493647	5.0
31	7	2	226493648	5.0
32	7	2	226493649	5.0
33	8	0	78225694	5.0
1000	2000001	1	92275697	0.5
1001	2000001	1	92275698	0.5
1002	2000001	1	92275699	0.5
1003	2000001	1	92275700	0.5
1005	2000002	1	92275741	0.5
1006	2000002	1	92275742	0.5
1007	2000002	1	92275743	0.5
1008	2000002	1	92275744	0.5
1010	2000003	1	92275750	0.5
1011	2000003	1	92275751	0.5
1012	2000003	1	92275752	0.5
1013	2000003	1	92275753	0.5
1015	2000004	1	92275705	0.5
1016	2000004	1	92275706	0.5
1017	2000004	1	92275707	0.5
1018	2000004	1	92275708	0.5
1019	2000010	0	78149539	0.5
1020	2000010	0	78149556	0.5
1021	2000010	0	78149557	0.5
1022	2000010	0	78149558	0.5
1023	2000010	0	78149559	0.5
1024	2000010	0	78149560	0.5
1025	2000010	0	78149561	0.5
1026	2000010	0	78149562	0.5
1037	2000012	0	78225291	0.5
1038	2000012	0	78225292	0.5
1039	2000012	0	78225293	0.5
1040	2000012	0	78225294	0.5
1053	2000030	2	92276173	0.5
1054	2000030	2	92276174	0.5
1055	2000030	2	92276175	0.5
1056	2000030	2	92276176	0.5
1057	2000030	2	92276974	0.5
1058	2000041	1	117441010	0.5
1059	2000042	1	117440779	0.5
1060	2000043	1	117441034	0.5
1061	2000044	1	117441098	0.5
1062	2000045	1	117440807	0.5
1063	2000046	1	117440834	0.5
1064	2000047	1	117440857	0.5
1065	2000048	1	117441056	0.5
1066	2000049	1	117441205	0.5
1067	2000050	1	117440875	0.5
1068	2000051	1	117441124	0.5
1069	2000052	1	117441060	0.5
1070	2000053	1	117441147	0.5
1100	2000005	1	92276595	0.5
1101	2000005	1	92276596	0.5
1102	2000005	1	92276597	0.5
1103	2000005	1	92276598	0.5
1200	2000006	1	92276603	0.5
1201	2000006	1	92276604	0.5
1202	2000006	1	92276605	0.5
1203	2000006	1	92276606	0.5
1300	2000007	1	92276703	0.5
1301	2000007	1	92276704	0.5
1302	2000007	1	92276705	0.5
1303	2000007	1	92276706	0.5
1304	2000007	1	92276707	0.5
1305	2000007	1	92276708	0.5
1400	2000008	1	92277649	0.5
1401	2000008	1	92277650	0.5
1402	2000008	1	92277651	0.5
1403	2000008	1	92277652	0.5
1404	2000009	1	92277720	0.5
1405	2000009	1	92277721	0.5
1406	2000009	1	92277722	0.5
1407	2000009	1	92277723	0.5
1408	2000009	1	92277724	0.5
1409	2000009	1	92277725	0.5
1410	2000013	1	92278224	0.5
1411	2000013	1	92278225	0.5
1412	2000013	1	92278226	0.5
1413	2000013	1	92278227	0.5
1414	2000014	1	92278241	0.5
1415	2000014	1	92278242	0.5
1416	2000014	1	92278243	0.5
1417	2000014	1	92278244	0.5
1418	2000015	1	92278500	0.5
1419	2000015	1	92278501	0.5
1420	2000015	1	92278502	0.5
1421	2000015	1	92278503	0.5
1422	2000016	1	92278504	0.5
1423	2000016	1	92278505	0.5
1424	2000016	1	92278506	0.5
1425	2000016	1	92278507	0.5
