ROWID	_FileName|TEXT	_TotalFrame|INTEGER	_Descriotion|TEXT
1	B_1_OrcG.dmv	2450	1_그늘숲 기슭 보스_오크그린 
2	B_2_TrollB.dmv	2953	2_고대신전 유적지 보스_트롤블루
3	B_3_MinoNr.dmv	3392	3_카타콤 보스_미노타우르스노말
4	B_4_OrcR.dmv	2304	4_카타콤 보스_오크레드
5	B_5_TrollB.dmv	3201	5_고대신전발굴지 보스_트롤블루
6	B_6_MinoSt.dmv	5500	X.사용안하게된 스테이지 보스씬
7	B_7_OrcB.dmv	2349	7_서리바람계곡 보스_오크그린
8	B_8_TrollB.dmv	2954	8_파렐리나안식처 보스_트롤블루
9	B_9_MinoNr.dmv	3575	9_고요한수도원회랑 보스_미노타우르스노말
10	B_10_OrcR.dmv	2349	10_서리바람숲 보스_오크레드
11	B_11_TrollB.dmv	3201	11_마리온전당 보스_트롤블루
12	B_14_HarpyR.dmv	3097	14_탄식의협곡 보스_하피빨강퀘스트보스
13	B_13_DarkElfE.dmv	1750	13_습격자들의 소굴 보스_다엘 그레이 세 마리
14	B_14_HarpyW.dmv	3097	14_탄식의협곡 보스_하피일반보스
15	B_15_GargoyleE.dmv	1700	15_숲의 성역 보스_가고일 그레이
16	B_16_MinoK.dmv	2000	16_잠든자의 신전 보스_미노타우르스 블랙
17	B_17_GhoulB.dmv	3706	17_죽음의 숲 보스_구울 블루
18	B_18_HobGoblinG.dmv	2328	18_습격자들의 매복지 보스_홉고블린 그린
19	B_19_HobGoblinG.dmv	2328	19_신전예배당 보스_브로 화이트와 홉고블린 그린
20	B_20_MinoW.dmv	2000	20_카타콤 집회장 보스_미노타우르스 화이트
21	B21_SpiderQueen.dmv	3949	21_페어리스타 마법연구소 보스_여왕 거미
22	B22_BrooB.dmv	2599	22_고요한 수도원 본당 보스_브로 레드
23	B23_OgreW.dmv	2308	23_돌아오지 못하는 길 보스_오우거 화이트
24	B24_WraithR.dmv	9702	24_죽음의 분지 보스_레이스 레드
25	B25_ShadowD.dmv	6810	25_성역 중심 보스_쉐도우다크 다크 스크림
26	B_26_ManticoreB_01.dmv	6000	26_기도하는 자의 안식처_보스 수호자 등장
27	B_27_OrcGrey.dmv	3300	27_검은 광산 보스_오크 그레이
28	B_28_GargoyleR.dmv	11400	28_검은대군주의 영지 보스_가고일레드
29	B_29_DarkshadowB.dmv	7400	29-함몰된 광산 다크엘프루트 보스_쉐도우 다크 
30	B_30_1A_SpittlerGreen.dmv	5002	30-외딴섬 보스_칵퉤꽃 그린
31	B_31_GargoyleG.dmv	2800	31-버려진 윌든 할로우 보스_가고일 블루
32	B_32_LizardManB.dmv	8000	32-강하류 폐허 보스_리자드맨 블루
33	B33_1A_LizardmanB.dmv	8500	33-외딴섬 중심부 보스_리자드맨 블랙
34	B_34_LamiaG.dmv	5005	34-강하류 수몰지 보스_라미아 그린
35	B_35_WraithG.dmv	6400	35-말라버린 마리사의 샘 보스_레이스 그레이
36	B_36_OgerB.dmv	12000	36_검은대군주의 연병장 보스_오우거 블랙
37	B_37_GargoyleG.dmv	2900	37-정령들의 무덤 보스_가고일 그린
38	B_38_DarkElfBR.dmv	13400	38-죽은도시의 길목 보스_다크엘프 블루/레드
39	B_39_Rhinoman.dmv	15500	39-캡틴달란트의 근거지 보스-라이노맨
40	B_40_Ogre Red.dmv	3700	
41	B_41_Cyclops.dmv	15000	41_고엽의 숲 폭발지역_사이클롭스 그린
42	B_42_HalfGolemStone.dmv	3600	42-죽음의도시 입구 보스1_하프골렘스톤
43	B_43_HobGoblinB.dmv	4700	43-검은 영지 수비대 거점 보스_홉 고블린 블랙
44	B_44_DarkshadowR.dmv	11200	
45	B_45_Wisp.dmv	9600	
46	B_46_Harpy Black.dmv	5500	
47	B_47_LizardManW.dmv	15000	47-잃어버린 시간의 폐허-리자드맨화이트
48		0	
1051	B_1_OrcG.dmv	2450	임시
1052	B_2_TrollB.dmv	2953	임시
1053		0	
1054	B_54_BossA_DragonSycophant_Puni.dmv	2450	54_용추종자 점령지_용추종자 퍼니셔 보스
1055	B_55_BossA_MimicGold.dmv	2953	55_고대무기고 동쪽_미믹골드 보스
1056	B_56_BossA_HalfGolemIron.dmv	3392	56_고대무기고 서쪽_하프골렘 아이언 보스
1057	66_BossA.dmv	4020	66_패쇄된 얼음계곡, 트롤 블랙 보스
1058	58_BossA.dmv	7167	58_이슬라 토착민 촌락, 챠티 쉐도우 보스
1059		0	
1060		0	
1061	61_BossA_Unstable_Black.dmv	9100	61_악령의 그늘_언스테이블 블랙 보스
1062	62_BossA_calamary_White.dmv	9200	62_잠식당한 신전폐허_칼라마리 화이트 보스
