ROWID	_ItemGainText|TEXT
304251136	#s\n#y{1000059802}
268475046	#s\n#y
268476967	#s\n#y
268457338	#s{1000055957}\n#y{8928}
268457339	#s{1000055957}\n#y{8928}
268475044	
268466749	#s{1000055957}\n#y{1000148912}\n{1000148011}\n{1000144502}\n{1000117970}\n{1000148922}\n{1000142890}
268466189	#s{1000055957}\n#y{1000131606}\n{9881}\n{1000148922}\n{1000142890}
268476918	#s{1000055957}\n#y{1000121553}\n{1000127295}\n{10364}
536878081	#s{1000055957}\n#y{1000062028}
536878082	#s{1000055957}\n#y{1000062028}
268477656	#s\n#y
536875950	#s\n#y
268476966	
536876193	#s\n#y
536876194	#s\n#y
536876195	#s\n#y
268477215	#s{1000081418}\n#y{10382}\n{1000168342}\n{1000161735}\n{10392}\n{1000178596}
268477216	#s{1000081418}\n#y{10382}\n{1000168342}\n{1000161735}\n{10392}\n{1000178596}
268477217	#s{1000081418}\n#y{10382}\n{1000168342}\n{1000161735}\n{10392}\n{1000178596}
268442691	#s{1000055957}\n#y{1000056632}\n{1000063308}
805310131	#s{1000055957}\n#y{1000117900}
805310132	#s{1000055957}\n#y{1000117900}
805310133	#s{1000055957}\n#y{1000117900}
805310134	#s{1000055957}\n#y{1000117900}
268456867	#s{1000100735}\n#y{1000100736}
268466748	#s{1000144347}\n#y{1000144231}
336629760	#s{1000144347}\n#y{1000144231}
336617472	#s{1000144347}\n#y{1000144231}
336617728	#s{1000144347}\n#y{1000144231}
336617984	#s{1000144347}\n#y{1000144231}
336618240	#s{1000144347}\n#y{1000144231}
336618496	#s{1000144347}\n#y{1000144231}
268442037	#s{1000144347}\n#y{1000144231}
268442038	#s{1000144347}\n#y{1000144231}
268442039	#s{1000144347}\n#y{1000144231}
268442040	#s{1000144347}\n#y{1000144231}
268463241	#s{1000144347}\n#y{1000144231}
336609536	#s{1000144347}\n#y{1000144231}
336609792	#s{1000144347}\n#y{1000144231}
336610048	#s{1000144347}\n#y{1000144231}
336610304	#s{1000144347}\n#y{1000144231}
268452928	#s{1000144347}\n#y{1000144231}
268463240	#s{1000144347}\n#y{1000144231}
336990720	#s{1000144347}\n#y{1000144231}
268463916	#s{1000144347}\n#y{1000144231}
268465689	#s{1000144347}\n#y{1000144231}
268466301	#s{1000144347}\n#y{1000144231}
268466320	#s{1000144347}\n#y{1000144231}
268466719	#s{1000144347}\n#y{1000144231}
268466720	#s{1000144347}\n#y{1000144231}
268466721	#s{1000144347}\n#y{1000144231}
268466722	#s{1000144347}\n#y{1000144231}
268466724	#s{1000144347}\n#y{1000144231}
268461880	#s{1000144347}\n#y{1000144231}
268466304	#s{1000144347}\n#y{1000144231}
268452927	#s{1000144347}\n#y{1000144231}
336086272	#s{1000144347}\n#y{1000144231}
1678262784	#s{1000144347}\n#y{1000144231}
268477145	#s{1000055957}\n#y{1000148922}\n{1000091073}\n{1000154550}\n{1000148913}\n{1000129332}\n{1000102791}\n{1000122929}\n{1000142890}\n{10365}
268476323	#s{1000055957}\n#y{1000148922}
805311230	#s{1000120415}\n#y{1000120743}
805311231	#s{1000120415}\n#y{1000127751}
805311232	#s{1000120415}\n#y{1000120745}
805311233	#s{1000120415}\n#y{1000127750}
805311234	#s{1000120415}\n#y{1000120747}
805311246	#s{1000120415}\n#y{1000120748}
805311247	#s{1000120415}\n#y{1000120749}
805311248	#s{1000120415}\n#y{1000120745}
268476198	#s{1000055957}\n#y{1000062974}\n{1000127665}\n{10364}
268476199	#s{1000055957}\n#y{1000062974}\n{1000127665}
268476200	#s{1000055957}\n#y{1000062974}\n{1000127665}\n{10364}
268476201	#s{1000055957}\n#y{1000062974}\n{1000127665}\n{1000129313}
268442257	#s{1000055957}\n#y{1000122929}
536878219	
536878220	
536878221	
536878987	#s{1000055957}\n#y{1000148913}
536878988	#s{1000055957}\n#y{1000148913}
268442016	#s\n#y
268476260	#s{1000055957}\n#y{1000062975}\n{9881}
268476261	#s{1000055957}\n#y{1000062975}\n{9881}
346031104	#s\n#y
536875349	#s\n#y
536875348	#s\n#y
268476584	#s{1000055957}\n#y{1000148912}\n{1000131606}\n{10364}
268477565	#s{1000055957}\n#y{1000137650}
536878984	#s{1000055957}\n#y{1000148913}\n{1019935}\n{1000136164}
268450148	#s{1000055957}\n#y\n{1000076507}
268476262	#s{1000055957}\n#y{1000062975}
268476263	#s{1000055957}\n#y{1000062975}
805309846	#s{1000055957}\n#y{9881}\n{1000121932}\n{1000159681}
805309844	#s{1000055957}\n#y{1000121932}\n{1000159681}
