ROWID	_NameID|INTEGER	_CategoryType|INTEGER	_GroupID|INTEGER	_ExchangeType|INTEGER
1	7603	0	0	0
2	1712	1	0	1
3	2277	1	0	2
4	2222	1	0	3
5	2223	1	0	4
6	2224	1	0	5
7	40	1	0	6
8	2226	1	0	7
100	7604	0	1	0
101	2227	1	1	8
102	2228	1	1	9
103	2229	1	1	10
150	1000177770	0	13	0
151	1000176416	1	13	78
152	1000176417	1	13	79
153	1000176418	1	13	80
154	1000176419	1	13	81
201	2230	0	2	0
202	8039	1	2	33
203	8040	1	2	34
204	8041	1	2	35
205	2291	1	2	56
301	1000057569	0	3	0
302	1000058239	1	3	54
303	1000058240	1	3	55
401	1000054149	0	4	0
402	8493	1	4	52
501	1000074098	0	5	0
502	1000074099	1	5	66
503	1000074100	1	5	67
504	1000074101	1	5	68
505	1000074102	1	5	69
601	7605	0	6	0
602	1000037934	1	6	51
604	2147	1	6	12
605	1000040547	1	6	64
606	1000074104	1	6	65
607	2293	1	6	11
608	9090	1	6	74
609	1000081232	1	6	75
610	1000015539	1	6	46
611	1000108314	1	6	76
612	2292	1	6	15
613	7105	1	6	71
701	7607	0	7	0
702	1712	1	7	16
703	2277	1	7	17
704	2222	1	7	18
705	2223	1	7	19
706	2224	1	7	20
707	40	1	7	21
708	2226	1	7	22
709	130106	1	7	77
801	7608	0	8	0
802	2227	1	8	23
803	2228	1	8	24
804	2229	1	8	25
805	2232	1	8	26
806	2233	1	8	27
807	2234	1	8	28
808	2231	1	8	29
809	4504	1	8	47
901	7606	0	9	0
902	2293	1	9	30
903	8002	1	9	31
904	7615	1	9	48
906	2292	1	9	32
1101	1213	0	11	0
1102	7515	1	11	39
1103	7300	1	11	40
1104	1000018649	1	11	41
1105	7517	1	11	42
1106	7518	1	11	43
1203	1000015539	1	12	46
