ROWID	_PotentialID|INTEGER	_PotentialNo|INTEGER	_PotentialRatio|FLOAT	_PrefixNameID|INTEGER	_State1|INTEGER	_State1Value|TEXT	_State2|INTEGER	_State2Value|TEXT	_State3|INTEGER	_State3Value|TEXT	_State4|INTEGER	_State4Value|TEXT	_State5|INTEGER	_State5Value|TEXT	_State6|INTEGER	_State6Value|TEXT	_State7|INTEGER	_State7Value|TEXT	_State8|INTEGER	_State8Value|TEXT	_State9|INTEGER	_State9Value|TEXT	_State10|INTEGER	_State10Value|TEXT	_State11|INTEGER	_State11Value|TEXT	_State12|INTEGER	_State12Value|TEXT	_State13|INTEGER	_State13Value|TEXT	_State14|INTEGER	_State14Value|TEXT	_State15|INTEGER	_State15Value|TEXT	_State16|INTEGER	_State16Value|TEXT	_SkillID|INTEGER	_SkillLevel|INTEGER	_SkillUsingType|INTEGER	_GearScore|INTEGER
838868131	838865367	0	50.0	0	4	52.851543898053	5	52.851543898053	0	12.3870806011062	54	0.03	55	0.03	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
838868132	838865368	0	50.0	0	4	89.4527373822704	5	89.4527373822704	0	20.9654853239696	54	0.03	55	0.03	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
838868133	838865369	0	50.0	0	4	183.613513574134	5	183.613513574134	0	43.0344172439376	54	0.03	55	0.03	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
838868134	838865370	0	50.0	0	4	375.466095065056	5	375.466095065056	0	87.9998660308725	54	0.03	55	0.03	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
838868135	838865371	0	50.0	0	4	26.4002344383195	5	26.4002344383195	0	6.18755494648112	54	0.04	55	0.04	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
838868136	838865372	0	50.0	0	4	44.683145729795	5	44.683145729795	0	10.4726122804207	54	0.04	55	0.04	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
838868137	838865373	0	50.0	0	4	91.7180359716845	5	91.7180359716845	0	21.4964146808636	54	0.04	55	0.04	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
838868138	838865374	0	50.0	0	4	187.551624839534	5	187.551624839534	0	43.9574120717659	54	0.04	55	0.04	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
838868139	838865375	0	50.0	0	4	55.4404923204709	5	55.4404923204709	0	12.9938653876104	54	0.04	55	0.04	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
838868140	838865376	0	50.0	0	4	93.8346060325695	5	93.8346060325695	0	21.9924857888835	54	0.04	55	0.04	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
838868141	838865377	0	50.0	0	4	192.607875540537	5	192.607875540537	0	45.1424708298135	54	0.04	55	0.04	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
838868142	838865378	0	50.0	0	4	393.858412163022	5	393.858412163022	0	92.3105653507083	54	0.04	55	0.04	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
838892334	838893650	0	50.0	0	4	519.534557086875	5	519.534557086875	0	121.765911817236	54	0.04	55	0.04	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
838868143	838865379	0	30.0	0	4	87.5695776319057	5	87.5695776319057	0	20.5241197574779	54	0.04	55	0.04	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0	0
