ROWID	_NameID|INTEGER	_LevelLimit|INTEGER	_DescriptionID|INTEGER	_State1|INTEGER	_StateValue1|TEXT	_State2|INTEGER	_StateValue2|TEXT	_State3|INTEGER	_StateValue3|TEXT	_State4|INTEGER	_StateValue4|TEXT	_State5|INTEGER	_StateValue5|TEXT	_State6|INTEGER	_StateValue6|TEXT	_State7|INTEGER	_StateValue7|TEXT	_State8|INTEGER	_StateValue8|TEXT	_State9|INTEGER	_StateValue9|TEXT	_State10|INTEGER	_StateValue10|TEXT	_Color|INTEGER	_Type|INTEGER	_ColorValue|TEXT	_SkillLinkItemID|INTEGER	_TextInColor|TEXT	_TextOutColor|TEXT	_fixstate|INTEGER
1	9101	1	0	0	4	1	4	2	4	3	4	-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
2	9103	1	1000006875	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
3	9107	1	1000007046	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
4	9110	1	1000006873	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
5	9112	1	1000006238	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
6	1000006870	1	0	0	1	1	1	2	1	3	1	-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
7	1000010797	1	1000010803	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
8	1000010798	1	1000010808	0	3	1	3	2	3	3	3	-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
9	1000010799	1	1000010804	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
10	1000010516	1	0	21	0.05	20	0.05	-1		-1		-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
11	1000010517	1	0	21	0.05	20	0.05	-1		-1		-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
12	1000010800	1	1000010805	3	3	-1		-1		-1		-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
13	1000010801	1	1000010806	4	10	5	10	6	10	7	10	25	50	-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
14	1000010802	1	1000010807	4	10	5	10	6	10	7	10	25	50	-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
15	1000017161	1	1000017169	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
16	1000006417	1	0	8	15	9	15	3	8	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			122
17	1000006418	1	0	8	20	9	20	3	10	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			123
18	1000006419	1	0	4	15	5	15	6	15	7	15	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			122
19	1000006420	1	0	2	12	8	5	9	45	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			122
20	1000006421	1	0	8	32	9	32	3	10	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			124
21	1000006422	1	1000006460	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			123
22	1000006135	1	1000006240	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			123
23	1000005219	1	1000006241	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
24	1000006136	1	0	2	5	-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			88
25	1000006137	1	0	1	3	2	3	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			89
26	1000006134	1	0	0	2	1	2	2	4	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
27	1000006138	1	0	0	2	1	3	2	5	3	2	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
28	1000006139	1	1000006242	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			88
29	1000006140	1	1000006243	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			89
30	1000006141	1	1000006244	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
31	1000006142	1	1000006245	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
32	1000006143	1	0	0	3	4	2	5	2	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
33	1000006144	1	0	3	4	-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
34	1000006145	1	0	10	28	-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			89
35	1000006146	1	1000050766	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			90
36	1000006147	1	1000050767	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			91
37	1000006148	1	1000050768	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			91
38	1000006149	1	1000050769	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			92
39	1000006150	1	0	3	5	-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			121
40	1000006151	1	0	3	6	-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			120
41	1000006152	1	0	0	7	3	7	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			121
42	1000006153	1	0	3	3	-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
43	1000006154	1	0	1	7	2	7	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			120
44	1000006123	1	0	1	3	-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
45	1000006155	1	0	6	13	7	13	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			121
46	1000006156	1	0	0	8	1	12	2	8	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
47	1000006157	1	0	12	8	13	24	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
48	1000006158	1	0	1	14	3	8	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
49	1000006159	1	0	2	3	3	3	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
50	1000006160	1	0	13	40	15	40	11	28	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
51	9151	1	0	8	16	9	16	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
52	9135	1	0	0	7	1	7	2	7	3	22	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
53	1000006161	1	0	2	-4	3	6	8	18	9	18	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
54	1000006162	1	0	0	14	1	6	2	6	3	20	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
55	9155	1	0	4	4	5	4	8	26	6	-1	7	-1	9	-6	-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
56	1000006163	1	0	0	10	1	10	2	10	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
57	1000006164	1	0	0	-1	1	9	2	-1	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
58	1000007105	1	0	4	25	5	25	6	25	7	25	2	15	3	15	-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
59	1000006461	1	1000050770	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			93
60	1000007803	1	1000006250	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
61	1000006167	1	0	3	8	15	65	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
62	1000006168	1	0	1	-4	15	22	13	22	11	22	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
63	9143	1	0	0	7	1	7	2	7	3	24	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
64	1000006169	1	0	8	30	9	-8	2	-1	3	6	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
65	1000006170	1	0	0	8	1	8	2	23	3	8	16	0.01	-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
