ROWID	_ItemID|INTEGER	_TabID|INTEGER	_TabNameID|INTEGER	_GroupID|INTEGER	_PrintID|TEXT	_PrintJob|TEXT	_GetLevel|TEXT	_GainID|TEXT	_DescriptionID|INTEGER	_DescriptionIDParam|TEXT
1	268460649	1	1000024096	100	1	1;11;23;24;75;76	1	0;0;0;0;0;0;0;0;0;0	0	
2	268460651	1	1000024096	100	1	2;14;29;30	1	0;0;0;0;0;0;0;0;0;0	0	
3	268460653	1	1000024096	100	1	4;20;41;42;82;83	1	0;0;0;0;0;0;0;0;0;0	0	
4	268460660	1	1000024096	100	1	3;17;18;35;36;38;37;84;85	1	0;0;0;0;0;0;0;0;0;0	0	
5	268460663	1	1000024096	100	1	6;54;57;55;56;58;59;88;89	1	0;0;0;0;0;0;0;0;0;0	0	
6	268460666	1	1000024096	100	1	5;49;50;51	1	0;0;0;0;0;0;0;0;0;0	0	
7	268460648	1	1000024096	100	1	7;62;67;63;64;68;69;90;91	1	0;0;0;0;0;0;0;0;0;0	0	
8	268460657	1	1000024096	100	1	8;72;73;74;98;99	1	0;0;0;0;0;0;0;0;0;0	0	
9	268460674	1	1000024096	100	1	9;77;78;79	1	0;0;0;0;0;0;0;0;0;0	0	
10	268488600	1	1000024096	100	1	201;100;102;103	1	0;0;0;0;0;0;0;0;0;0	0	
11	268460650	1	1000024096	100	2	1;12;25;26	1	0;0;0;0;0;0;0;0;0;0	0	
12	268460655	1	1000024096	100	2	2;15;31;32	1	0;0;0;0;0;0;0;0;0;0	0	
13	268460661	1	1000024096	100	2	4;22;43;44	1	0;0;0;0;0;0;0;0;0;0	0	
14	268460662	1	1000024096	100	2	3;17;18;35;36;38;37;84;85	1	0;0;0;0;0;0;0;0;0;0	0	
15	268460671	1	1000024096	100	2	6;54;57;55;56;58;59	1	0;0;0;0;0;0;0;0;0;0	0	
16	268460667	1	1000024096	100	2	5;46;48;47;86;87	1	0;0;0;0;0;0;0;0;0;0	0	
17	268460658	1	1000024096	100	2	7;62;67;63;64;68;69;90;91	1	0;0;0;0;0;0;0;0;0;0	0	
18	268480922	1	1000024096	100	2	92;93;94;8	1	0;0;0;0;0;0;0;0;0;0	0	
19	268481145	1	1000024096	100	2	95;96;97;9	1	0;0;0;0;0;0;0;0;0;0	0	
20	268460652	1	1000024096	100	3	1;12;26;25	1	0;0;0;0;0;0;0;0;0;0	0	
21	268460668	1	1000024096	100	3	2;14;29;30;80;81	1	0;0;0;0;0;0;0;0;0;0	0	
22	268460672	1	1000024096	100	3	4;20;41;42	1	0;0;0;0;0;0;0;0;0;0	0	
23	268460664	1	1000024096	100	3	3;17;18;35;36;38;37;84;85	1	0;0;0;0;0;0;0;0;0;0	0	
24	268460647	1	1000024096	100	4	1;11;12;23;24;25;26;75;76	1	0;0;0;0;0;0;0;0;0;0	0	
25	268460654	1	1000024096	100	4	8;72;73;74;92;93;94;98;99	1	0;0;0;0;0;0;0;0;0;0	0	
26	268460659	1	1000024096	100	4	4;20;22;41;42;43;44;82;83	1	0;0;0;0;0;0;0;0;0;0	0	
27	268460656	1	1000024096	100	4	3;17;18;35;36;38;37;84;85	1	0;0;0;0;0;0;0;0;0;0	0	
28	268460665	1	1000024096	100	4	6;54;57;55;56;58;59;88;89	1	0;0;0;0;0;0;0;0;0;0	0	
29	268460669	1	1000024096	100	4	7;62;67;63;64;68;69;90;91	1	0;0;0;0;0;0;0;0;0;0	0	
30	268460670	1	1000024096	100	4	5;46;49;48;47;50;51;86;87	1	0;0;0;0;0;0;0;0;0;0	0	
31	268460673	1	1000024096	100	4	2;14;29;30;80;81;15;31;32	1	0;0;0;0;0;0;0;0;0;0	0	
32	268460675	1	1000024096	100	4	9;77;78;79;95;96;97	1	0;0;0;0;0;0;0;0;0;0	0	
33	268488599	1	1000024096	100	4	201;100;102;103	1	0;0;0;0;0;0;0;0;0;0	0	
34	268461204	1	1000024096	100	5	0	1	0;0;0;0;0;0;0;0;0;0	0	
35	268461205	1	1000024096	100	6	0	1	0;0;0;0;0;0;0;0;0;0	0	
36	268461206	1	1000024096	100	7	0	1	0;0;0;0;0;0;0;0;0;0	0	
37	268460810	1	1000024096	100	8	0	1	0;0;0;0;0;0;0;0;0;0	0	
38	268461207	1	1000024096	100	9	0	1	0;0;0;0;0;0;0;0;0;0	0	
39	268463253	1	1000024096	200	1	1;11;23;24;75;76	1	0;0;0;0;0;0;0;0;0;0	0	
40	268463255	1	1000024096	200	1	2;14;29;30	1	0;0;0;0;0;0;0;0;0;0	0	
41	268463257	1	1000024096	200	1	4;20;41;42;82;83	1	0;0;0;0;0;0;0;0;0;0	0	
42	268463264	1	1000024096	200	1	3;17;18;35;36;38;37;84;85	1	0;0;0;0;0;0;0;0;0;0	0	
43	268463267	1	1000024096	200	1	6;54;57;55;56;58;59;88;89	1	0;0;0;0;0;0;0;0;0;0	0	
44	268463270	1	1000024096	200	1	5;49;50;51	1	0;0;0;0;0;0;0;0;0;0	0	
45	268463252	1	1000024096	200	1	7;62;67;63;64;68;69;90;91	1	0;0;0;0;0;0;0;0;0;0	0	
