ROWID	_UseCompound|BOOLEAN	_UseDesign|BOOLEAN	_sort|INTEGER
1073759013	false	false	0
1073759014	false	false	0
1073759015	false	false	0
1073759016	false	false	0
1073759017	false	false	0
1073759018	false	false	0
1073759019	false	false	0
1073759020	false	false	0
1073759021	false	false	0
1073759022	false	false	0
1073759023	false	false	0
1073759024	false	false	0
1073759025	false	false	0
1073759026	false	false	0
1073759027	false	false	0
1073759028	false	false	0
1073759029	false	false	0
1073759030	false	false	0
1073759031	false	false	0
1073759032	false	false	0
1073759033	false	false	0
1073761182	false	false	0
1073761183	false	false	0
1073761184	false	false	0
1073761185	false	false	0
1073761186	false	false	0
1073761187	false	false	0
1073761188	false	false	0
1073761189	false	false	0
1073761190	false	false	0
1073761191	false	false	0
1073761192	false	false	0
1073761193	false	false	0
1073761194	false	false	0
1073761195	false	false	0
1073761196	false	false	0
1073791265	false	false	0
1073791266	false	false	0
1073791267	false	false	0
1073791268	false	false	0
1073791269	false	false	0
1073791270	false	false	0
1073791271	false	false	0
1073791272	false	false	0
1073791273	false	false	0
1073791274	false	false	0
1073791275	false	false	0
1073791276	false	false	0
1073791277	false	false	0
1073791278	false	false	0
1073791279	false	false	0
1073791324	false	false	0
1073791325	false	false	0
1073812757	false	false	0
1073774518	false	false	0
1073774519	false	false	0
1073774520	false	false	0
1073774521	false	false	0
1073774522	false	false	0
1073774523	false	false	0
1073774524	false	false	0
1073774525	false	false	0
1073774526	false	false	0
1073774527	false	false	0
1073774528	false	false	0
1073774529	false	false	0
1073774530	false	false	0
1073774531	false	false	0
1073774532	false	false	0
1073774533	false	false	0
1073774534	false	false	0
1073774535	false	false	0
1073774536	false	false	0
1073774537	false	false	0
1073774538	false	false	0
1073774539	false	false	0
1073774540	false	false	0
1073774541	false	false	0
1073774542	false	false	0
1073774543	false	false	0
1073774544	false	false	0
1073774545	false	false	0
1073774546	false	false	0
1073774547	false	false	0
1073774548	false	false	0
1073774549	false	false	0
1073774550	false	false	0
1073797966	false	false	0
71000000	false	false	0
71000005	false	false	0
71000010	false	false	0
71000015	false	false	0
71000001	false	false	0
71000006	false	false	0
71000011	false	false	0
71000016	false	false	0
71000002	false	false	0
71000007	false	false	0
71000012	false	false	0
71000017	false	false	0
71000003	false	false	0
71000008	false	false	0
71000013	false	false	0
71000018	false	false	0
71000211	false	false	0
71000212	false	false	0
71000213	false	false	0
71000214	false	false	0
71000215	false	false	0
71000216	false	false	0
71000217	false	false	0
71000225	false	false	0
71000226	false	false	0
71000227	false	false	0
71000228	false	false	0
71000229	false	false	0
71000230	false	false	0
805306369	false	false	0
805306370	false	false	0
805306371	false	false	0
805306372	false	false	0
805306374	false	false	0
805306375	false	false	0
805306376	false	false	0
805306377	false	false	0
