ROWID	_Type|INTEGER	_Period|INTEGER	_ApplicableValue|INTEGER	_CanApplySealedItem|BOOLEAN	_Charge|INTEGER	_ElementalType|INTEGER
268445055	1	0	536821759	false	0	-1
268450076	1	0	536821759	false	0	-1
268445061	1	0	536821759	false	0	-1
268450077	1	0	536821759	false	0	-1
268445067	1	0	536821759	false	0	-1
268450078	1	0	536821759	false	0	-1
268445772	1	0	536821759	false	0	-1
268450079	1	0	536821759	false	0	-1
268446613	2	0	536821759	false	0	-1
268450080	2	0	536821759	false	0	-1
268445073	2	0	536821759	false	0	-1
268450081	2	0	536821759	false	0	-1
268445774	1	0	536821759	false	0	-1
268450082	1	0	536821759	false	0	-1
268446615	2	0	536821759	false	0	-1
268450083	2	0	536821759	false	0	-1
268445776	1	0	536821759	false	0	-1
268450084	1	0	536821759	false	0	-1
268446617	2	0	536821759	false	0	-1
268450085	2	0	536821759	false	0	-1
268445076	1	0	536821759	false	0	-1
268450086	1	0	536821759	false	0	-1
268445778	1	0	536821759	false	0	-1
268450087	1	0	536821759	false	0	-1
268446619	2	0	536821759	false	0	-1
268450088	2	0	536821759	false	0	-1
268445082	2	0	536821759	false	0	-1
268450089	2	0	536821759	false	0	-1
268445088	1	0	536821759	false	0	-1
268450090	1	0	536821759	false	0	-1
268445094	2	0	536821759	false	0	-1
268450091	2	0	536821759	false	0	-1
268445097	2	0	536821759	false	0	-1
268450092	2	0	536821759	false	0	-1
268445100	2	0	536821759	false	0	-1
268450093	2	0	536821759	false	0	-1
268445109	1	0	536821759	false	0	-1
268450094	1	0	536821759	false	0	-1
268445115	1	0	536821759	false	0	-1
268450095	1	0	536821759	false	0	-1
268445121	1	0	536821759	false	0	-1
268450096	1	0	536821759	false	0	-1
268445780	1	0	536821759	false	0	-1
268450097	1	0	536821759	false	0	-1
268446621	2	0	536821759	false	0	-1
268450098	2	0	536821759	false	0	-1
268445127	2	0	536821759	false	0	-1
268450099	2	0	536821759	false	0	-1
268445782	1	0	536821759	false	0	-1
268450100	1	0	536821759	false	0	-1
268446623	2	0	536821759	false	0	-1
268450101	2	0	536821759	false	0	-1
268445784	1	0	536821759	false	0	-1
268450102	1	0	536821759	false	0	-1
268446625	2	0	536821759	false	0	-1
268450103	2	0	536821759	false	0	-1
268445130	1	0	536821759	false	0	-1
268450104	1	0	536821759	false	0	-1
268445786	1	0	536821759	false	0	-1
268450105	1	0	536821759	false	0	-1
268446627	2	0	536821759	false	0	-1
268450106	2	0	536821759	false	0	-1
268445136	2	0	536821759	false	0	-1
268450107	2	0	536821759	false	0	-1
268445142	1	0	536821759	false	0	-1
268450108	1	0	536821759	false	0	-1
268445148	2	0	536821759	false	0	-1
268450109	2	0	536821759	false	0	-1
268445151	2	0	536821759	false	0	-1
268450110	2	0	536821759	false	0	-1
268445154	2	0	536821759	false	0	-1
268450111	2	0	536821759	false	0	-1
268445163	1	0	536821759	false	0	-1
268450112	1	0	536821759	false	0	-1
268445169	1	0	536821759	false	0	-1
268450113	1	0	536821759	false	0	-1
268445175	1	0	536821759	false	0	-1
268450114	1	0	536821759	false	0	-1
268445788	1	0	536821759	false	0	-1
268450115	1	0	536821759	false	0	-1
268446629	2	0	536821759	false	0	-1
268450116	2	0	536821759	false	0	-1
268445181	2	0	536821759	false	0	-1
268450117	2	0	536821759	false	0	-1
268445790	1	0	536821759	false	0	-1
268450118	1	0	536821759	false	0	-1
268446631	2	0	536821759	false	0	-1
268450119	2	0	536821759	false	0	-1
268445792	1	0	536821759	false	0	-1
268450120	1	0	536821759	false	0	-1
268446633	2	0	536821759	false	0	-1
268450121	2	0	536821759	false	0	-1
268445184	1	0	536821759	false	0	-1
268450122	1	0	536821759	false	0	-1
268445794	1	0	536821759	false	0	-1
268450123	1	0	536821759	false	0	-1
268446635	2	0	536821759	false	0	-1
268450124	2	0	536821759	false	0	-1
268445190	2	0	536821759	false	0	-1
268450125	2	0	536821759	false	0	-1
268445196	1	0	536821759	false	0	-1
268450126	1	0	536821759	false	0	-1
268445202	2	0	536821759	false	0	-1
268450127	2	0	536821759	false	0	-1
268445205	2	0	536821759	false	0	-1
268450128	2	0	536821759	false	0	-1
268445208	2	0	536821759	false	0	-1
268450129	2	0	536821759	false	0	-1
268445796	1	0	536821759	false	0	-1
268450130	1	0	536821759	false	0	-1
268445798	1	0	536821759	false	0	-1
268450131	1	0	536821759	false	0	-1
268445495	1	0	536821759	false	0	-1
268450132	1	0	536821759	false	0	-1
268445804	1	0	536821759	false	0	-1
268450133	1	0	536821759	false	0	-1
268446637	2	0	536821759	false	0	-1
268450134	2	0	536821759	false	0	-1
268445806	2	0	536821759	false	0	-1
268450135	2	0	536821759	false	0	-1
268445808	1	0	536821759	false	0	-1
268450136	1	0	536821759	false	0	-1
268446639	2	0	536821759	false	0	-1
268450137	2	0	536821759	false	0	-1
268445810	1	0	536821759	false	0	-1
268450138	1	0	536821759	false	0	-1
268446641	2	0	536821759	false	0	-1
268450139	2	0	536821759	false	0	-1
268445812	1	0	536821759	false	0	-1
268450140	1	0	536821759	false	0	-1
268445814	1	0	536821759	false	0	-1
268450141	1	0	536821759	false	0	-1
268446643	2	0	536821759	false	0	-1
268450142	2	0	536821759	false	0	-1
268445816	2	0	536821759	false	0	-1
268450143	2	0	536821759	false	0	-1
268445818	1	0	536821759	false	0	-1
268450144	1	0	536821759	false	0	-1
268445820	2	0	536821759	false	0	-1
268450145	2	0	536821759	false	0	-1
268445822	2	0	536821759	false	0	-1
268450146	2	0	536821759	false	0	-1
268445824	2	0	536821759	false	0	-1
268450147	2	0	536821759	false	0	-1
268452767	1	0	536821759	false	0	-1
268452768	1	0	536821759	false	0	-1
268452769	1	0	536821759	false	0	-1
268452770	1	0	536821759	false	0	-1
268452771	2	0	536821759	false	0	-1
268452772	2	0	536821759	false	0	-1
268452773	1	0	536821759	false	0	-1
268452774	2	0	536821759	false	0	-1
268452775	1	0	536821759	false	0	-1
268452776	2	0	536821759	false	0	-1
268452777	1	0	536821759	false	0	-1
268452778	1	0	536821759	false	0	-1
268452779	2	0	536821759	false	0	-1
268452780	2	0	536821759	false	0	-1
268452781	1	0	536821759	false	0	-1
268452782	2	0	536821759	false	0	-1
268452783	2	0	536821759	false	0	-1
268452784	2	0	536821759	false	0	-1
268445439	1	0	536821759	false	0	-1
268445879	1	0	536821759	false	0	-1
268445880	1	0	536821759	false	0	-1
268449766	1	0	536821759	false	0	-1
268445394	1	0	536821759	false	0	-1
268445881	1	0	536821759	false	0	-1
268445882	1	0	536821759	false	0	-1
268449968	1	0	536821759	false	0	-1
268449969	1	0	536821759	false	0	-1
268445395	2	0	536821759	false	0	-1
268445883	2	0	536821759	false	0	-1
268445884	2	0	536821759	false	0	-1
268445379	1	0	536821759	false	0	-1
268445498	1	0	536821759	false	0	-1
268445499	1	0	536821759	false	0	-1
268449970	1	0	536821759	false	0	-1
268449971	1	0	536821759	false	0	-1
268445396	2	0	536821759	false	0	-1
268445885	2	0	536821759	false	0	-1
268445886	2	0	536821759	false	0	-1
268445887	1	0	536821759	false	0	-1
268445889	1	0	536821759	false	0	-1
268445890	1	0	536821759	false	0	-1
268449972	1	0	536821759	false	0	-1
268449973	1	0	536821759	false	0	-1
268449974	1	0	536821759	false	0	-1
268446676	2	0	536821759	false	0	-1
268446677	2	0	536821759	false	0	-1
268446678	2	0	536821759	false	0	-1
268449770	2	0	536821759	false	0	-1
268445440	2	0	536821759	false	0	-1
268445891	2	0	536821759	false	0	-1
268445892	2	0	536821759	false	0	-1
268449771	2	0	536821759	false	0	-1
268445893	1	0	536821759	false	0	-1
268445894	1	0	536821759	false	0	-1
268445895	1	0	536821759	false	0	-1
268449975	1	0	536821759	false	0	-1
268449976	1	0	536821759	false	0	-1
268449977	1	0	536821759	false	0	-1
268446679	2	0	536821759	false	0	-1
268446680	2	0	536821759	false	0	-1
268446681	2	0	536821759	false	0	-1
268449773	2	0	536821759	false	0	-1
268445896	1	0	536821759	false	0	-1
268445897	1	0	536821759	false	0	-1
268445898	1	0	536821759	false	0	-1
268449978	1	0	536821759	false	0	-1
268449979	1	0	536821759	false	0	-1
268449980	1	0	536821759	false	0	-1
268446682	2	0	536821759	false	0	-1
268446683	2	0	536821759	false	0	-1
268446684	2	0	536821759	false	0	-1
268449775	2	0	536821759	false	0	-1
268445441	1	0	536821759	false	0	-1
268445899	1	0	536821759	false	0	-1
268445900	1	0	536821759	false	0	-1
268449776	1	0	536821759	false	0	-1
268445901	1	0	536821759	false	0	-1
268445902	1	0	536821759	false	0	-1
268445903	1	0	536821759	false	0	-1
268449981	1	0	536821759	false	0	-1
268449982	1	0	536821759	false	0	-1
268449983	1	0	536821759	false	0	-1
268446685	2	0	536821759	false	0	-1
268446686	2	0	536821759	false	0	-1
268446687	2	0	536821759	false	0	-1
268449778	2	0	536821759	false	0	-1
268445442	2	0	536821759	false	0	-1
268445904	2	0	536821759	false	0	-1
268445905	2	0	536821759	false	0	-1
268449779	2	0	536821759	false	0	-1
268445443	1	0	536821759	false	0	-1
268445906	1	0	536821759	false	0	-1
268445907	1	0	536821759	false	0	-1
268449780	1	0	536821759	false	0	-1
268445445	2	0	536821759	false	0	-1
268445908	2	0	536821759	false	0	-1
268445909	2	0	536821759	false	0	-1
268449781	2	0	536821759	false	0	-1
268445446	2	0	536821759	false	0	-1
268445910	2	0	536821759	false	0	-1
268445911	2	0	536821759	false	0	-1
268449985	2	0	536821759	false	0	-1
268449986	2	0	536821759	false	0	-1
268445447	2	0	536821759	false	0	-1
268445912	2	0	536821759	false	0	-1
268445913	2	0	536821759	false	0	-1
268449987	2	0	536821759	false	0	-1
268449988	2	0	536821759	false	0	-1
268445448	1	0	536821759	false	0	-1
268445914	1	0	536821759	false	0	-1
268445915	1	0	536821759	false	0	-1
268449784	1	0	536821759	false	0	-1
268445397	1	0	536821759	false	0	-1
268445916	1	0	536821759	false	0	-1
268445917	1	0	536821759	false	0	-1
268449989	1	0	536821759	false	0	-1
268449990	1	0	536821759	false	0	-1
268445398	2	0	536821759	false	0	-1
268445918	2	0	536821759	false	0	-1
268445919	2	0	536821759	false	0	-1
268445380	1	0	536821759	false	0	-1
268445500	1	0	536821759	false	0	-1
268445501	1	0	536821759	false	0	-1
268449991	1	0	536821759	false	0	-1
268449992	1	0	536821759	false	0	-1
268445399	2	0	536821759	false	0	-1
268445920	2	0	536821759	false	0	-1
268445921	2	0	536821759	false	0	-1
268445922	1	0	536821759	false	0	-1
268445923	1	0	536821759	false	0	-1
268445924	1	0	536821759	false	0	-1
268449993	1	0	536821759	false	0	-1
268449994	1	0	536821759	false	0	-1
268449995	1	0	536821759	false	0	-1
268446688	2	0	536821759	false	0	-1
268446689	2	0	536821759	false	0	-1
268446690	2	0	536821759	false	0	-1
268449788	2	0	536821759	false	0	-1
268445449	2	0	536821759	false	0	-1
268445925	2	0	536821759	false	0	-1
268445926	2	0	536821759	false	0	-1
268449789	2	0	536821759	false	0	-1
268445927	1	0	536821759	false	0	-1
268445928	1	0	536821759	false	0	-1
268445929	1	0	536821759	false	0	-1
268449996	1	0	536821759	false	0	-1
268449997	1	0	536821759	false	0	-1
268449998	1	0	536821759	false	0	-1
268446691	2	0	536821759	false	0	-1
268446692	2	0	536821759	false	0	-1
268446693	2	0	536821759	false	0	-1
268449791	2	0	536821759	false	0	-1
268445930	1	0	536821759	false	0	-1
268445931	1	0	536821759	false	0	-1
268445932	1	0	536821759	false	0	-1
268449999	1	0	536821759	false	0	-1
268450000	1	0	536821759	false	0	-1
268450001	1	0	536821759	false	0	-1
268446694	2	0	536821759	false	0	-1
268446695	2	0	536821759	false	0	-1
268446696	2	0	536821759	false	0	-1
268449794	2	0	536821759	false	0	-1
268445450	1	0	536821759	false	0	-1
268445933	1	0	536821759	false	0	-1
268445934	1	0	536821759	false	0	-1
268449795	1	0	536821759	false	0	-1
268445935	1	0	536821759	false	0	-1
268445936	1	0	536821759	false	0	-1
268445937	1	0	536821759	false	0	-1
268450002	1	0	536821759	false	0	-1
268450003	1	0	536821759	false	0	-1
268450004	1	0	536821759	false	0	-1
268446697	2	0	536821759	false	0	-1
268446698	2	0	536821759	false	0	-1
268446699	2	0	536821759	false	0	-1
268449797	2	0	536821759	false	0	-1
268445451	2	0	536821759	false	0	-1
268445938	2	0	536821759	false	0	-1
268445939	2	0	536821759	false	0	-1
268449798	2	0	536821759	false	0	-1
268445452	1	0	536821759	false	0	-1
268445940	1	0	536821759	false	0	-1
268445941	1	0	536821759	false	0	-1
268449799	1	0	536821759	false	0	-1
268445454	2	0	536821759	false	0	-1
268445942	2	0	536821759	false	0	-1
268445943	2	0	536821759	false	0	-1
268449800	2	0	536821759	false	0	-1
268445455	2	0	536821759	false	0	-1
268445944	2	0	536821759	false	0	-1
268445945	2	0	536821759	false	0	-1
268450005	2	0	536821759	false	0	-1
268450006	2	0	536821759	false	0	-1
268445456	2	0	536821759	false	0	-1
268445946	2	0	536821759	false	0	-1
268445947	2	0	536821759	false	0	-1
268450007	2	0	536821759	false	0	-1
268450008	2	0	536821759	false	0	-1
268445457	1	0	536821759	false	0	-1
268445948	1	0	536821759	false	0	-1
268445949	1	0	536821759	false	0	-1
268449803	1	0	536821759	false	0	-1
268445400	1	0	536821759	false	0	-1
268445950	1	0	536821759	false	0	-1
268445951	1	0	536821759	false	0	-1
268450009	1	0	536821759	false	0	-1
268450010	1	0	536821759	false	0	-1
268445401	2	0	536821759	false	0	-1
268445953	2	0	536821759	false	0	-1
268445954	2	0	536821759	false	0	-1
268445381	1	0	536821759	false	0	-1
268445502	1	0	536821759	false	0	-1
268445503	1	0	536821759	false	0	-1
268450011	1	0	536821759	false	0	-1
268450012	1	0	536821759	false	0	-1
268445402	2	0	536821759	false	0	-1
268445955	2	0	536821759	false	0	-1
268445956	2	0	536821759	false	0	-1
268445957	1	0	536821759	false	0	-1
268445958	1	0	536821759	false	0	-1
268445959	1	0	536821759	false	0	-1
268450013	1	0	536821759	false	0	-1
268450014	1	0	536821759	false	0	-1
268450015	1	0	536821759	false	0	-1
268446700	2	0	536821759	false	0	-1
268446701	2	0	536821759	false	0	-1
268446702	2	0	536821759	false	0	-1
268449807	2	0	536821759	false	0	-1
268445458	2	0	536821759	false	0	-1
268445960	2	0	536821759	false	0	-1
268445961	2	0	536821759	false	0	-1
268449808	2	0	536821759	false	0	-1
268445962	1	0	536821759	false	0	-1
268445963	1	0	536821759	false	0	-1
268445964	1	0	536821759	false	0	-1
268450016	1	0	536821759	false	0	-1
268450017	1	0	536821759	false	0	-1
268450018	1	0	536821759	false	0	-1
268446703	2	0	536821759	false	0	-1
268446704	2	0	536821759	false	0	-1
