ROWID	_NeedSetNum1|INTEGER	_State1|INTEGER	_State1Value|TEXT	_NeedSetNum2|INTEGER	_State2|INTEGER	_State2Value|TEXT	_NeedSetNum3|INTEGER	_State3|INTEGER	_State3Value|TEXT	_NeedSetNum4|INTEGER	_State4|INTEGER	_State4Value|TEXT	_NeedSetNum5|INTEGER	_State5|INTEGER	_State5Value|TEXT	_NeedSetNum6|INTEGER	_State6|INTEGER	_State6Value|TEXT	_NeedSetNum7|INTEGER	_State7|INTEGER	_State7Value|TEXT	_NeedSetNum8|INTEGER	_State8|INTEGER	_State8Value|TEXT	_NeedSetNum9|INTEGER	_State9|INTEGER	_State9Value|TEXT	_NeedSetNum10|INTEGER	_State10|INTEGER	_State10Value|TEXT	_NeedSetNum11|INTEGER	_State11|INTEGER	_State11Value|TEXT	_NeedSetNum12|INTEGER	_State12|INTEGER	_State12Value|TEXT	_NeedSkinSetNum|INTEGER	_SoundChangeWord|TEXT	_SkillID|INTEGER	_SkillLevel|INTEGER	_NeedCSSetNum|INTEGER	_TransformPartsNum|INTEGER	_TransformItemID|INTEGER
17301760	2	29	200	3	0	300	4	29	300	5	8	700	6	9	300	0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0	-1		0		0	0	0	0	0
17302016	3	75	0.01001	3	76	0.01001	5	54	0.01001	5	55	0.01001	5	56	0.01001	5	57	0.01001	5	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
17302272	3	75	0.02001	3	76	0.02001	5	54	0.02001	5	55	0.02001	5	56	0.02001	5	57	0.02001	6	27	15	0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
17302528	3	75	0.03001	3	76	0.03001	3	64	0.01001	3	60	0.01001	5	54	0.05001	5	55	0.05001	5	56	0.05001	5	57	0.05001	5	75	0.03001	5	76	0.03001	5	62	0.02001	6	27	30	0		0	0	0	0	0
17302784	3	75	0.02001	3	76	0.02001	5	54	0.02001	5	55	0.02001	5	56	0.02001	5	57	0.02001	5	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
17303040	2	75	0.02001	2	76	0.02001	2	54	0.02001	2	55	0.02001	2	56	0.02001	2	57	0.02001	2	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
17303296	2	75	0.02001	2	76	0.02001	2	62	0.03501	2	64	0.03501	2	61	0.03501	0	0		0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
17303552	3	75	0.02001	3	76	0.02001	5	54	0.02001	5	55	0.02001	5	56	0.02001	5	57	0.02001	7	75	0.02001	7	76	0.02001	7	50	0.01001	7	51	0.01001	7	52	0.01001	7	53	0.01001	0		0	0	0	0	0
17303808	3	75	0.02001	3	76	0.02001	5	75	0.02001	5	76	0.02001	5	77	0.02001	7	75	0.02001	7	76	0.02001	7	50	0.02001	7	77	0.02001	0	0		0	0		0	0		0		0	0	0	0	0
17304064	3	75	0.02001	3	76	0.02001	5	75	0.02001	5	76	0.02001	5	77	0.02001	7	75	0.02001	7	76	0.02001	7	51	0.02001	7	77	0.02001	0	0		0	0		0	0		0		0	0	0	0	0
