ROWID	_MapSubType|INTEGER	_Difficulty|INTEGER	_ExDifficultyType|INTEGER	_DeadExperienceWeight|DOUBLE	_CompleteExperienceWeight|DOUBLE	_DeadDurabilityWeight|DOUBLE	_HPWeight|DOUBLE	_AttackPMinWeight|DOUBLE	_AttackPMaxWeight|DOUBLE	_AttackMMinWeight|DOUBLE	_AttackMMaxWeight|DOUBLE	_DefensePWeight|DOUBLE	_DefenseMWeight|DOUBLE	_StiffWeight|DOUBLE	_CriticalWeight|DOUBLE	_StunWeight|DOUBLE	_StiffResistanceWeight|DOUBLE	_CriticalResistanceWeight|DOUBLE	_StunResistanceWeight|DOUBLE	_SuperAmmorWeight|DOUBLE	_Element_Str_Weight|DOUBLE	_Fire_Def_Weight|DOUBLE	_Ice_Def_Weight|DOUBLE	_Light_Def_Weight|DOUBLE	_Dark_Def_Weight|DOUBLE	_MoveSpeedWeight|DOUBLE	_DownDelayWeight|DOUBLE	_DurabilityWeight|DOUBLE	_GoldDropWeight|DOUBLE	_HeroExpWeight|DOUBLE	_PenaltyOption1|INTEGER	_PenaltyOption1Param|TEXT	_PenaltyOption2|INTEGER	_PenaltyOption2Param|TEXT	_PenaltyOption3|INTEGER	_PenaltyOption3Param|TEXT	_PenaltyOption4|INTEGER	_PenaltyOption4Param|TEXT	_PenaltyOption5|INTEGER	_PenaltyOption5Param|TEXT	_PenaltyOption6|INTEGER	_PenaltyOption6Param|TEXT	_PenaltyOption7|INTEGER	_PenaltyOption7Param|TEXT	_PenaltyOption8|INTEGER	_PenaltyOption8Param|TEXT	_PenaltyOption9|INTEGER	_PenaltyOption9Param|TEXT	_PenaltyOption10|INTEGER	_PenaltyOption10Param|TEXT
1	1	0	0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
2	1	1	0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
3	1	2	0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
4	1	3	0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
5	1	4	0	0.0	1.0	1.0	0.432	0.11	0.11	0.11	0.11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
6	1	4	1	0.0	1.0619	1.0	0.649	0.329	0.329	0.329	0.329	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	2.9855	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
7	1	4	2	0.0	1.1276317	1.0	0.865	0.548	0.548	0.548	0.548	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	3.3	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
8	1	4	3	0.0	1.197432	1.0	1.081	0.766	0.766	0.766	0.766	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	3.615	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
9	1	4	4	0.0	1.271553	1.0	1.297	0.985	0.985	0.985	0.985	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	3.9295	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
10	1	4	5	0.0	1.3502622	1.0	2.2	1.467	1.467	1.467	1.467	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	4.2444444	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
