ROWID	_Envi1_1|INTEGER	_Envi1_2|INTEGER	_Envi1_3|INTEGER	_Envi1_4|INTEGER	_Envi1_5|INTEGER	_Envi2_1|INTEGER	_Envi2_2|INTEGER	_Envi2_3|INTEGER	_Envi2_4|INTEGER	_Envi2_5|INTEGER	_Envi3_1|INTEGER	_Envi3_2|INTEGER	_Envi3_3|INTEGER	_Envi3_4|INTEGER	_Envi3_5|INTEGER	_Envi4_1|INTEGER	_Envi4_2|INTEGER	_Envi4_3|INTEGER	_Envi4_4|INTEGER	_Envi4_5|INTEGER	_Envi5_1|INTEGER	_Envi5_2|INTEGER	_Envi5_3|INTEGER	_Envi5_4|INTEGER	_Envi5_5|INTEGER	_Envi6_1|INTEGER	_Envi6_2|INTEGER	_Envi6_3|INTEGER	_Envi6_4|INTEGER	_Envi6_5|INTEGER	_Envi7_1|INTEGER	_Envi7_2|INTEGER	_Envi7_3|INTEGER	_Envi7_4|INTEGER	_Envi7_5|INTEGER	_Envi8_1|INTEGER	_Envi8_2|INTEGER	_Envi8_3|INTEGER	_Envi8_4|INTEGER	_Envi8_5|INTEGER	_Envi9_1|INTEGER	_Envi9_2|INTEGER	_Envi9_3|INTEGER	_Envi9_4|INTEGER	_Envi9_5|INTEGER	_Envi10_1|INTEGER	_Envi10_2|INTEGER	_Envi10_3|INTEGER	_Envi10_4|INTEGER	_Envi10_5|INTEGER	_Envi11_1|INTEGER	_Envi11_2|INTEGER	_Envi11_3|INTEGER	_Envi11_4|INTEGER	_Envi11_5|INTEGER	_Envi12_1|INTEGER	_Envi12_2|INTEGER	_Envi12_3|INTEGER	_Envi12_4|INTEGER	_Envi12_5|INTEGER	_Envi1_Prob|FLOAT	_Envi2_Prob|FLOAT	_Envi3_Prob|FLOAT	_Envi4_Prob|FLOAT	_Envi5_Prob|FLOAT	_Envi6_Prob|FLOAT	_Envi7_Prob|FLOAT	_Envi8_Prob|FLOAT	_Envi9_Prob|FLOAT	_Envi10_Prob|FLOAT	_Envi11_Prob|FLOAT	_Envi12_Prob|FLOAT	_EnviAbyss1|INTEGER	_EnviAbyss2|INTEGER	_EnviAbyss3|INTEGER	_EnviAbyss1_Prob|FLOAT	_EnviAbyss2_Prob|FLOAT	_EnviAbyss3_Prob|FLOAT
1	15324	0	0	0	0	15324	0	0	0	0	15324	0	0	0	0	15324	0	0	0	0	15324	0	0	0	0	15324	0	0	0	0	15324	0	0	0	0	15324	0	0	0	0	15324	0	0	0	0	15324	0	0	0	0	15324	0	0	0	0	15324	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	15324	15324	15324	0.333334	0.333333	0.333333
2	2055	0	0	0	0	2066	0	0	0	0	2062	0	0	0	0	2051	0	0	0	0	1923	0	0	0	0	1941	0	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2025	0	0	0	0	2026	0	0	0	0	2025	0	0	0	0	2026	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	2055	2055	2054	0.333334	0.333333	0.333333
3	2056	0	0	0	0	2068	0	0	0	0	2062	0	0	0	0	2051	0	0	0	0	1923	0	0	0	0	1941	0	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2025	0	0	0	0	2026	0	0	0	0	2025	0	0	0	0	2026	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	2056	2056	2058	0.333334	0.333333	0.333333
4	2055	0	0	0	0	2068	0	0	0	0	2062	0	0	0	0	2051	0	0	0	0	1923	0	0	0	0	1941	0	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2025	0	0	0	0	2026	0	0	0	0	2025	0	0	0	0	2026	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	2055	2055	2056	0.333334	0.333333	0.333333
5	69374	0	0	0	0	69374	0	0	0	0	69374	0	0	0	0	69374	0	0	0	0	69374	0	0	0	0	69374	0	0	0	0	69374	0	0	0	0	69374	0	0	0	0	69374	0	0	0	0	69374	0	0	0	0	69374	0	0	0	0	69374	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	69374	69374	69374	0.333334	0.333333	0.333333
6	2000	0	0	0	0	2004	0	0	0	0	2003	0	0	0	0	1999	0	0	0	0	2001	0	0	0	0	2005	0	0	0	0	1998	0	0	0	0	1997	0	0	0	0	1995	0	0	0	0	2047	0	0	0	0	2046	0	0	0	0	2047	0	0	0	0	1.0	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	2000	2000	2000	0.333334	0.333333	0.333333
7	2000	0	0	0	0	2004	0	0	0	0	2003	0	0	0	0	1999	0	0	0	0	2001	0	0	0	0	2005	0	0	0	0	1998	0	0	0	0	1997	0	0	0	0	1995	0	0	0	0	2047	0	0	0	0	2046	0	0	0	0	2047	0	0	0	0	1.0	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	2000	2000	2000	0.333334	0.333333	0.333333
8	69314	0	0	0	0	69314	0	0	0	0	69314	0	0	0	0	69314	0	0	0	0	69314	0	0	0	0	69314	0	0	0	0	69314	0	0	0	0	69314	0	0	0	0	69314	0	0	0	0	69314	0	0	0	0	69314	0	0	0	0	69314	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	69314	69314	69314	0.333334	0.333333	0.333333
9	1935	0	0	0	0	1941	0	0	0	0	1934	0	0	0	0	1961	0	0	0	0	1924	0	0	0	0	1941	0	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2024	0	0	0	0	2026	0	0	0	0	2030	0	0	0	0	2026	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1935	1935	1935	0.333334	0.333333	0.333333
10	2056	0	0	0	0	2066	0	0	0	0	2062	0	0	0	0	2051	0	0	0	0	1932	0	0	0	0	1937	0	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2025	0	0	0	0	2026	0	0	0	0	2030	0	0	0	0	2026	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	2056	2056	2056	0.333334	0.333333	0.333333
11	69313	0	0	0	0	69313	0	0	0	0	69313	0	0	0	0	69313	0	0	0	0	69313	0	0	0	0	69313	0	0	0	0	69313	0	0	0	0	69313	0	0	0	0	69313	0	0	0	0	69313	0	0	0	0	69313	0	0	0	0	69313	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	69313	69313	69313	0.333334	0.333333	0.333333
12	2059	0	0	0	0	2059	0	0	0	0	2059	0	0	0	0	2059	0	0	0	0	2059	0	0	0	0	2059	0	0	0	0	2059	0	0	0	0	2059	0	0	0	0	2059	0	0	0	0	2059	0	0	0	0	2059	0	0	0	0	2059	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2055	2056	2057	0.333334	0.333333	0.333333
13	2060	0	0	0	0	2060	0	0	0	0	2060	0	0	0	0	2060	0	0	0	0	2060	0	0	0	0	2060	0	0	0	0	2060	0	0	0	0	2060	0	0	0	0	2060	0	0	0	0	2060	0	0	0	0	2060	0	0	0	0	2060	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2055	2056	2057	0.333334	0.333333	0.333333
14	2017	0	0	0	0	2017	0	0	0	0	2017	0	0	0	0	2017	0	0	0	0	2017	0	0	0	0	2017	0	0	0	0	2017	0	0	0	0	2017	0	0	0	0	2017	0	0	0	0	2017	0	0	0	0	2017	0	0	0	0	2017	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	2017	2017	2017	0.333334	0.333333	0.333333
15	14080	0	0	0	0	14080	0	0	0	0	14080	0	0	0	0	14080	0	0	0	0	14080	0	0	0	0	14080	0	0	0	0	14080	0	0	0	0	14080	0	0	0	0	14080	0	0	0	0	14080	0	0	0	0	14080	0	0	0	0	14080	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	14080	14080	14080	0.333334	0.333333	0.333333
16	2055	0	0	0	0	2065	0	0	0	0	2062	0	0	0	0	2051	0	0	0	0	1923	0	0	0	0	1937	0	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2024	0	0	0	0	2026	0	0	0	0	1991	0	0	0	0	1992	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2055	2056	2057	0.333334	0.333333	0.333333
17	2023	0	0	0	0	2023	0	0	0	0	2023	0	0	0	0	2023	0	0	0	0	2023	0	0	0	0	2023	0	0	0	0	2023	0	0	0	0	2023	0	0	0	0	2023	0	0	0	0	2023	0	0	0	0	2023	0	0	0	0	2023	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	2023	0	0	0.333334	0.333333	0.333333
18	2055	0	0	0	0	2065	0	0	0	0	2062	0	0	0	0	2051	0	0	0	0	1923	0	0	0	0	1937	0	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2024	0	0	0	0	2026	0	0	0	0	1991	0	0	0	0	1992	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2055	2056	2057	0.333334	0.333333	0.333333
19	2055	0	0	0	0	2065	0	0	0	0	2062	0	0	0	0	2051	0	0	0	0	1923	0	0	0	0	1937	0	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2024	0	0	0	0	2026	0	0	0	0	1991	0	0	0	0	1992	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2055	2056	2057	0.333334	0.333333	0.333333
20	2055	0	0	0	0	2065	0	0	0	0	2062	0	0	0	0	2051	0	0	0	0	1923	0	0	0	0	1937	0	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2024	0	0	0	0	2026	0	0	0	0	1991	0	0	0	0	1992	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2055	2056	2057	0.333334	0.333333	0.333333
21	2035	0	0	0	0	2035	0	0	0	0	2035	0	0	0	0	2035	0	0	0	0	2035	0	0	0	0	2035	0	0	0	0	2035	0	0	0	0	2035	0	0	0	0	2035	0	0	0	0	2035	0	0	0	0	2035	0	0	0	0	2035	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2055	2055	2054	0.333334	0.333333	0.333333
