ROWID	_EnchantID|INTEGER	_EnchantLevel|INTEGER	_EnchantRatio|FLOAT	_BreakRatio|FLOAT	_MinDown|INTEGER	_MaxDown|INTEGER	_NeedItemID1|INTEGER	_NeedItemCount1|INTEGER	_NeedItemID2|INTEGER	_NeedItemCount2|INTEGER	_NeedItemID3|INTEGER	_NeedItemCount3|INTEGER	_NeedItemID4|INTEGER	_NeedItemCount4|INTEGER	_NeedItemID5|INTEGER	_NeedItemCount5|INTEGER	_NeedCoin|INTEGER	_State1|INTEGER	_State1Value|TEXT	_State2|INTEGER	_State2Value|TEXT	_State3|INTEGER	_State3Value|TEXT	_State4|INTEGER	_State4Value|TEXT	_State5|INTEGER	_State5Value|TEXT	_State6|INTEGER	_State6Value|TEXT	_State7|INTEGER	_State7Value|TEXT	_State8|INTEGER	_State8Value|TEXT	_State9|INTEGER	_State9Value|TEXT	_State10|INTEGER	_State10Value|TEXT	_FailResultDropItemTableID|INTEGER	_PotentialID|INTEGER	_PotentialRatio|FLOAT	_ActionChangeValue|INTEGER	_ProtectItemCount|INTEGER	_ShieldItemCount|INTEGER	_BreakProtectItemCount|INTEGER	_DisjointDrop|INTEGER	_RandFunction|INTEGER	_NeedPoint|INTEGER	_NeedPointCount|INTEGER	_GearScore|INTEGER	_ProtectType|INTEGER	_Msg|BOOLEAN	_Skill_ApplyType|INTEGER	_SkillID|INTEGER	_SkillLevel|INTEGER
54697	847258166	1	1.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	5	5	7	6	4	7	6	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	1	0.005	1	0	0	0	0	0	0	0	0	0	false	0	0	0
54698	847258166	2	1.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	11	5	15	6	9	7	12	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	1	0.005	1	0	0	0	0	0	0	0	0	0	false	0	0	0
54699	847258166	3	1.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	16	5	22	6	14	7	19	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	1	0.005	1	0	0	0	0	0	0	0	0	0	false	0	0	0
54700	847258166	4	0.8	0.0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	22	5	30	6	19	7	25	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	1	0.005	1	0	0	0	0	0	0	0	0	0	false	0	0	0
54701	847258166	5	0.6	0.0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	27	5	37	6	23	7	32	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	1	0.005	1	0	0	0	0	0	0	0	0	0	false	0	0	0
54702	847258166	6	0.5	0.0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	34	5	46	6	29	7	39	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	1	0.005	1	0	0	0	0	0	0	0	0	0	false	0	0	0
54703	847258166	7	0.45	0.0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	40	5	55	6	34	7	47	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	1	0.005	1	1	0	0	0	0	0	0	0	0	false	0	0	0
54704	847258166	8	0.4	0.0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	48	5	65	6	41	7	55	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	1	0.005	1	1	0	0	0	0	0	0	0	0	false	0	0	0
54705	847258166	9	0.35	0.0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	56	5	76	6	48	7	65	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	1	0.005	1	1	0	0	0	0	0	0	0	0	false	0	0	0
54706	847258166	10	0.3	0.0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	65	5	88	6	56	7	75	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	1	0.005	1	1	0	0	0	0	0	0	0	0	false	0	0	0
