ROWID	_SN|INTEGER	_Category|INTEGER	_SubCategory|INTEGER	_NameID|INTEGER	_DescriptionID|INTEGER	_ItemID01|INTEGER	_ItemID02|INTEGER	_ItemID03|INTEGER	_ItemID04|INTEGER	_ItemID05|INTEGER	_LinkSN01|INTEGER	_LinkSN02|INTEGER	_LinkSN03|INTEGER	_LinkSN04|INTEGER	_LinkSN05|INTEGER	_Period|INTEGER	_VIPSell|BOOLEAN	_VIPLevel|INTEGER	_Pay|BOOLEAN	_PaySale|INTEGER	_Price|INTEGER	_Count|INTEGER	_Priority|INTEGER	_OnSale|BOOLEAN	_State|INTEGER	_Limit|BOOLEAN	_ReserveGive|BOOLEAN	_Reserve|INTEGER	_validity|TEXT	_ReserveAble|BOOLEAN	_PresentAble|BOOLEAN	_ItemSort|INTEGER	_PriceFix|INTEGER	_CartAble|BOOLEAN	_KeyLinkSN|INTEGER	_OnSaleREAL|BOOLEAN	_SNDACash|BOOLEAN	_3rdCash|BOOLEAN	_VIPPoint|INTEGER	_SNJPN|TEXT	_SyncDate|TEXT	_OverlapBuy|INTEGER	_NoRefund|BOOLEAN	_CreditAble|BOOLEAN	_CreditAbleLV|INTEGER	_UseCoupon|BOOLEAN	_ShowBanner|INTEGER	_CashAble|BOOLEAN	_SeedAble|BOOLEAN	_Seed|INTEGER	_SeedGive|BOOLEAN	_StateDuplicate|TEXT	_IsHiddenCashShop|BOOLEAN	_PeriodType|INTEGER	_buylevel|INTEGER	_DolisPackageAble|BOOLEAN	_TooltipCharmNum|TEXT
1090000001	1090000001	0	0	1000039689	1000039918	536871136	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000002	1090000002	0	0	1000039690	1000039918	536871137	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000003	1090000003	0	0	1000039691	1000039918	536871138	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000004	1090000004	0	0	1000039692	1000039918	536871139	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000005	1090000005	0	0	1000039693	1000039918	536871140	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000006	1090000006	0	0	1000039694	1000039918	536871141	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000007	1090000007	0	0	1000039695	1000039918	536871142	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000008	1090000008	0	0	1000039696	1000039918	536871143	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000009	1090000009	0	0	1000039697	1000039918	536871144	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000010	1090000010	0	0	1000039698	1000039918	536871145	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000011	1090000011	0	0	1000039699	1000039918	536871146	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000012	1090000012	0	0	1000039700	1000039918	536871147	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000013	1090000013	0	0	1000039701	1000039918	536871148	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000014	1090000014	0	0	1000039702	1000039918	536871149	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000015	1090000015	0	0	1000039703	1000039918	536871150	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000016	1090000016	0	0	1000039704	1000039918	536871151	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000017	1090000017	0	0	1000039705	1000039918	536871152	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000018	1090000018	0	0	1000039706	1000039918	536871153	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000019	1090000019	0	0	1000039707	1000039918	536871154	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000020	1090000020	0	0	1000039708	1000039918	536871155	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000021	1090000021	0	0	1000039709	1000039918	536871156	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000022	1090000022	0	0	1000039710	1000039918	536871157	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000023	1090000023	0	0	1000039711	1000039918	536871158	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000024	1090000024	0	0	1000039712	1000039918	536871159	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000025	1090000025	0	0	1000039713	1000039918	536871160	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000026	1090000026	0	0	1000039714	1000039918	536871161	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000027	1090000027	0	0	1000039715	1000039918	536871162	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000028	1090000028	0	0	1000039716	1000039918	536871163	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
1090000029	1090000029	0	0	1000039717	1000039918	536871164	0	0	0	0	0	0	0	0	0	30	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0		2011-12-09	0	false	false	0	false	0	true	false	0	false		false	3	0	false	
