ROWID	_Alv|INTEGER	_MapBtn|TEXT	_RoadImg|TEXT	_BridgeImg|TEXT	_FogImg|TEXT	_Elv|INTEGER
1	0	ID_BUTTON_10	ID_STATIC3			0
2	0	ID_BUTTON_09				255
3	0	ID_BUTTON_08				0
4	9	ID_BUTTON_07				9
5	0	ID_BUTTON_04				0
6	0	ID_BUTTON_05				255
7	0	ID_BUTTON_06				0
8	9	ID_BUTTON_11	ID_STATIC4	ID_STATIC2	ID_STATIC9	9
9	9	ID_BUTTON_12				9
10	9	ID_BUTTON_13				10
11	24	ID_BUTTON_14	ID_STATIC1			24
12	24	ID_BUTTON_15				24
13	24	ID_BUTTON_16				26
14	40	ID_BUTTON_18	ID_STATIC5		ID_STATIC11	40
15	40	ID_BUTTON_17				40
16	0					0
17	255	ID_BUTTON_26	ID_STATIC6		ID_STATIC12	255
18	255	ID_BUTTON_25				255
19	255	ID_BUTTON_24				255
20	255	ID_BUTTON_27				255
21	255	ID_BUTTON_22	ID_STATIC7		ID_STATIC13	255
22	255	ID_BUTTON_21				255
23	255	ID_BUTTON_23				255
24	255	ID_BUTTON_20				255
25	255	ID_BUTTON_03	ID_STATIC8	ID_STATIC0	ID_STATIC14	255
26	255	ID_BUTTON_02				255
27	255	ID_BUTTON_01				255
28	255	ID_BUTTON_00				255
29	255				ID_STATIC15	255
30	255				ID_STATIC10	255
31	0					0
32	0					0
33	0					0
34	60	ID_BUTTON_19				60
35	0					0
36	0					0
37	0					0
38	0					0
39	0					0
40	0					0
41	0					0
42	0					0
43	0					0
44	0					0
45	0					0
46	0					0
47	0					0
48	0					0
49	0					0
50	0					0
