ROWID	_MailType|INTEGER	_MailSender|INTEGER	_MailTitle|INTEGER	_MailText|INTEGER	_MailPresentItem1|INTEGER	_Count1|INTEGER	_MailPresentItem2|INTEGER	_Count2|INTEGER	_MailPresentItem3|INTEGER	_Count3|INTEGER	_MailPresentItem4|INTEGER	_Count4|INTEGER	_MailPresentItem5|INTEGER	_Count5|INTEGER	_MailPresentMoney|INTEGER	_IsCash|BOOLEAN	_KeepBoxReceive|INTEGER	_KeepBoxType|INTEGER	_KeepBoxLevelMin|INTEGER	_KeepBoxLevelMax|INTEGER	_KeepBoxClass|INTEGER	_MailTab|INTEGER
310002	5	1000009487	1000009503	1000009504	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310003	5	1000009487	1000009503	1000009505	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310004	5	1000009487	1000009503	1000009506	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310005	5	1000009487	1000009503	1000009507	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310006	9	1000015061	1000030629	1000055944	352322560	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310007	9	1000015061	1000030629	1000055944	352322560	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310008	9	1000015061	1000030629	1000055944	352322560	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310009	9	1000015061	1000030629	1000055944	352322560	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310010	9	1000015061	1000030630	1000055944	352322560	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310011	9	1000015061	1000030630	1000055944	352322560	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310012	9	1000015061	1000030630	1000055944	352322560	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310013	9	1000015061	1000030630	1000055944	352322560	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310014	9	1000015061	1000030631	1000055945	352322560	3	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310015	9	1000015061	1000030631	1000055945	352322560	3	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310016	9	1000015061	1000030631	1000055945	352322560	3	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310017	9	1000015061	1000030631	1000055945	352322560	3	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310018	9	1000015061	1000030631	1000055946	352322560	5	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310019	9	1000015061	1000030631	1000055946	352322560	5	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310020	9	1000015061	1000030631	1000055946	352322560	5	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310021	9	1000015061	1000030631	1000055946	352322560	5	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310022	9	1000015061	1000030631	1000055946	352322560	10	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310023	9	1000015061	1000030631	1000055946	352322560	10	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310024	9	1000015061	1000030631	1000055946	352322560	10	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310025	9	1000015061	1000030631	1000055946	352322560	10	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310026	9	1000015061	1000030634	1000055947	352322560	10	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310027	9	1000015061	1000030634	1000055947	352322560	10	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310028	9	1000015061	1000030634	1000055947	352322560	10	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310029	9	1000015061	1000030634	1000055947	352322560	10	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310030	9	1000015061	1000030635	1000030640	352322560	5	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310031	9	1000015061	1000030635	1000030640	352322560	5	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310032	9	1000015061	1000030635	1000030640	352322560	5	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310033	9	1000015061	1000030635	1000030640	352322560	5	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310034	3	8813	1000031725	1000031710	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310035	3	8813	1000031725	1000031711	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310036	3	8813	1000031725	1000031712	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310037	3	8813	1000031725	1000031713	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310038	3	8813	1000031725	1000031714	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310039	3	8813	1000031725	1000031715	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310040	3	8813	1000031725	1000031716	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310041	3	8813	1000031725	1000035154	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310042	3	8813	1000031725	1000031718	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310043	3	8813	1000031725	1000031719	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310044	3	8813	1000031725	1000031720	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310045	3	8813	1000031725	1000031721	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310046	3	8813	1000031725	1000031722	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310047	3	8813	1000031725	1000031723	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
