ROWID	_NameID|INTEGER	_FunctionDescriptionID|INTEGER	_ActorIndex|INTEGER	_TalkFile|TEXT	_ScriptFile|TEXT	_Param1|INTEGER	_Param2|INTEGER	_Quest1|INTEGER	_Quest2|INTEGER	_Quest3|INTEGER	_Quest4|INTEGER	_Quest5|INTEGER	_Quest6|INTEGER	_Quest7|INTEGER	_Quest8|INTEGER	_Quest9|INTEGER	_Quest10|INTEGER	_Quest11|INTEGER	_Quest12|INTEGER	_Quest13|INTEGER	_Quest14|INTEGER	_Quest15|INTEGER	_Quest16|INTEGER	_Quest17|INTEGER	_Quest18|INTEGER	_Quest19|INTEGER	_Quest20|INTEGER	_Quest21|INTEGER	_Quest22|INTEGER	_Quest23|INTEGER	_Quest24|INTEGER	_Quest25|INTEGER	_Quest26|INTEGER	_Quest27|INTEGER	_Quest28|INTEGER	_Quest29|INTEGER	_Quest30|INTEGER	_Quest31|INTEGER	_Quest32|INTEGER	_Quest33|INTEGER	_Quest34|INTEGER	_Quest35|INTEGER	_Quest36|INTEGER	_Quest37|INTEGER	_Quest38|INTEGER	_Quest39|INTEGER	_Quest40|INTEGER	_Quest41|INTEGER	_Quest42|INTEGER	_Quest43|INTEGER	_Quest44|INTEGER	_Quest45|INTEGER	_Quest46|INTEGER	_Quest47|INTEGER	_Quest48|INTEGER	_Quest49|INTEGER	_Quest50|INTEGER	_QuestUnmarked|TEXT	_Weapon1Index|INTEGER	_Weapon2Index|INTEGER	_NpcJobIndex|INTEGER	_BeginTalk1|INTEGER	_BeginTalk2|INTEGER	_BeginTalk3|INTEGER	_BeginTalk4|INTEGER	_FinishTalk1|INTEGER	_FinishTalk2|INTEGER	_FinishTalk3|INTEGER	_FinishTalk4|INTEGER	_OpenShop1|TEXT	_OpenShop2|TEXT	_OpenShop3|TEXT	_OpenShop4|TEXT	_CloseShop1|TEXT	_CloseShop2|TEXT	_CloseShop3|TEXT	_CloseShop4|TEXT	_SizeMin|FLOAT	_SizeMax|FLOAT	_MapIndex|TEXT	_ShopIcon|BOOLEAN	_MinimapShow|BOOLEAN
1	1000000356	0	1002	n001_elder_harold.xml	n001_elder_harold.lua	0	0	18	5701	5	12	17	26	27	29	30	32	33	34	35	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	11943	11997	12111	0	12657	12394	12505	0									1.0	1.0	1	false	true
2	1000000357	1000033824	1003	n002_trader_dorin.xml	n002_trader_dorin.lua	0	0	0	0	0	0	0	9572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	1	11775	11998	0	0	11863	12395	0	0	npc_Dorin_sp_03_c.wav	npc_Dorin_sp_04_c.wav			npc_Dorin_sp_05_a.wav	npc_Dorin_sp_06_b.wav			1.0	1.0	1	true	true
3	1000000358	1000033825	1004	n003_trader_dolis.xml	n003_trader_dolis.lua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	3	11776	11999	0	0	11864	12396	0	0	npc_Doris_sp_03_c.wav	npc_Doris_sp_04_a.wav			npc_Doris_sp_05_c.wav	npc_Doris_sp_06_a.wav			1.0	1.0	1	true	true
4	1000000359	1000137634	1005	n004_guard_steave.xml	n004_guard_steave.lua	0	0	11	2	3	4	7	8	9	10	13	14	15	16	19	20	21	9576	9577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6202,6203,6204,6205,6206,6212,6213	0	0	0	11777	12000	12112	0	11865	12397	12506	0									1.0	1.0	1	true	true
5	1000000360	1000033826	1006	n005_archer_master_diana.xml	n005_archer_master_diana.lua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	9	11778	12001	0	0	11866	12398	0	0	npc_Diana_sp_03_a.wav	npc_Diana_sp_04_c.wav			npc_Diana_sp_05_c.wav	npc_Diana_sp_06_c.wav			1.0	1.0	1	false	true
6	0	0	1001	n006_rose.xml	n006_rose.lua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	11944	12002	12113	0	12658	12399	12507	0									1.0	1.0		false	true
7	1000000362	0	1000	n007_lily.xml	n007_lily.lua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5702,5703,5704,5705,5706,5712,5713	0	0	0	11945	12003	0	0	12659	0	0	0									1.0	1.0	1	false	true
8	1000000363	0	1007	n008_guard_timose.xml	n008_guard_timose.lua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	11946	12004	0	0	12660	12400	0	0									1.0	1.0		false	true
9	1000000364	1000033827	1008	n009_warrior_master_dunken.xml	n009_warrior_master_dunken.lua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		269488069	0	8	11779	12005	0	0	11867	12401	0	0	npc_Dunken_sp_03_a.wav	npc_Dunken_sp_04_b.wav			npc_Dunken_sp_05_a.wav				1.0	1.0	1	false	true
10	1000000365	0	1009	n010_velskud.xml	n010_velskud.lua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	11947	12006	12114	0	12661	12402	12508	0									1.0	1.0		false	true
