ROWID	_JobName|INTEGER	_CoreStatusNameID|INTEGER	_CoreStatusNameIDParam|TEXT	_JobNumber|INTEGER	_BaseClass|INTEGER	_ParentJob|INTEGER	_EnglishName|TEXT	_JobIcon|INTEGER	_MaxSPJob0|DOUBLE	_MaxSPJob1|DOUBLE	_MaxSPJob2|DOUBLE	_MaxSPJob3|DOUBLE	_MaxSPJob4|DOUBLE	_IdleMotionName|TEXT	_IdleMotionStartTime|DOUBLE	_IdleMotionMinTime|DOUBLE	_IdleMotionMaxTime|DOUBLE	_Class|INTEGER	_Service|BOOLEAN	_JobDescriptionID|INTEGER	_JobChangeAble|BOOLEAN	_JobChangeLimit|BOOLEAN	_CharacterImage|TEXT	_SkillID|TEXT	_ExSkill|TEXT	_Recom|INTEGER	_JobMv|TEXT	_SetQuestStep|TEXT	_SetQuestStepCronicle|TEXT	_QuestRemote|INTEGER	_Characterbutton|TEXT	_ClassTexture|TEXT	_DarkJob|INTEGER	_ContentsID|TEXT	_DamageType|INTEGER	_SkillTreeUITexture|TEXT	_AwakeningItem|INTEGER	_AwakeningIcon|BOOLEAN	_RecommendAttack|DOUBLE	_RecommendHP|DOUBLE	_Gender|INTEGER	_ActorIndex|INTEGER
1	300	1000107170		0	0	0	WARRIOR	0	1.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	1	true	0	true	false				0				0		P_SwordMaster.dds	0	0	0	WARRIOR.dds	0	false	1.0	1.0	1	1
2	301	1000107171		0	1	0	ARCHER	1	1.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	2	true	0	true	false				0				0		P_Bowmaster.dds	0	0	0	ARCHER.dds	0	false	1.0	1.0	2	2
3	302	1000107172		0	2	0	SOCERESS	2	1.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	3	true	0	true	false				0				0		P_Elementallord.dds	0	0	1	SOCERESS.dds	0	false	1.0	1.0	2	3
4	303	1000107170		0	3	0	CLERIC	3	1.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	4	true	0	true	false				0				0		P_Paladin.dds	0	0	0	CLERIC.dds	0	false	1.0	1.0	1	4
5	305	1000107171		0	4	0	ACADEMIC	4	1.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	5	true	0	true	false				0				0		P_Engineer.dds	0	0	0	ACADEMIC.dds	0	false	1.0	1.0	2	5
6	306	1000107170		0	5	0	KALI	5	1.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	6	true	0	true	false				0				0		P_Screamer.dds	0	0	0	KALI.dds	0	false	1.0	1.0	2	6
7	307	1000107171		0	6	0	ASSASSIN	6	1.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	7	true	0	true	false				0				0		P_Chaser.dds	0	0	0	ASSASSIN.dds	0	false	1.0	1.0	1	7
8	308	1000107170		0	7	0	LENCEA	7	1.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	8	true	0	true	false				0				0		P_Piercer.dds	0	0	0	LENCEA.dds	0	false	1.0	1.0	2	8
9	376	1000107171		0	8	0	MACHINA	59	1.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	9	true	0	true	false				0				0		P_patrona.dds	0	0	0	MACHINA.dds	0	false	1.0	1.0	2	9
10	309	1000107170		0	9	0	ANCESTOR	0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0	false	0	true	false				0				0			0	0	0	ANCESTOR.dds	0	false	1.0	1.0	0	0
201	172	1000107171		0	10	0	VANDAR	83	1.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	10	true	0	true	false				0				0		P_Vandar.dds	0	0	0	Vandar.dds	0	false	1.0	1.0	1	201
11	310	1000107170		1	0	1	SWORDMASTER	8	0.625	0.69	0.0	0.0	0.0	Normal_Stand_SwordMaster	180.0	60.0	180.0	1	true	1000064995	true	false	DwcSwordMaster.dds	207;205;203;211	211;205	1	Swordmaster.avi	238,4,4	2910,3,3	38	ID_RBT_0	P_SwordMaster.dds	0	0	0	SWORDMASTER.dds	0	false	1.0	1.0	1	1
12	311	1000107170		1	0	1	MERCENARY	9	0.625	0.69	0.0	0.0	0.0	Normal_Stand_Mercenary	180.0	60.0	180.0	1	true	1000064996	true	false	DwcMercenary.dds	407;401;410;411	401;411	0	Mercenary.avi	238,4,4	2910,3,3	38	ID_RBT_1	P_Mercenary.dds	0	0	0	MERCENARY.dds	0	false	1.0	1.0	1	1
14	313	1000107171		1	1	2	BOWMASTER	15	0.625	0.69	0.0	0.0	0.0	Normal_Stand_BowMaster	180.0	60.0	180.0	2	true	1000064997	true	false	DwcBowmaster.dds	1202;1207;1210;1203	1203;1207	1	Bowmaster.avi	239,3,3	2910,3,3	39	ID_RBT_2	P_Bowmaster.dds	0	0	0	Chaser.dds	0	false	1.0	1.0	2	2
15	314	1000107171		1	1	2	ACROBAT	16	0.625	0.69	0.0	0.0	0.0	Normal_Stand_Acrobat	180.0	60.0	180.0	2	true	1000064998	true	false	DwcAcrobat.dds	1411;1406;1403;1407	1407;1406	0	Acrobat.avi	239,3,3	2910,3,3	39	ID_RBT_3	P_Acrobat.dds	0	0	0	ACROBAT.dds	0	false	1.0	1.0	2	2
17	316	1000107172		1	2	3	ELEMENTALLORD	22	0.625	0.69	0.0	0.0	0.0	Normal_Stand_Elementalist	180.0	60.0	180.0	3	true	1000064999	true	false	DwcElementallord.dds	2202;2205;2211;2210	2210;2205	0	Elementallord.avi	240,3,3	2910,3,3	40	ID_RBT_4	P_Elementallord.dds	0	0	1	ELEMENTALLORD.dds	0	false	1.0	1.0	2	3
18	317	1000107172		1	2	3	FORCEUSER	23	0.625	0.69	0.0	0.0	0.0	Normal_Stand_ForceUser	180.0	60.0	180.0	3	true	1000065000	true	false	DwcForceuser.dds	2405;2401;2420;2407	2420;2401	0	Forceuser.avi	240,3,3	2910,3,3	40	ID_RBT_5	P_Forceuser.dds	0	0	1	FORCEUSER.dds	0	false	1.0	1.0	2	3
19	318	1000107172		1	2	3	WARLOCK	24	0.625	0.69	0.0	0.0	0.0		180.0	60.0	180.0	3	false	0	true	false				0				0			0	0	0	WARLOCK.dds	0	false	1.0	1.0	2	3
20	319	1000107173		1	3	4	PALADIN	29	0.625	0.69	0.0	0.0	0.0	Normal_Stand_Paladin	180.0	60.0	180.0	4	true	1000065001	true	false	DwcPaladin.dds	3203;3201;3205;3213	3203;3201	0	Paladin.avi	241,4,4	2910,3,3	41	ID_RBT_6	P_Paladin.dds	0	0	0	PALADIN.dds	0	false	1.0	1.0	1	4
21	320	1000107170		1	3	4	MONK	31	0.625	0.69	0.0	0.0	0.0		180.0	60.0	180.0	4	false	0	true	false				0				0			0	0	0	MONK.dds	0	false	1.0	1.0	0	4
22	321	1000107172		1	3	4	PRIEST	30	0.625	0.69	0.0	0.0	0.0	Normal_Stand_Priest	180.0	60.0	180.0	4	true	1000065002	true	false	DwcPriest.dds	3408;3406;3403;3416	3423;3406	1	Priest.avi	241,4,4	2910,3,3	41	ID_RBT_7	P_Priest.dds	0	0	1	PRIEST.dds	0	false	1.0	1.0	1	4
23	322	1000107170		2	0	11	GLADIATOR	11	0.625	0.69	0.625	0.0	0.0	Normal_Stand_SwordMaster	180.0	60.0	180.0	1	true	1000065003	true	false			301;303	1	Gladiator.avi	758,5,5	2911,3,3	0		P_SwordMaster.dds	0	0	0	SMASHER.dds	400499	true	1.0	1.0	1	1
24	323	1000107172		2	0	11	MOONLORD	12	0.625	0.69	0.625	0.0	0.0	Normal_Stand_SwordMaster	180.0	60.0	180.0	1	true	1000065004	true	false			351;353	0	Moonload.avi	758,5,5	2911,3,3	0		P_SwordMaster.dds	0	0	1	SMASHER.dds	400499	true	1.0	0.8	1	1
25	324	1000107170		2	0	12	BARBARIAN	13	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Mercenary	180.0	60.0	180.0	1	true	1000032127	true	false			501;503	0	Babarian.avi	758,5,5	2911,3,3	0		P_Mercenary.dds	0	0	0	SMASHER.dds	400499	true	1.0	1.0	1	1
26	325	1000107170		2	0	12	DESTROYER	14	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Mercenary	180.0	60.0	180.0	1	true	1000065005	true	false			551;553	0	Destroyer.avi	758,5,5	2911,3,3	0		P_Mercenary.dds	0	0	0	SMASHER.dds	400499	true	0.8	1.3	1	1
29	328	1000107171		2	1	14	SNIPER	18	0.625	0.69	0.625	0.0	0.0	Normal_Stand_BowMaster	180.0	60.0	180.0	2	true	1000065006	true	false			1301;1314	0	Sniper.avi	767,6,6	2911,3,3	0		P_Bowmaster.dds	0	0	0	Impactor.dds	400499	true	1.2	1.2	2	2
30	329	1000107172		2	1	14	ARTILLERY	19	0.625	0.69	0.625	0.0	0.0	Normal_Stand_BowMaster	180.0	60.0	180.0	2	true	1000065007	true	false			1351;1353	1	Artillery.avi	767,6,6	2911,3,3	0		P_Bowmaster.dds	0	0	1	Impactor.dds	400499	true	1.2	1.2	2	2
31	330	1000107171		2	1	15	TEMPEST	21	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Acrobat	180.0	60.0	180.0	2	true	1000065008	true	false			1501;1503	0	Tempest.avi	767,6,6	2911,3,3	0		P_Acrobat.dds	0	0	0	SMASHER.dds	400499	true	1.2	1.2	2	2
