ROWID	_Group|INTEGER	_StartRankReward|INTEGER	_EndRankReward|INTEGER	_MailID|INTEGER
1	1	1	1	2738
2	1	2	2	2739
3	1	3	3	2740
4	1	4	5	2741
5	1	6	10	2742
6	2	1	1	2738
7	2	2	2	2739
8	2	3	3	2740
9	2	4	5	2741
10	2	6	10	2742
11	3	1	1	2738
12	3	2	2	2739
13	3	3	3	2740
14	3	4	5	2741
15	3	6	10	2742
16	4	1	1	2738
17	4	2	2	2739
18	4	3	3	2740
19	4	4	5	2741
20	4	6	10	2742
21	5	1	1	2738
22	5	2	2	2739
23	5	3	3	2740
24	5	4	5	2741
25	5	6	10	2742
26	6	1	1	2738
27	6	2	2	2739
28	6	3	3	2740
29	6	4	5	2741
30	6	6	10	2742
31	7	1	1	2738
32	7	2	2	2739
33	7	3	3	2740
34	7	4	5	2741
35	7	6	10	2742
36	8	1	1	2738
37	8	2	2	2739
38	8	3	3	2740
39	8	4	5	2741
40	8	6	10	2742
41	9	1	1	2738
42	9	2	2	2739
43	9	3	3	2740
44	9	4	5	2741
45	9	6	10	2742
46	10	1	1	2738
47	10	2	2	2739
48	10	3	3	2740
49	10	4	5	2741
50	10	6	10	2742
51	11	1	1	2738
52	11	2	2	2739
53	11	3	3	2740
54	11	4	5	2741
55	11	6	10	2742
56	12	1	1	2738
57	12	2	2	2739
58	12	3	3	2740
59	12	4	5	2741
60	12	6	10	2742
61	13	1	1	2738
62	13	2	2	2739
63	13	3	3	2740
64	13	4	5	2741
65	13	6	10	2742
66	14	1	1	2738
67	14	2	2	2739
68	14	3	3	2740
69	14	4	5	2741
70	14	6	10	2742
71	15	1	1	2738
72	15	2	2	2739
73	15	3	3	2740
74	15	4	5	2741
75	15	6	10	2742
76	16	1	1	2738
77	16	2	2	2739
78	16	3	3	2740
79	16	4	5	2741
80	16	6	10	2742
81	17	1	1	2738
82	17	2	2	2739
83	17	3	3	2740
84	17	4	5	2741
85	17	6	10	2742
86	18	1	1	2738
87	18	2	2	2739
88	18	3	3	2740
89	18	4	5	2741
90	18	6	10	2742
91	19	1	1	2738
92	19	2	2	2739
93	19	3	3	2740
94	19	4	5	2741
95	19	6	10	2742
96	20	1	1	2738
97	20	2	2	2739
98	20	3	3	2740
99	20	4	5	2741
100	20	6	10	2742
101	21	1	1	2738
102	21	2	2	2739
103	21	3	3	2740
104	21	4	5	2741
105	21	6	10	2742
106	22	1	1	2738
107	22	2	2	2739
108	22	3	3	2740
109	22	4	5	2741
110	22	6	10	2742
111	23	1	1	2738
112	23	2	2	2739
113	23	3	3	2740
114	23	4	5	2741
115	23	6	10	2742
116	24	1	1	2738
117	24	2	2	2739
118	24	3	3	2740
119	24	4	5	2741
120	24	6	10	2742
121	25	1	1	2738
122	25	2	2	2739
123	25	3	3	2740
124	25	4	5	2741
125	25	6	10	2742
126	26	1	1	2738
127	26	2	2	2739
128	26	3	3	2740
129	26	4	5	2741
130	26	6	10	2742
131	27	1	1	2738
132	27	2	2	2739
133	27	3	3	2740
134	27	4	5	2741
135	27	6	10	2742
136	28	1	1	2738
137	28	2	2	2739
138	28	3	3	2740
139	28	4	5	2741
140	28	6	10	2742
141	29	1	1	2738
142	29	2	2	2739
143	29	3	3	2740
144	29	4	5	2741
145	29	6	10	2742
146	30	1	1	2738
147	30	2	2	2739
148	30	3	3	2740
149	30	4	5	2741
150	30	6	10	2742
151	31	1	1	2738
152	31	2	2	2739
153	31	3	3	2740
154	31	4	5	2741
155	31	6	10	2742
156	32	1	1	2738
157	32	2	2	2739
158	32	3	3	2740
159	32	4	5	2741
160	32	6	10	2742
161	33	1	1	2738
162	33	2	2	2739
163	33	3	3	2740
164	33	4	5	2741
165	33	6	10	2742
166	34	1	1	2738
167	34	2	2	2739
168	34	3	3	2740
169	34	4	5	2741
170	34	6	10	2742
171	35	1	1	2738
172	35	2	2	2739
173	35	3	3	2740
174	35	4	5	2741
175	35	6	10	2742
176	36	1	1	2738
177	36	2	2	2739
178	36	3	3	2740
179	36	4	5	2741
180	36	6	10	2742
181	37	1	1	2738
182	37	2	2	2739
183	37	3	3	2740
184	37	4	5	2741
185	37	6	10	2742
186	38	1	1	2738
187	38	2	2	2739
188	38	3	3	2740
189	38	4	5	2741
190	38	6	10	2742
191	39	1	1	2738
192	39	2	2	2739
193	39	3	3	2740
194	39	4	5	2741
195	39	6	10	2742
196	40	1	1	2738
197	40	2	2	2739
198	40	3	3	2740
199	40	4	5	2741
200	40	6	10	2742
201	41	1	1	2738
202	41	2	2	2739
203	41	3	3	2740
204	41	4	5	2741
205	41	6	10	2742
206	42	1	1	2738
207	42	2	2	2739
208	42	3	3	2740
209	42	4	5	2741
210	42	6	10	2742
211	43	1	1	2738
212	43	2	2	2739
213	43	3	3	2740
214	43	4	5	2741
215	43	6	10	2742
216	44	1	1	2738
217	44	2	2	2739
218	44	3	3	2740
219	44	4	5	2741
220	44	6	10	2742
221	45	1	1	2738
222	45	2	2	2739
223	45	3	3	2740
224	45	4	5	2741
225	45	6	10	2742
226	46	1	1	2738
227	46	2	2	2739
228	46	3	3	2740
229	46	4	5	2741
230	46	6	10	2742
231	47	1	1	2738
232	47	2	2	2739
233	47	3	3	2740
234	47	4	5	2741
235	47	6	10	2742
236	48	1	1	2738
237	48	2	2	2739
238	48	3	3	2740
239	48	4	5	2741
240	48	6	10	2742
241	49	1	1	2738
242	49	2	2	2739
243	49	3	3	2740
244	49	4	5	2741
245	49	6	10	2742
246	50	1	1	2738
247	50	2	2	2739
248	50	3	3	2740
249	50	4	5	2741
250	50	6	10	2742
251	51	1	1	2738
252	51	2	2	2739
253	51	3	3	2740
254	51	4	5	2741
255	51	6	10	2742
256	52	1	1	2738
257	52	2	2	2739
258	52	3	3	2740
259	52	4	5	2741
260	52	6	10	2742
261	53	1	1	2738
262	53	2	2	2739
263	53	3	3	2740
264	53	4	5	2741
265	53	6	10	2742
266	54	1	1	2738
267	54	2	2	2739
268	54	3	3	2740
269	54	4	5	2741
270	54	6	10	2742
271	55	1	1	2738
272	55	2	2	2739
273	55	3	3	2740
274	55	4	5	2741
275	55	6	10	2742
276	56	1	1	2738
277	56	2	2	2739
278	56	3	3	2740
279	56	4	5	2741
280	56	6	10	2742
281	57	1	1	2738
282	57	2	2	2739
283	57	3	3	2740
284	57	4	5	2741
285	57	6	10	2742
286	58	1	1	2738
287	58	2	2	2739
288	58	3	3	2740
289	58	4	5	2741
290	58	6	10	2742
291	59	1	1	2738
292	59	2	2	2739
293	59	3	3	2740
294	59	4	5	2741
295	59	6	10	2742
296	60	1	1	2738
297	60	2	2	2739
298	60	3	3	2740
299	60	4	5	2741
300	60	6	10	2742
301	61	1	1	2738
302	61	2	2	2739
303	61	3	3	2740
304	61	4	5	2741
305	61	6	10	2742
306	62	1	1	2738
307	62	2	2	2739
308	62	3	3	2740
309	62	4	5	2741
310	62	6	10	2742
311	63	1	1	2738
312	63	2	2	2739
313	63	3	3	2740
314	63	4	5	2741
315	63	6	10	2742
316	64	1	1	2738
317	64	2	2	2739
318	64	3	3	2740
319	64	4	5	2741
320	64	6	10	2742
321	65	1	1	2738
322	65	2	2	2739
323	65	3	3	2740
324	65	4	5	2741
325	65	6	10	2742
326	66	1	1	2738
327	66	2	2	2739
328	66	3	3	2740
329	66	4	5	2741
330	66	6	10	2742
331	67	1	1	2738
332	67	2	2	2739
333	67	3	3	2740
334	67	4	5	2741
335	67	6	10	2742
336	68	1	1	2738
337	68	2	2	2739
338	68	3	3	2740
339	68	4	5	2741
340	68	6	10	2742
341	69	1	1	2738
342	69	2	2	2739
343	69	3	3	2740
344	69	4	5	2741
345	69	6	10	2742
346	70	1	1	2738
347	70	2	2	2739
348	70	3	3	2740
349	70	4	5	2741
350	70	6	10	2742
351	71	1	1	2738
352	71	2	2	2739
353	71	3	3	2740
354	71	4	5	2741
355	71	6	10	2742
356	72	1	1	2738
357	72	2	2	2739
358	72	3	3	2740
359	72	4	5	2741
360	72	6	10	2742
361	73	1	1	2738
362	73	2	2	2739
363	73	3	3	2740
364	73	4	5	2741
365	73	6	10	2742
366	74	1	1	2738
367	74	2	2	2739
368	74	3	3	2740
369	74	4	5	2741
370	74	6	10	2742
371	75	1	1	2738
372	75	2	2	2739
373	75	3	3	2740
374	75	4	5	2741
375	75	6	10	2742
376	76	1	1	2738
377	76	2	2	2739
378	76	3	3	2740
379	76	4	5	2741
380	76	6	10	2742
381	77	1	1	2738
382	77	2	2	2739
383	77	3	3	2740
384	77	4	5	2741
385	77	6	10	2742
386	78	1	1	2738
387	78	2	2	2739
388	78	3	3	2740
389	78	4	5	2741
390	78	6	10	2742
391	79	1	1	2738
392	79	2	2	2739
