ROWID	_PresentType|INTEGER	_PresentTypeID|INTEGER	_Count|INTEGER	_AddFavorPoint|INTEGER	_TakeMalicePoint|INTEGER	_FavorGroupPoint|INTEGER	_MaliceGroupPoint|INTEGER
1	0	347209864	1	87	38	9	12
2	0	347209872	1	38	98	3	32
3	0	347226248	1	124	52	12	18
4	0	347226256	1	54	144	6	48
5	0	347242632	1	333	222	33	74
6	0	347209992	1	96	40	9	14
7	0	347210000	1	32	81	2	27
8	0	347226376	1	165	69	16	22
9	0	347226384	1	42	171	4	57
10	0	347242760	1	333	222	33	74
11	0	347210120	1	86	36	9	12
12	0	347210128	1	34	90	3	30
13	0	347226504	1	122	52	12	18
14	0	347226512	1	40	168	4	56
15	0	347242888	1	333	222	33	74
16	0	347210248	1	90	40	9	14
17	0	347210256	1	34	94	3	32
18	0	347226632	1	128	54	14	18
19	0	347226640	1	54	147	3	50
20	0	347243016	1	500	333	50	111
21	0	347210376	1	90	38	9	12
22	0	347210384	1	47	128	3	42
23	0	347226760	1	153	68	15	22
24	0	347226768	1	53	142	3	48
25	0	347243144	1	333	222	33	74
26	0	347210504	1	81	34	8	12
27	0	347210512	1	32	82	2	27
28	0	347226888	1	141	48	12	16
29	0	347226896	1	54	171	4	57
30	0	347243272	1	333	222	33	73
31	0	347210632	1	105	45	10	15
32	0	347210640	1	40	108	3	36
33	0	347227016	1	240	100	24	33
34	0	347227024	1	59	153	4	51
35	0	347243400	1	500	333	50	111
36	0	347210760	1	225	96	22	32
37	0	347210768	1	58	156	4	52
38	0	347227144	1	180	76	18	26
39	0	347227152	1	85	158	4	52
40	0	347243528	1	500	333	50	111
41	0	347210888	1	120	51	12	16
42	0	347210896	1	47	124	3	42
43	0	347227272	1	165	75	16	26
44	0	347227280	1	76	206	4	68
45	0	347243656	1	500	333	50	111
46	0	347211016	1	148	63	15	21
47	0	347211024	1	40	112	3	38
48	0	347227400	1	150	64	15	21
49	0	347227408	1	78	206	4	68
50	0	347243784	1	333	222	33	74
51	0	347259016	1	250	500	0	0
52	0	347259144	1	250	500	0	0
53	0	347259272	1	250	500	0	0
54	0	347259400	1	250	500	0	0
55	0	347259528	1	250	500	0	0
56	0	347259656	1	250	500	0	0
57	0	347259784	1	250	500	0	0
58	0	347259912	1	250	500	0	0
59	0	347260040	1	250	500	0	0
60	0	347260168	1	250	500	0	0
61	0	347260296	1	250	500	0	0
62	0	268448355	2	76	0	0	0
63	0	268448356	3	76	0	0	0
64	0	268448357	4	76	0	0	0
65	0	268448358	5	76	0	0	0
66	0	268448359	6	110	0	0	0
67	0	268448360	7	110	0	0	0
68	0	268448361	8	110	0	0	0
69	0	268448362	9	110	0	0	0
70	0	805308514	1	30	0	0	0
71	0	805308515	1	40	0	0	0
72	0	805308516	1	70	0	0	0
73	0	805308517	1	80	0	0	0
74	0	805308518	1	100	0	0	0
75	0	805308530	1	100	0	0	0
76	0	268466322	1	250	0	0	0
77	0	268466323	1	250	0	0	0
78	0	268466324	1	250	0	0	0
79	0	805310996	1	30	0	0	0
80	0	805310997	1	90	0	0	0
81	0	805310998	1	150	0	0	0
82	0	536880756	1	95	0	0	0
83	0	268490110	1	4000	0	0	0
84	0	268490110	1	2000	0	0	0
85	0	268490113	1	3600	0	0	0
86	0	268490113	1	2200	0	0	0
87	0	268490118	1	2800	0	0	0
88	0	268490118	1	3200	0	0	0
89	0	268490118	1	4000	0	0	0
90	0	268490116	1	1800	0	0	0
91	0	268490116	1	2200	0	0	0
92	0	268490116	1	4000	0	0	0
93	0	268490115	1	3200	0	0	0
94	0	268490115	1	4000	0	0	0
95	0	268490112	1	3000	0	0	0
96	0	268490112	1	4000	0	0	0
97	0	268490111	1	2200	0	0	0
98	0	268490111	1	3000	0	0	0
99	0	268490111	1	4000	0	0	0
100	0	268490114	1	3200	0	0	0
101	0	268490114	1	3800	0	0	0
102	0	268490114	1	4000	0	0	0
103	0	268490117	1	1800	0	0	0
104	0	268490117	1	3000	0	0	0
105	0	268490117	1	3200	0	0	0
106	0	268490117	1	4000	0	0	0
107	0	268490119	1	4000	0	0	0
