ROWID	_questID|INTEGER	_step|INTEGER	_class|INTEGER	_Gold|INTEGER	_Exp|INTEGER	_StringIndex|INTEGER	_Type|INTEGER	_SelectMax|INTEGER	_ItemIndex1|INTEGER	_ItemCount1|INTEGER	_ItemIndex2|INTEGER	_ItemCount2|INTEGER	_ItemIndex3|INTEGER	_ItemCount3|INTEGER	_ItemIndex4|INTEGER	_ItemCount4|INTEGER	_ItemIndex5|INTEGER	_ItemCount5|INTEGER	_ItemIndex6|INTEGER	_ItemCount6|INTEGER	_StageLevel|INTEGER	_StageLevelOperator|INTEGER	_MailID|INTEGER	_ItemOptionID1|INTEGER	_ItemOptionID2|INTEGER	_ItemOptionID3|INTEGER	_ItemOptionID4|INTEGER	_ItemOptionID5|INTEGER	_ItemOptionID6|INTEGER	_LevelCabStringIndex|INTEGER	_GiveFTG|INTEGER
10	1	2	0	0	0	1250002	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260172	0
21	2	4	1	1183	10000	1250002	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260172	600
22	2	4	2	1183	10000	1250002	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260172	600
31	3	5	1	700	10000	1250002	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260172	600
42	4	5	2	700	10000	1250002	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260172	600
51	5	4	1	700	10000	1250002	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260172	600
52	5	4	2	700	10000	1250002	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260172	600
61	6	4	1	1263	10000	1250002	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260172	600
62	6	4	2	1263	10000	1250002	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260172	600
71	7	3	1	1389	10000	1250002	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260172	600
72	7	3	2	1389	10000	1250002	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260172	600
81	8	2	1	1515	10000	1250002	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260172	600
82	8	2	2	1515	10000	1250002	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260172	600
91	9	3	1	1691	10000	1250000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260173	600
92	9	3	2	1691	10000	1250000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260173	600
101	10	2	1	2678	10000	1250002	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260172	600
102	10	2	2	2678	10000	1250002	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260172	600
12	11	3	2	0	10000	1250002	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260172	600
11	11	3	1	0	10000	1250002	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260172	600
120	12	2	0	10000	10000	1250002	1	1	536879753	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260172	600
131	13	3	1	10000	10000	1250002	1	1	536879753	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260172	600
132	13	3	2	10000	10000	1250002	1	1	536879753	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260172	600
141	14	4	1	10000	10000	1250002	1	1	536879753	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260172	600
142	14	4	2	10000	10000	1250002	1	1	536879753	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260172	600
151	15	5	1	10000	10000	1250002	1	1	536879753	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260172	600
162	16	5	2	10000	10000	1250002	1	1	536879753	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260172	600
171	17	4	1	10000	10000	1250002	1	1	536879753	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1260172	600
