ROWID	_ID|INTEGER	_GlyphType|INTEGER	_SkillID|TEXT	_SkillLevelID|INTEGER	_EffectClass1|INTEGER	_EffectClass1ApplyType|INTEGER	_EffectClassValue1|TEXT	_EffectClassValue1Duration|INTEGER	_EffectClass2|INTEGER	_EffectClass2ApplyType|INTEGER	_EffectClassValue2|TEXT	_EffectClassValue2Duration|INTEGER	_EffectClass3|INTEGER	_EffectClass3ApplyType|INTEGER	_EffectClassValue3|TEXT	_EffectClassValue3Duration|INTEGER	_EffectClass4|INTEGER	_EffectClass4ApplyType|INTEGER	_EffectClassValue4|TEXT	_EffectClassValue4Duration|INTEGER	_EffectClass5|INTEGER	_EffectClass5ApplyType|INTEGER	_EffectClassValue5|TEXT	_EffectClassValue5Duration|INTEGER	_GlyphSkillEffect|INTEGER	_GlyphSkillEffectValue|DOUBLE	_ProcessParam1|TEXT	_ProcessParam2|TEXT	_ProcessParam3|TEXT	_ProcessParam4|TEXT	_ProcessParam5|TEXT	_ProcessParam6|TEXT	_ProcessParam7|TEXT	_ProcessParam8|TEXT	_ProcessParam9|TEXT	_ProcessParam10|TEXT	_SummaryDescription|TEXT	_SummaryDescriptionParam|TEXT
268476082	268476082	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000112255	{1000054458}
268476086	268476086	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000112255	{1000118206}
268476088	268476088	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000112255	{1000054591}
268476089	268476089	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000112255	{17}
268477957	268477957	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000112255	{1000054458}
268477958	268477958	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000112255	{1000118206}
268477959	268477959	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000112255	{1000054591}
268477960	268477960	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000112255	{17}
268481515	268481515	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000112255	{1000054458}
268481516	268481516	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000112255	{1000054458}
268483692	268483692	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000112255	{1000118206}
268483693	268483693	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000112255	{1000118206}
268483716	268483716	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000112255	{1000054591}
268483717	268483717	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000112255	{1000054591}
268483765	268483765	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000145339	{1000145338}
268483766	268483766	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000145339	{1000145338}
268476087	268476087	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000148924	
268476595	268476595	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000148924	
268476596	268476596	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000148924	
268476597	268476597	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000148924	
268485570	268485570	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000112255	{1000054458}
268485571	268485571	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000112255	{1000118206}
268485572	268485572	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000112255	{1000054591}
268485573	268485573	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000145339	{1000145338}
268485574	268485574	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000112255	{1000054458}
268485575	268485575	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000112255	{1000118206}
268485576	268485576	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000112255	{1000054591}
268485577	268485577	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000112255	{17}
268485578	268485578	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000112255	{1000054458}
268485579	268485579	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000112255	{1000118206}
268485580	268485580	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000112255	{1000054591}
268485581	268485581	5	0	0	0	1		0	0	1		0	0	1		0	0	1		0	0	1		0	0	0.0											1000112255	{17}
