ROWID	_UseCompound|BOOLEAN	_UseDesign|BOOLEAN	_sort|INTEGER
1073910459	true	false	0
1073910460	true	false	0
1073910461	true	false	0
1073910462	true	false	0
1073910463	true	false	0
1073910464	true	false	0
1073910465	true	false	0
1073910466	true	false	0
1073910467	true	false	0
1073910468	true	false	0
1073910469	true	false	0
1073910470	true	false	0
1073910471	true	false	0
1073910472	true	false	0
1073910473	true	false	0
1073910474	true	false	0
1073910475	true	false	0
1073910476	true	false	0
1073910477	true	false	0
1073910478	true	false	0
1073910479	true	false	0
1073910480	true	false	0
1073910481	true	false	0
1073910482	true	false	0
1073910483	true	false	0
1073910484	true	false	0
1073910485	true	false	0
1073910486	true	false	0
1073910487	true	false	0
1073910488	true	false	0
1073910489	true	false	0
1073910490	true	false	0
1073910491	true	false	0
1073910492	true	false	0
1073910493	true	false	0
1073910494	true	false	0
1073910495	true	false	0
1073910496	true	false	0
1073910497	true	false	0
1073910498	true	false	0
1073910499	true	false	0
1073910500	true	false	0
1073910501	true	false	0
1073910502	true	false	0
1073910503	true	false	0
1073910504	true	false	0
1073910505	true	false	0
1073910506	true	false	0
1073910507	true	false	0
1073910508	true	false	0
1073910509	true	false	0
1073910510	true	false	0
1073910511	true	false	0
1073910512	true	false	0
1073910513	true	false	0
1073910514	true	false	0
1073910515	true	false	0
1073910516	true	false	0
1073910517	true	false	0
1073910518	true	false	0
1073910519	true	false	0
1073910520	true	false	0
1073910521	true	false	0
1073910522	true	false	0
1073910523	true	false	0
1073910524	true	false	0
1073910525	true	false	0
1073910526	true	false	0
1073910527	true	false	0
1073910528	true	false	0
1073910529	true	false	0
1073910530	true	false	0
1073910531	true	false	0
1073910532	true	false	0
1073910533	true	false	0
1073910534	true	false	0
1073910535	true	false	0
1073910536	true	false	0
1073910537	true	false	0
1073910538	true	false	0
1073910539	true	false	0
1073910540	true	false	0
1073910541	true	false	0
1073910542	true	false	0
1073910543	true	false	0
1073910544	true	false	0
1073910545	true	false	0
1073910546	true	false	0
1073910547	true	false	0
1073910548	true	false	0
1073910549	true	false	0
1073910550	true	false	0
1073910551	true	false	0
1073910552	true	false	0
